method;diff;n_samples;lambd;dim;num_item;lr;step_mu;n_iter_mu;best_relat_regret
cla;IMLE;1;1;5;50;0,001;0;0;0,227242962
cla;IMLE;10;1;5;50;0,01;0;0;0,229307398
cla;IMLE;5;10;5;50;0,01;0;0;0,235360086
cla;IMLE;10;10;5;50;0,01;0;0;0,239155382
cla;IMLE;5;1;5;50;0,01;0;0;0,23930566
cla;IMLE;1;10;5;50;0,001;0;0;0,240841076
cla;IMLE;5;10;5;50;0,001;0;0;0,251269519
cla;IMLE;1;10;5;50;0,01;0;0;0,259670258
cla;IMLE;5;1;5;50;0,001;0;0;0,264163703
cla;IMLE;1;1;5;50;0,01;0;0;0,265881389
cla;IMLE;10;10;5;50;0,1;0;0;0,268879473
cla;IMLE;10;10;5;50;0,001;0;0;0,269515216
cla;IMLE;5;10;5;50;0,1;0;0;0,281204283
cla;IMLE;1;10;5;50;0,1;0;0;0,281514436
cla;IMLE;5;1;5;50;0,1;0;0;0,311906725
cla;IMLE;10;1;5;50;0,1;0;0;0,314498007
cla;IMLE;10;1;5;50;0,001;0;0;0,32395339
cla;IMLE;1;1;5;50;0,1;0;0;0,328907073
cla;IMLE;5;100;5;50;0,1;0;0;0,333567232
cla;IMLE;1;100;5;50;0,1;0;0;0,333869308
cla;IMLE;10;100;5;50;0,1;0;0;0,33772248
cla;IMLE;5;100;5;50;0,01;0;0;0,365758359
cla;IMLE;10;100;5;50;0,01;0;0;0,366145849
cla;IMLE;1;100;5;50;0,01;0;0;0,377224416
cla;IMLE;1;100;5;50;0,001;0;0;0,377868086
cla;IMLE;10;100;5;50;0,001;0;0;0,398254246
cla;IMLE;5;100;5;50;0,001;0;0;0,419126004
cla;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;0;0;0,469378918
cla;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,01;0;0;0,5114066
cla;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,1;0;0;0,597885966
LD;IMLE;1;100;5;50;0,1;0;0;0,331911892
LD;IMLE;10;10;5;50;0,1;0;0;0,337682903
LD;IMLE;5;10;5;50;0,1;0;0;0,342214197
LD;IMLE;10;100;5;50;0,1;0;0;0,344357133
LD;IMLE;10;1;5;50;0,1;0;0;0,352405488
LD;IMLE;1;10;5;50;0,1;0;0;0,353661656
LD;IMLE;5;100;5;50;0,1;0;0;0,354593664
LD;IMLE;5;1;5;50;0,1;0;0;0,357459337
LD;IMLE;10;10;5;50;0,01;0;0;0,372818381
LD;IMLE;5;1;5;50;0,01;0;0;0,376254022
LD;IMLE;5;10;5;50;0,01;0;0;0,383364171
LD;IMLE;10;1;5;50;0,01;0;0;0,392503351
LD;IMLE;1;1;5;50;0,01;0;0;0,397628665
LD;IMLE;1;1;5;50;0,1;0;0;0,404247731
LD;IMLE;1;10;5;50;0,01;0;0;0,414361298
LD;IMLE;10;1;5;50;0,001;0;0;0,444730669
LD;IMLE;5;1;5;50;0,001;0;0;0,457292348
LD;IMLE;1;1;5;50;0,001;0;0;0,458000988
LD;IMLE;10;10;5;50;0,001;0;0;0,469238073
LD;IMLE;1;10;5;50;0,001;0;0;0,483281463
LD;IMLE;5;10;5;50;0,001;0;0;0,487156928
LD;IMLE;1;100;5;50;0,001;0;0;0,495650738
LD;IMLE;5;100;5;50;0,001;0;0;0,49951297
LD;IMLE;10;100;5;50;0,01;0;0;0,502729356
LD;IMLE;10;100;5;50;0,001;0;0;0,512803316
LD;IMLE;1;100;5;50;0,01;0;0;0,513658941
LD;IMLE;5;100;5;50;0,01;0;0;0,513990223
LD;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;0;0;0,470895141
LD;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,01;0;0;0,487707675
LD;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,1;0;0;0,585591018
MSE;IMLE;5;10;5;50;0,001;0;0;0,124622263
MSE;IMLE;5;100;5;50;0,001;0;0;0,127617791
MSE;IMLE;1;100;5;50;0,001;0;0;0,12871471
MSE;IMLE;10;10;5;50;0,01;0;0;0,128736824
MSE;IMLE;10;10;5;50;0,001;0;0;0,128963575
MSE;IMLE;10;100;5;50;0,001;0;0;0,128979012
MSE;IMLE;1;10;5;50;0,01;0;0;0,129383057
MSE;IMLE;5;100;5;50;0,01;0;0;0,130316943
MSE;IMLE;5;1;5;50;0,01;0;0;0,130333275
MSE;IMLE;1;100;5;50;0,01;0;0;0,130632266
MSE;IMLE;1;1;5;50;0,01;0;0;0,131320909
MSE;IMLE;10;1;5;50;0,001;0;0;0,131331667
MSE;IMLE;10;1;5;50;0,01;0;0;0,131769374
MSE;IMLE;1;1;5;50;0,001;0;0;0,132428378
MSE;IMLE;10;100;5;50;0,01;0;0;0,132430434
MSE;IMLE;1;10;5;50;0,001;0;0;0,132910296
MSE;IMLE;5;1;5;50;0,001;0;0;0,133105204
MSE;IMLE;5;10;5;50;0,01;0;0;0,133449852
MSE;IMLE;5;10;5;50;0,1;0;0;0,14121829
MSE;IMLE;1;1;5;50;0,1;0;0;0,143486559
MSE;IMLE;1;100;5;50;0,1;0;0;0,145261526
MSE;IMLE;1;10;5;50;0,1;0;0;0,145603478
MSE;IMLE;10;1;5;50;0,1;0;0;0,145717338
MSE;IMLE;10;10;5;50;0,1;0;0;0,148992762
MSE;IMLE;10;100;5;50;0,1;0;0;0,149319991
MSE;IMLE;5;1;5;50;0,1;0;0;0,150500536
MSE;IMLE;5;100;5;50;0,1;0;0;0,152950764
SG;IMLE;10;10;5;50;0,001;30;30;0,198370963
SG;IMLE;10;5;5;50;0,001;30;50;0,201959565
SG;IMLE;5;5;5;50;0,001;10;10;0,204849467
SG;IMLE;10;10;5;50;0,001;30;50;0,204968408
SG;IMLE;10;5;5;50;0,001;30;30;0,204992801
SG;IMLE;10;5;5;50;0,001;10;10;0,205065832
SG;IMLE;5;5;5;50;0,001;10;30;0,205774918
SG;IMLE;10;5;5;50;0,001;10;50;0,206853554
SG;IMLE;5;10;5;50;0,001;30;50;0,206891686
SG;IMLE;5;5;5;50;0,001;30;30;0,207702115
SG;IMLE;10;10;5;50;0,001;10;10;0,207808942
SG;IMLE;5;5;5;50;0,001;10;50;0,207850322
SG;IMLE;10;5;5;50;0,001;10;30;0,208833963
SG;IMLE;10;5;5;50;0,001;30;10;0,210566938
SG;IMLE;1;5;5;50;0,001;30;30;0,21154803
SG;IMLE;5;10;5;50;0,001;30;30;0,212216556
SG;IMLE;5;5;5;50;0,001;30;50;0,212397456
SG;IMLE;10;10;5;50;0,001;30;10;0,213229716
SG;IMLE;10;10;5;50;0,001;10;50;0,214151472
SG;IMLE;1;10;5;50;0,001;30;10;0,214842677
SG;IMLE;5;5;5;50;0,001;1;50;0,21527347
SG;IMLE;10;10;5;50;0,001;1;10;0,21534954
SG;IMLE;10;10;5;50;0,001;10;30;0,215492219
SG;IMLE;1;10;5;50;0,001;30;30;0,216544792
SG;IMLE;1;10;5;50;0,001;10;10;0,216683999
SG;IMLE;5;5;5;50;0,001;1;30;0,217150971
SG;IMLE;5;10;5;50;0,001;10;10;0,217349961
SG;IMLE;5;5;5;50;0,001;30;10;0,218640864
SG;IMLE;5;10;5;50;0,001;10;30;0,218737215
SG;IMLE;10;5;5;50;0,001;1;10;0,218789026
SG;IMLE;5;10;5;50;0,001;30;10;0,219672516
SG;IMLE;5;10;5;50;0,001;10;50;0,220251933
SG;IMLE;10;5;5;50;0,001;1;30;0,220342562
SG;IMLE;10;5;5;50;0,001;1;50;0,220496804
SG;IMLE;10;10;5;50;0,001;1;50;0,221656144
SG;IMLE;1;5;5;50;0,001;10;10;0,221987829
SG;IMLE;1;5;5;50;0,001;30;10;0,222299725
SG;IMLE;1;5;5;50;0,001;10;30;0,224376768
SG;IMLE;5;10;5;50;0,001;1;10;0,22502777
SG;IMLE;5;5;5;50;0,001;1;10;0,225159809
SG;IMLE;1;5;5;50;0,001;10;50;0,226384982
SG;IMLE;5;10;5;50;0,001;1;50;0,22726649
SG;IMLE;1;5;5;50;0,001;1;50;0,228201225
SG;IMLE;10;10;5;50;0,001;1;30;0,228378177
SG;IMLE;5;10;5;50;0,001;1;30;0,228493765
SG;IMLE;1;10;5;50;0,001;10;50;0,228628844
SG;IMLE;1;5;5;50;0,001;30;50;0,229113996
SG;IMLE;1;10;5;50;0,001;10;30;0,230250016
SG;IMLE;1;10;5;50;0,001;30;50;0,230650425
SG;IMLE;1;10;5;50;0,001;1;10;0,230665848
SG;IMLE;1;10;5;50;0,001;1;50;0,232921436
SG;IMLE;1;10;5;50;0,001;1;30;0,240477934
SG;IMLE;1;5;5;50;0,001;1;10;0,241088688
SG;IMLE;1;5;5;50;0,001;1;30;0,241429135
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;1;30;0,469061732
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;1;50;0,469524592
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;1;10;0,472918391
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;10;50;0,543569684
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;10;30;0,550163269
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;10;10;0,554640591
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;30;10;0,601498723
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;30;50;0,603755355
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;30;30;0,608114421
cla;IMLE;10;10;5;100;0,01;0;0;0,233281583
cla;IMLE;5;1;5;100;0,01;0;0;0,2378508
cla;IMLE;5;10;5;100;0,01;0;0;0,239719883
cla;IMLE;10;1;5;100;0,01;0;0;0,240756944
cla;IMLE;1;10;5;100;0,001;0;0;0,242145076
cla;IMLE;1;10;5;100;0,01;0;0;0,247561291
cla;IMLE;5;10;5;100;0,001;0;0;0,270480484
cla;IMLE;10;10;5;100;0,1;0;0;0,278667241
cla;IMLE;1;1;5;100;0,001;0;0;0,279570073
cla;IMLE;1;1;5;100;0,01;0;0;0,279658109
cla;IMLE;1;100;5;100;0,1;0;0;0,280074507
cla;IMLE;5;10;5;100;0,1;0;0;0,280362517
cla;IMLE;1;10;5;100;0,1;0;0;0,282622486
cla;IMLE;5;100;5;100;0,1;0;0;0,29483071
cla;IMLE;10;100;5;100;0,1;0;0;0,306145996
cla;IMLE;10;1;5;100;0,1;0;0;0,336120754
cla;IMLE;10;10;5;100;0,001;0;0;0,341688484
cla;IMLE;5;1;5;100;0,1;0;0;0,342889011
cla;IMLE;5;1;5;100;0,001;0;0;0,345661074
cla;IMLE;1;1;5;100;0,1;0;0;0,354335785
cla;IMLE;1;100;5;100;0,01;0;0;0,362416685
cla;IMLE;5;100;5;100;0,01;0;0;0,368189156
cla;IMLE;10;100;5;100;0,01;0;0;0,375404537
cla;IMLE;1;100;5;100;0,001;0;0;0,377839029
cla;IMLE;10;1;5;100;0,001;0;0;0,385234952
cla;IMLE;5;100;5;100;0,001;0;0;0,411947876
cla;IMLE;10;100;5;100;0,001;0;0;0,447938591
cla;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;0;0;0,473688811
cla;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,01;0;0;0,520914018
cla;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,1;0;0;0,607883334
LD;IMLE;1;100;5;100;0,1;0;0;0,313864559
LD;IMLE;10;100;5;100;0,1;0;0;0,320580482
LD;IMLE;5;100;5;100;0,1;0;0;0,322313637
LD;IMLE;10;10;5;100;0,1;0;0;0,327850133
LD;IMLE;5;10;5;100;0,1;0;0;0,330535054
LD;IMLE;5;10;5;100;0,01;0;0;0,332452804
LD;IMLE;10;10;5;100;0,01;0;0;0,33947131
LD;IMLE;5;1;5;100;0,01;0;0;0,342099905
LD;IMLE;1;10;5;100;0,1;0;0;0,349603266
LD;IMLE;10;1;5;100;0,01;0;0;0,350060731
LD;IMLE;10;1;5;100;0,1;0;0;0,351667672
LD;IMLE;1;10;5;100;0,01;0;0;0,360483319
LD;IMLE;5;1;5;100;0,1;0;0;0,373940647
LD;IMLE;1;1;5;100;0,1;0;0;0,40266037
LD;IMLE;1;1;5;100;0,01;0;0;0,404772818
LD;IMLE;10;1;5;100;0,001;0;0;0,410008013
LD;IMLE;10;100;5;100;0,01;0;0;0,417763889
LD;IMLE;5;1;5;100;0,001;0;0;0,422864795
LD;IMLE;10;10;5;100;0,001;0;0;0,441732705
LD;IMLE;5;10;5;100;0,001;0;0;0,44646889
LD;IMLE;1;1;5;100;0,001;0;0;0,460893154
LD;IMLE;1;100;5;100;0,01;0;0;0,471187055
LD;IMLE;5;100;5;100;0,01;0;0;0,472162306
LD;IMLE;1;10;5;100;0,001;0;0;0,473433435
LD;IMLE;1;100;5;100;0,001;0;0;0,49675253
LD;IMLE;10;100;5;100;0,001;0;0;0,501466215
LD;IMLE;5;100;5;100;0,001;0;0;0,503111303
LD;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;0;0;0,469668716
LD;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,01;0;0;0,489164501
LD;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,1;0;0;0,594101548
MSE;IMLE;10;1;5;100;0,001;0;0;0,135027319
MSE;IMLE;1;10;5;100;0,001;0;0;0,137211919
MSE;IMLE;10;100;5;100;0,001;0;0;0,137655959
MSE;IMLE;5;10;5;100;0,001;0;0;0,137912706
MSE;IMLE;5;1;5;100;0,001;0;0;0,137927279
MSE;IMLE;5;10;5;100;0,01;0;0;0,138193861
MSE;IMLE;1;1;5;100;0,001;0;0;0,138382971
MSE;IMLE;5;100;5;100;0,001;0;0;0,138506502
MSE;IMLE;5;100;5;100;0,01;0;0;0,139086962
MSE;IMLE;1;10;5;100;0,01;0;0;0,139108345
