time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
60,10,1,12,100,200,cla,5,30,IMLE,0.001,0.3079678620398045,0.054654469575405845,0.31416874316334725,0.05665295747110823
60,10,1,12,100,200,MSE,15,10,IMLE,0.001,0.28047906085848806,0.05428588242371309,0.27883959670364855,0.05323598137511188
300,10,1,12,100,200,cla,5,30,IMLE,0.001,0.2779065209627152,0.05271452925664066,0.2753739178776741,0.05100425348573081
60,10,2,12,100,200,SG,1,5,IMLE,0.001,0.3476906068623066,0.05179523135347068,0.3458063857704401,0.060683363085312234
600,10,1,12,100,200,cla,5,30,IMLE,0.001,0.2878823195397854,0.041913178297985264,0.2792672816514969,0.048776950199719796
300,10,2,12,100,200,SG,1,5,IMLE,0.001,0.32348764151334763,0.04979298750307138,0.3170060173869133,0.054028513771285654
60,10,3,12,100,200,SG,1,5,IMLE,0.001,0.3467527823150158,0.06796189199920905,0.3482496202290058,0.07056359117763121
600,10,2,12,100,200,SG,1,5,IMLE,0.001,0.3273594699800014,0.05853247365083118,0.3283978632539511,0.060853732109824664
60,10,5,12,100,200,SG,1,5,IMLE,0.001,0.3425072722136974,0.07169214341998635,0.34384312918782234,0.06193927425025857
300,10,3,12,100,200,SG,1,5,IMLE,0.001,0.3224377517402172,0.059592605735037794,0.32854983530193566,0.06000382518897417
300,10,1,12,100,200,MSE,15,10,IMLE,0.001,0.18302591755986214,0.10547155231011664,0.18216271516680718,0.10055677228770517
1800,10,2,12,100,200,SG,1,5,IMLE,0.001,0.3225430178642273,0.05200053058882308,0.32326461754739283,0.05966869639111001
300,10,5,12,100,200,SG,1,5,IMLE,0.001,0.3216565150022507,0.056621833281908486,0.3180789383277297,0.056509264532276234
600,10,3,12,100,200,SG,1,5,IMLE,0.001,0.33147643074393274,0.06479850602676894,0.32799813931435345,0.06354082081312072
1800,10,5,12,100,200,SG,1,5,IMLE,0.001,0.3184806203842163,0.05769165014632814,0.32007311676442624,0.05896251244721286
600,10,1,12,100,200,MSE,15,10,IMLE,0.001,0.14926583725959064,0.11680597327656937,0.14861216631531715,0.11355921999365634
1800,10,1,12,100,200,cla,5,30,IMLE,0.001,0.1851421219855547,0.03787519958022259,0.18501101269572973,0.04024965901443836
1800,10,3,12,100,200,SG,1,5,IMLE,0.001,0.31512496903538706,0.05329246499494407,0.31606200568377973,0.057233734150525226
3600,10,2,12,100,200,SG,1,5,IMLE,0.001,0.3063071681559086,0.05056238370380572,0.3055761900693178,0.054223392917605154
3600,10,5,12,100,200,SG,1,5,IMLE,0.001,0.32116501554846766,0.06316737496427051,0.3189232184067369,0.058787617339424246
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0,0,0.3298753798007965,0.05780881270766258
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0,0,0.3291985094547272,0.05748169869184494
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0,0,0.3291985094547272,0.05748169869184494
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.33319046303629873,0.05795498783532114,0.3291985218822956,0.0574529498032228
60,10,1,12,100,200,SG,5,10,IMLE,0.001,0,0,0.3439524471759796,0.06444208323955536
600,10,1,12,100,200,SG,5,10,IMLE,0.001,0,0,0.33841824531555176,0.06251540780067444
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0,0,0.33841824531555176,0.06251540780067444
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.34329007208347323,0.06060776803418044,0.3384182329401374,0.06248414247519533
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0,0,0.3318571448326111,0.05962236225605011
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0,0,0.3314453661441803,0.059256695210933685
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0,0,0.3314453661441803,0.059256695210933685
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.3265665140748024,0.05122926660811917,0.331445363342762,0.05922705921484613
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0,0,0.3345552682876587,0.056265633553266525
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0,0,0.32967936992645264,0.0548325814306736
1800,10,1,12,100,200,SG,5,20,IMLE,0.001,0,0,0.32967936992645264,0.0548325814306736
3600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.3289891056716442,0.056326983730165606,0.3296793909966946,0.054805158574654955
60,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0,0,0.3064297139644623,0.05766196548938751
600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0,0,0.2261713296175003,0.04657885059714317
1800,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0,0,0.21811166405677795,0.04507897049188614
3600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.2153863613307476,0.03822103472006337,0.2177428154349327,0.04500579941038385
60,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0,0,0.3066616356372833,0.05573069304227829
600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0,0,0.17616808414459229,0.03943042457103729
1800,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0,0,0.17436540126800537,0.03898889571428299
3600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.17248558826744556,0.03403435864596942,0.17337742603570222,0.03815294844366719
60,10,1,12,100,200,SG,10,20,IMLE,0.001,0,0,0.31709617376327515,0.0566411130130291
600,10,1,12,100,200,SG,10,20,IMLE,0.001,0,0,0.3120654821395874,0.05482986941933632
1800,10,1,12,100,200,SG,10,20,IMLE,0.001,0,0,0.3120654821395874,0.05482986941933632
3600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.3121940439939499,0.04985621427597384,0.3120654831677675,0.0548024486916657
60,10,1,12,100,200,cla,1,10,IMLE,0.001,0,0,0.31615370512008667,0.05587714910507202
600,10,1,12,100,200,cla,1,10,IMLE,0.001,0,0,0.2639080882072449,0.04649320989847183
1800,10,1,12,100,200,cla,1,10,IMLE,0.001,0,0,0.23872628808021545,0.0443589948117733
3600,10,1,12,100,200,cla,1,10,IMLE,0.001,0.23349025264382361,0.04358248648193917,0.23826620580255986,0.04452795798985373
60,10,1,12,100,200,SG,20,20,IMLE,0.001,0,0,0.3126923143863678,0.06417243927717209
600,10,1,12,100,200,SG,20,20,IMLE,0.001,0,0,0.3024093806743622,0.059427451342344284
1800,10,1,12,100,200,SG,20,20,IMLE,0.001,0,0,0.3024093806743622,0.059427451342344284
3600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.30227603122591973,0.055389358073911585,0.30240938817709684,0.05939773058320639
60,10,1,12,100,200,SG,20,10,IMLE,0.001,0,0,0.32538077235221863,0.05826506391167641
600,10,1,12,100,200,SG,20,10,IMLE,0.001,0,0,0.3231484293937683,0.055777665227651596
1800,10,1,12,100,200,SG,20,10,IMLE,0.001,0,0,0.32313287258148193,0.05580662563443184
3600,10,1,12,100,200,SG,20,10,IMLE,0.001,0.3209020447731018,0.06425152192272816,0.32313286782801154,0.055778714438444475
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0,0,0.3309547007083893,0.059202320873737335
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0,0,0.3279363512992859,0.05724239721894264
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0,0,0.3278833031654358,0.05726315453648567
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.32345382288098334,0.05245725567964037,0.3277602557763457,0.057202213226683146
60,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0,0,0.22462882101535797,0.04914632812142372
600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0,0,0.1964573711156845,0.046936675906181335
1800,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0,0,0.19273193180561066,0.046223245561122894
3600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.19129073165357113,0.03999471481572021,0.18731727397814393,0.04471450167400888
60,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0,0,0.11838412284851074,0.03863571211695671
600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0,0,0.08483755588531494,0.032799914479255676
1800,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0,0,0.08220415562391281,0.031240161508321762
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.08537073967978358,0.03135497993667735,0.07931062791123986,0.029338633257867817
60,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0,0,0.242964968085289,0.05277416855096817
600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0,0,0.07117420434951782,0.029660185799002647
1800,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0,0,0.0707651674747467,0.029340337961912155
3600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.07210507607087493,0.023871137114249055,0.06969181446824223,0.028874310157706494
60,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0,0,0.27065157890319824,0.051281917840242386
600,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0,0,0.10124243795871735,0.030560465529561043
1800,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0,0,0.10035857558250427,0.030248727649450302
3600,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.10428593415766954,0.02646294453685231,0.09947014156728982,0.03006491532598536
60,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0,0,0.27634918689727783,0.06074373796582222
600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0,0,0.2358928918838501,0.05686293542385101
1800,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0,0,0.22839029133319855,0.05515804514288902
3600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.220886250436306,0.04386577828080212,0.21872001289576293,0.05271915000677158
60,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0,0,0.10867875814437866,0.0405547060072422
600,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0,0,0.09108743071556091,0.037586912512779236
1800,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0,0,0.08835078775882721,0.03656041994690895
3600,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.09092014536261558,0.036698057877610296,0.08442177022062242,0.03449338438018672
