time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,cla,1,10,IMLE,0.001,0.3437623977661133,0.3598130941390991,0.10485800355672836,0.34569042921066284,0.35593220591545105,0.09891251474618912
600,10,1,12,100,200,cla,1,10,IMLE,0.001,0.2644801735877991,0.26829269528388977,0.07232344895601273,0.2627681791782379,0.26184210181236267,0.07579585909843445
1800,10,1,12,100,200,cla,1,10,IMLE,0.001,0.22608989477157593,0.2300885021686554,0.06087145954370499,0.223948672413826,0.22210636734962463,0.0667550191283226
3600,10,1,12,100,200,cla,1,10,IMLE,0.001,0.22367920629680157,0.22256478667259216,0.05920534632479581,0.22098708286881447,0.2199999988079071,0.0662424866876374
60,10,1,12,100,200,cla,1,20,IMLE,0.001,0.3468253016471863,0.36097562313079834,0.10544735938310623,0.3493689000606537,0.35748791694641113,0.10007050633430481
600,10,1,12,100,200,cla,1,20,IMLE,0.001,0.2726922929286957,0.2744360864162445,0.07539063692092896,0.2718908190727234,0.27447956800460815,0.07856281846761703
1800,10,1,12,100,200,cla,1,20,IMLE,0.001,0.19054672122001648,0.18610422313213348,0.054952580481767654,0.18466898798942566,0.18110236525535583,0.05563892796635628
3600,10,1,12,100,200,cla,1,20,IMLE,0.001,0.15582918822765351,0.14991853386163712,0.0515654154381475,0.15081357288360595,0.14672863483428955,0.0506434170384251
60,10,1,12,100,200,cla,1,5,IMLE,0.001,0.3437623977661133,0.3598130941390991,0.10485800355672836,0.34569042921066284,0.35593220591545105,0.09891251474618912
600,10,1,12,100,200,cla,1,5,IMLE,0.001,0.2644801735877991,0.26829269528388977,0.07232344895601273,0.2627681791782379,0.26184210181236267,0.07579585909843445
1800,10,1,12,100,200,cla,1,5,IMLE,0.001,0.22615358233451843,0.2300885021686554,0.0608040951192379,0.22466149926185608,0.2222222238779068,0.06691192835569382
3600,10,1,12,100,200,cla,1,5,IMLE,0.001,0.22390763275325298,0.22256478667259216,0.05898288952744849,0.221444790199399,0.22067610174417496,0.06624662724992915
60,10,1,12,100,200,cla,20,10,IMLE,0.001,0.3437623977661133,0.3598130941390991,0.10485800355672836,0.34569042921066284,0.35593220591545105,0.09891251474618912
600,10,1,12,100,200,cla,20,10,IMLE,0.001,0.2644801735877991,0.26829269528388977,0.07232344895601273,0.2627681791782379,0.26184210181236267,0.07579585909843445
1800,10,1,12,100,200,cla,20,10,IMLE,0.001,0.22615358233451843,0.2300885021686554,0.0608040951192379,0.22466149926185608,0.2222222238779068,0.06691192835569382
3600,10,1,12,100,200,cla,20,10,IMLE,0.001,0.22394096605479719,0.22332919389009476,0.058981613644559915,0.22151531192660331,0.22067610174417496,0.06619379007927798
60,10,1,12,100,200,cla,5,5,SPOPlus,0.001,0.11323332786560059,0.11153846234083176,0.042033851146698,0.11114603281021118,0.10958904027938843,0.042709074914455414
600,10,1,12,100,200,cla,5,5,SPOPlus,0.001,0.10385937988758087,0.10152284055948257,0.03913481906056404,0.09998375177383423,0.09756097197532654,0.03981705754995346
1800,10,1,12,100,200,cla,5,5,SPOPlus,0.001,0.08337797969579697,0.08258706331253052,0.03180992230772972,0.07930299639701843,0.07575757801532745,0.03375867009162903
3600,10,1,12,100,200,cla,5,5,SPOPlus,0.001,0.06247299432754517,0.05773101933300495,0.02342368467615574,0.060310067220591006,0.056664543226361275,0.02680356719686926
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3276427090167999,0.3417721390724182,0.09873286634683609,0.33181118965148926,0.33965516090393066,0.09623394906520844
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2632705569267273,0.273333340883255,0.07532571256160736,0.26728081703186035,0.2702702581882477,0.07642684876918793
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2619134187698364,0.273333340883255,0.0764826312661171,0.2668585479259491,0.2697121500968933,0.07604030519723892
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.26168973110616206,0.2742505669593811,0.07636434167394067,0.2661979160681367,0.2686854898929596,0.07575945783524046
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.35311317443847656,0.3633333444595337,0.11070849746465683,0.3588615655899048,0.36807817220687866,0.10439689457416534
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.27979472279548645,0.2840236723423004,0.07387452572584152,0.2848692238330841,0.28688523173332214,0.07954519242048264
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.27420008182525635,0.28037384152412415,0.0713992640376091,0.27647942304611206,0.2772543728351593,0.0765957161784172
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.27420006796717644,0.2805715352296829,0.07104137007014742,0.27647942522913216,0.27774009108543396,0.07655740998928623
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.2691279351711273,0.26923078298568726,0.08105152100324631,0.26881328225135803,0.27226462960243225,0.07917250692844391
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.08486849814653397,0.0833333358168602,0.03650824353098869,0.0858551487326622,0.07801418751478195,0.04053226485848427
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0.08423618227243423,0.0833333358168602,0.036263760179281235,0.0853656530380249,0.07774390280246735,0.04053506627678871
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.0834525053948164,0.07957374677062035,0.03597300542485677,0.08500268431287258,0.07758620381355286,0.040691153266380994
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.3052595257759094,0.31284916400909424,0.09215782582759857,0.3084059953689575,0.31569966673851013,0.0899689644575119
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.19535212218761444,0.1946902722120285,0.06016464903950691,0.192836195230484,0.19117647409439087,0.05813055858016014
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.1943254917860031,0.19230769574642181,0.060361869633197784,0.19217684864997864,0.19083969295024872,0.05789579451084137
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.19388884991407396,0.1929280385375023,0.059472010220757515,0.1915539774335921,0.19057077169418335,0.05751878836485998
60,10,1,12,100,200,MSE,10,10,SPOPlus,0.001,0.30211442708969116,0.3095238208770752,0.07422560453414917,0.30239081382751465,0.30382293462753296,0.0775572806596756
600,10,1,12,100,200,MSE,10,10,SPOPlus,0.001,0.17201007902622223,0.13461539149284363,0.12114869803190231,0.175961434841156,0.14018692076206207,0.12385497242212296
1800,10,1,12,100,200,MSE,10,10,SPOPlus,0.001,0.10972271859645844,0.06034482643008232,0.15194617211818695,0.1169653907418251,0.060975611209869385,0.15927790105342865
3600,10,1,12,100,200,MSE,10,10,SPOPlus,0.001,0.09116578294895589,0.04359867051243782,0.1505816711323015,0.09233918548375368,0.041201649233698845,0.14933121686142412
60,10,1,12,100,200,SG,10,20,IMLE,0.001,0.25395774841308594,0.2526315748691559,0.08058909326791763,0.25450825691223145,0.25556859374046326,0.07632988691329956
600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.08478161692619324,0.0714285746216774,0.04620708152651787,0.08377055823802948,0.0731707289814949,0.048091765493154526
1800,10,1,12,100,200,SG,10,20,IMLE,0.001,0.08459899574518204,0.0714285746216774,0.04632464423775673,0.0834835097193718,0.07225433737039566,0.04852079972624779
3600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.08360366467386485,0.07123341411352158,0.046097123052930816,0.08336197052057832,0.07220964133739471,0.048797074464090685
60,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.28583234548568726,0.30013832449913025,0.08137056231498718,0.2918120324611664,0.2945055067539215,0.08478771150112152
600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.15646019577980042,0.15074309706687927,0.04909947142004967,0.15357407927513123,0.15082643926143646,0.04846544936299324
1800,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.1531253308057785,0.14705882966518402,0.04802252724766731,0.15042424201965332,0.14666666090488434,0.0476967878639698
3600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.14876771099865438,0.14241992682218552,0.045052929869633156,0.14635297549143433,0.1435677707195282,0.046279758002663235
60,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.22959648072719574,0.23098202049732208,0.06010791286826134,0.22300000488758087,0.22297297418117523,0.06463081389665604
600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.07646150887012482,0.07207207381725311,0.02986833080649376,0.07093751430511475,0.0674486830830574,0.028507467359304428
1800,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.07400497049093246,0.06640625,0.029195217415690422,0.0693524107336998,0.06617647409439087,0.028403928503394127
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.07131028652191163,0.06623273715376854,0.02888427495348245,0.06735582082159818,0.06451612710952759,0.027836321426670068
60,10,1,12,100,200,SG,10,5,IMLE,0.001,0.16870152950286865,0.15853658318519592,0.0644419714808464,0.1757042557001114,0.16744185984134674,0.0662507489323616
600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.14050567150115967,0.1345565766096115,0.058466870337724686,0.144875168800354,0.1343042105436325,0.062113817781209946
1800,10,1,12,100,200,SG,10,5,IMLE,0.001,0.1381075531244278,0.1315789520740509,0.058119069784879684,0.1424744576215744,0.13032367825508118,0.061730001121759415
3600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.13424589488655328,0.12832723557949066,0.0567847505921878,0.139846265103668,0.12655512988567352,0.06182100287480957
60,10,1,12,100,200,MSE,5,5,SPOPlus,0.001,0.3094170093536377,0.31339892745018005,0.07818729430437088,0.31063440442085266,0.31545740365982056,0.08036061376333237
600,10,1,12,100,200,MSE,5,5,SPOPlus,0.001,0.17440550029277802,0.1355932205915451,0.11948003619909286,0.17934228479862213,0.14495591819286346,0.12149007618427277
1800,10,1,12,100,200,MSE,5,5,SPOPlus,0.001,0.10996510833501816,0.06034482643008232,0.15201622247695923,0.11726449429988861,0.061433445662260056,0.15904101729393005
3600,10,1,12,100,200,MSE,5,5,SPOPlus,0.001,0.09259924351237714,0.04270036332309246,0.15169580567522314,0.09403305647196249,0.04208067059516907,0.150795554662618
60,10,1,12,100,200,SG,5,10,IMLE,0.001,0.2580341696739197,0.2594752311706543,0.07941888272762299,0.25643298029899597,0.25954198837280273,0.0766386091709137
600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.10102666914463043,0.09090909361839294,0.03888179361820221,0.09819392114877701,0.09494000673294067,0.037362080067396164
1800,10,1,12,100,200,SG,5,10,IMLE,0.001,0.1010119616985321,0.08994708955287933,0.03942529484629631,0.09775268286466599,0.0941176488995552,0.03754926845431328
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.10042957050725818,0.08971038833260536,0.03950792261918737,0.09752067322190851,0.0934903509914875,0.03772939689455657
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0.30453887581825256,0.31545063853263855,0.09026219695806503,0.30860626697540283,0.31513646245002747,0.0900672897696495
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.19122153520584106,0.1860465109348297,0.05771363154053688,0.1884470134973526,0.18644067645072937,0.0555817149579525
1800,10,1,12,100,200,SG,5,20,IMLE,0.001,0.19074557721614838,0.1860465109348297,0.05700067803263664,0.18790331482887268,0.1860465109348297,0.05534784868359566
3600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.1897496747970581,0.1879599615931511,0.05677683484669222,0.18728041223436595,0.18554946780204773,0.05514667899387312
60,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.24689047038555145,0.25102320313453674,0.07732447236776352,0.24742507934570312,0.25,0.07672812789678574
1800,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.2393435686826706,0.24066390097141266,0.07549094408750534,0.24294182658195496,0.24418604373931885,0.07591205835342407
3600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.23892773553729058,0.24195357412099838,0.07479876493694769,0.24259164460748434,0.2436443418264389,0.07596707463039148
60,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.1716405153274536,0.17105263471603394,0.05626160278916359,0.1693926751613617,0.1666666716337204,0.05478989705443382
1800,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.16994905471801758,0.1690140813589096,0.05611512437462807,0.16835995018482208,0.16597510874271393,0.05461282283067703
