time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.3444254994392395,0.3598130941390991,0.10812311619520187,0.3471875786781311,0.35489511489868164,0.09977889060974121
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.3100103735923767,0.32096895575523376,0.08986329287290573,0.31163713335990906,0.3188405930995941,0.08982435613870621
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.29747133269906045,0.30799369513988495,0.0817570202700396,0.29807707738131284,0.3022044599056244,0.08539071737837145
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.29361191391944885,0.29890453815460205,0.09065160155296326,0.2940780520439148,0.2991803288459778,0.08649168908596039
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0.28364530205726624,0.28195488452911377,0.08737058192491531,0.2852277457714081,0.29107141494750977,0.08401607722043991
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.28243738047778605,0.2796647995710373,0.08703597424199695,0.28462798992544414,0.29014773666858673,0.08383965749734412
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.35374024510383606,0.3633333444595337,0.11065983772277832,0.36050093173980713,0.3718518614768982,0.10435586422681808
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.31653842329978943,0.32300883531570435,0.0960247814655304,0.3177727460861206,0.32251909375190735,0.09183139353990555
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.2749963104724884,0.2740524709224701,0.08049024641513824,0.27886128425598145,0.28260868787765503,0.0817963033914566
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.27304296135902406,0.2732202708721161,0.07819746425524565,0.2761697880029678,0.28063979744911194,0.081221794174944
60,10,1,12,100,200,SG,10,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.2986179292201996,0.3041474521160126,0.08845514059066772,0.30033814907073975,0.3082437217235565,0.0880320593714714
1800,10,1,12,100,200,SG,10,20,IMLE,0.001,0.2785448133945465,0.272532194852829,0.08510254323482513,0.2813085913658142,0.2864864766597748,0.0833035409450531
3600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.27787302657961843,0.27246013283729553,0.08487696908302292,0.2809569522663951,0.2862383723258972,0.08327698153883642
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.344971239566803,0.3598130941390991,0.10692492872476578,0.3492226302623749,0.3563636243343353,0.10059619694948196
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3004782795906067,0.3052109181880951,0.08983093500137329,0.300527423620224,0.30549898743629456,0.08794546872377396
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.24584850668907166,0.2419491708278656,0.06853307152937517,0.24421672354638577,0.24451889842748642,0.07014033469002691
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.33301910758018494,0.3436083495616913,0.10122159123420715,0.3384658694267273,0.34751132130622864,0.09736645966768265
