time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.34374839067459106,0.3566666543483734,0.10708191245794296,0.34842243790626526,0.3562822639942169,0.10087248682975769
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2618909776210785,0.2601625919342041,0.07196729630231857,0.26071861386299133,0.2631579041481018,0.07664529234170914
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.25804346799850464,0.2599118947982788,0.06961081176996231,0.25621557235717773,0.2565789520740509,0.07502659410238266
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.25757239483296873,0.26003724336624146,0.0699608597998857,0.2560762942880392,0.2565666288137436,0.07483229893822431
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.35407790541648865,0.37560975551605225,0.11030807346105576,0.359785258769989,0.3685636818408966,0.10487333685159683
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2860561013221741,0.28455284237861633,0.07603182643651962,0.28944721817970276,0.29296875,0.08236777782440186
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2641948461532593,0.2682403326034546,0.0686558410525322,0.2679827809333801,0.26865673065185547,0.07540446519851685
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2633483399450779,0.2691201716661453,0.06786457866340066,0.26707369106262924,0.2680668383836746,0.07502583444665126
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.33344191312789917,0.3481414318084717,0.1027713492512703,0.3384132385253906,0.3475409746170044,0.09706497937440872
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.25571781396865845,0.2601155936717987,0.0748530849814415,0.2550220489501953,0.2564593255519867,0.0764196515083313
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.25552618503570557,0.2601155936717987,0.07473886758089066,0.25428950786590576,0.2554744482040405,0.07610084861516953
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.2550640948116779,0.25878913700580597,0.07425145314682537,0.25370542968064547,0.2543873190879822,0.07573787890750228
60,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.26977652311325073,0.27988338470458984,0.0759921669960022,0.27206769585609436,0.27368420362472534,0.07718966901302338
600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.24841737747192383,0.23602484166622162,0.06939272582530975,0.2429785430431366,0.24175824224948883,0.06781816482543945
1800,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.24576634168624878,0.23602484166622162,0.06687633693218231,0.23946820199489594,0.23828125,0.06639532744884491
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.2403808392584324,0.23422642052173615,0.06409388475831039,0.23294087447226047,0.23195546865463257,0.06433242611122046
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0.3300914764404297,0.3481414318084717,0.10159552097320557,0.3372495174407959,0.3469387888908386,0.0972013995051384
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.28814250230789185,0.2935323417186737,0.08557967841625214,0.2915973961353302,0.29651162028312683,0.08590320497751236
1800,10,1,12,100,200,SG,5,20,IMLE,0.001,0.2877962589263916,0.2935323417186737,0.08585988730192184,0.2910025119781494,0.2958230972290039,0.08561784029006958
3600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.28671892382204534,0.2929200232028961,0.08490156373016394,0.29040583730489017,0.2951885014772415,0.08546269858674584
60,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.30485543608665466,0.30841121077537537,0.0883479192852974,0.31121474504470825,0.31690141558647156,0.0883694440126419
600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.24318836629390717,0.24198250472545624,0.0689321756362915,0.23920340836048126,0.23846153914928436,0.06791390478610992
1800,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.24088191986083984,0.24186046421527863,0.0677410215139389,0.23733793199062347,0.23680981993675232,0.06751260906457901
3600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.23871869303286075,0.24265792220830917,0.066552710787843,0.23484763634204864,0.23381859809160233,0.0665639009497073
60,10,1,12,100,200,SG,10,20,IMLE,0.001,0.3193930685520172,0.3270735442638397,0.09736917167901993,0.3236507773399353,0.3306773006916046,0.09359705448150635
600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.2911851406097412,0.29230770468711853,0.09008951485157013,0.29407036304473877,0.2973214387893677,0.0862044245004654
1800,10,1,12,100,200,SG,10,20,IMLE,0.001,0.28994646668434143,0.29230770468711853,0.08750250190496445,0.2932213544845581,0.29694321751594543,0.08579140156507492
