time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.3110501766204834,0.3270735442638397,0.0918196365237236,0.3141345679759979,0.3214285671710968,0.09139081835746765
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.1618446707725525,0.1597222238779068,0.058093082159757614,0.16437523066997528,0.15833333134651184,0.06039590388536453
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0.16024373471736908,0.15813954174518585,0.05651646852493286,0.16269133985042572,0.15625,0.05949388071894646
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.158970470353961,0.15893088281154633,0.05506065288823725,0.16167391729727387,0.1552889049053192,0.05908255938989965
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.3527158498764038,0.3631284832954407,0.11101488023996353,0.35805121064186096,0.36807817220687866,0.1040874719619751
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2942940294742584,0.3016759753227234,0.08002390712499619,0.2959114611148834,0.30000001192092896,0.08415022492408752
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2831392288208008,0.28455284237861633,0.07652799785137177,0.28449228405952454,0.286995530128479,0.08131133019924164
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.28050040766596795,0.28484122455120087,0.07463296838990768,0.2829945759177208,0.28516001999378204,0.08070418058116868
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.33981332182884216,0.3502538204193115,0.10394160449504852,0.34617066383361816,0.3551136255264282,0.09970995783805847
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2586354613304138,0.25999999046325684,0.07524030655622482,0.26210451126098633,0.2637540400028229,0.0775628462433815
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.25226885080337524,0.2574257552623749,0.07147233933210373,0.25283026695251465,0.2525366544723511,0.07387184351682663
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2516129292547703,0.25699275732040405,0.07089465838597316,0.25261555609107017,0.25243084132671356,0.07381321088471582
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.33061322569847107,0.3442879617214203,0.10057757049798965,0.3348861038684845,0.3435114622116089,0.0968065857887268
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.12451580911874771,0.11016949266195297,0.0517374686896801,0.12198080867528915,0.11437908560037613,0.04625315219163895
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.10952991247177124,0.09497206658124924,0.05180139094591141,0.10651522874832153,0.09782608598470688,0.05036444962024689
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.10952992223203183,0.09527157992124557,0.051541733248865754,0.10651521568745374,0.09782608598470688,0.050339260588634444
60,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.16140441596508026,0.15343914926052094,0.04696647822856903,0.15526525676250458,0.15000000596046448,0.04595997929573059
600,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.10876596719026566,0.10055866092443466,0.04622151330113411,0.10317803174257278,0.0941176488995552,0.045666538178920746
1800,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.10758387297391891,0.10000000149011612,0.04613588750362396,0.10197963565587997,0.09276437759399414,0.04574788361787796
3600,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.10614473547786474,0.09657009690999985,0.04768921265947652,0.09973570157773792,0.0898713581264019,0.04593730374574104
60,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.24336999654769897,0.23348017036914825,0.06496888399124146,0.23834611475467682,0.2380952388048172,0.06517281383275986
600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.08110345155000687,0.07575757801532745,0.03913519158959389,0.08020834624767303,0.0714285746216774,0.04187621921300888
1800,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.07971084862947464,0.07476635277271271,0.03689153492450714,0.07956300675868988,0.06976744532585144,0.04201120510697365
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.001,0.0788671838119626,0.0746966078877449,0.03688199165248109,0.07872122102882713,0.06919737532734871,0.04200910350318124
60,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.2926638722419739,0.3072625696659088,0.08208772540092468,0.3005397319793701,0.30434781312942505,0.08572378754615784
600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.13423927128314972,0.12941177189350128,0.039243604987859726,0.12845538556575775,0.12449799478054047,0.0414363294839859
1800,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.13319969177246094,0.12878787517547607,0.039422500878572464,0.12798668444156647,0.12408759444952011,0.041321784257888794
3600,10,1,12,100,200,SG,10,20,SPOPlus,0.001,0.13177771367132662,0.12873217463493347,0.03868131652636275,0.12683429217338563,0.12347176298499107,0.04109830861892297
60,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.24262000620365143,0.23497267067432404,0.0637626200914383,0.23635831475257874,0.2369668185710907,0.0653199702501297
600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.08969287574291229,0.08583690971136093,0.03516966104507446,0.08880102634429932,0.08159203827381134,0.04045163467526436
1800,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.08779925107955933,0.08500000089406967,0.03469928354024887,0.08790034800767899,0.07991360872983932,0.040515974164009094
