time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.35120055079460144,0.3598130941390991,0.11085507273674011,0.3575952649116516,0.3652694523334503,0.10348977893590927
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2953265905380249,0.30841121077537537,0.0863206684589386,0.29653388261795044,0.3012295067310333,0.08595990389585495
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2910436689853668,0.30841121077537537,0.08448498696088791,0.293152779340744,0.29795917868614197,0.08558176457881927
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.29000824198126796,0.3050931841135025,0.08295198301319354,0.2927576217651367,0.2976568937301636,0.0855502667339167
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.32991015911102295,0.347885400056839,0.09903790801763535,0.33268457651138306,0.34068626165390015,0.09570066630840302
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.2574304938316345,0.2568807303905487,0.07795712351799011,0.26175951957702637,0.2637540400028229,0.07804813235998154
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.25728970766067505,0.2568807303905487,0.07725293189287186,0.26119402050971985,0.26247289776802063,0.07808829098939896
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.25627446703612805,0.2572282403707504,0.07622540375634139,0.2600278904736042,0.26229506731033325,0.07751965144605118
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3253125846385956,0.34293949604034424,0.09739973396062851,0.3275763690471649,0.3362068831920624,0.0947004109621048
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2720196843147278,0.280303031206131,0.0785134956240654,0.2787071764469147,0.28260868787765503,0.08227458596229553
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2720196843147278,0.280303031206131,0.0785134956240654,0.2787071764469147,0.28260868787765503,0.08227458596229553
