time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3298999071121216,0.34293949604034424,0.10209164768457413,0.33440372347831726,0.34117648005485535,0.09648720920085907
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.286235511302948,0.28037384152412415,0.08535437285900116,0.2895740568637848,0.29490020871162415,0.08442026376724243
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2760742708295584,0.2760794907808304,0.07946453137237787,0.2820118489414454,0.2873552143573761,0.08247401422523527
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.34142783284187317,0.35837244987487793,0.1055799201130867,0.34536340832710266,0.3540146052837372,0.09891170263290405
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.3042451739311218,0.3171428442001343,0.08969835937023163,0.30717355012893677,0.3145161271095276,0.08854566514492035
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2892040449380875,0.2986566126346588,0.08282396034762587,0.296351236552,0.30017681419849396,0.08630323096681627
60,10,1,12,100,200,SG,10,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.28400376439094543,0.280303031206131,0.08837325125932693,0.2877597212791443,0.2929292917251587,0.08405373990535736
1800,10,1,12,100,200,SG,10,20,IMLE,0.001,0.26541030406951904,0.2658959627151489,0.07979694753885269,0.2692587375640869,0.27413126826286316,0.07923318445682526
