time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,1,20,IMLE,0.001,0.35239312052726746,0.36548224091529846,0.11067074537277222,0.3573688268661499,0.36666667461395264,0.1034901961684227
600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.28776004910469055,0.2954545319080353,0.08445973694324493,0.2911435663700104,0.296875,0.08595360815525055
1800,10,1,12,100,200,SG,1,20,IMLE,0.001,0.28024813532829285,0.28037384152412415,0.0805317610502243,0.28302040696144104,0.28828829526901245,0.08450628072023392
3600,10,1,12,100,200,SG,1,20,IMLE,0.001,0.2785053838789463,0.28033843636512756,0.07916251226953049,0.2822280870229006,0.28790825605392456,0.0839301230158413
60,10,1,12,100,200,SG,1,10,IMLE,0.001,0.3382953405380249,0.3495575189590454,0.10557054728269577,0.34396612644195557,0.35245901346206665,0.0989498570561409
600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2592221200466156,0.26069653034210205,0.07490880787372589,0.2613260746002197,0.2637540400028229,0.07887817919254303
1800,10,1,12,100,200,SG,1,10,IMLE,0.001,0.2574287950992584,0.2601155936717987,0.07343859225511551,0.2592116892337799,0.2616822421550751,0.07866661995649338
3600,10,1,12,100,200,SG,1,10,IMLE,0.001,0.256898500546813,0.2601390928030014,0.07375156479246064,0.25901385430991647,0.2616550773382187,0.07844159803352066
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.32538947463035583,0.3417721390724182,0.09983785450458527,0.33221253752708435,0.34090909361839294,0.09632117301225662
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.25902822613716125,0.2601625919342041,0.0773734599351883,0.2595401406288147,0.2612612545490265,0.07715284824371338
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.2578263580799103,0.2601625919342041,0.0770941749215126,0.2588404417037964,0.2604735791683197,0.07691556215286255
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.25692386843264103,0.2625439763069153,0.07581661550036345,0.2583361994922161,0.25976593792438507,0.07675276636719432
60,10,1,12,100,200,SG,10,20,IMLE,0.001,0.3035145103931427,0.3072625696659088,0.09184601902961731,0.30612102150917053,0.3148788809776306,0.08825506269931793
600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.17867955565452576,0.16984614729881287,0.05571269989013672,0.18295934796333313,0.1773049682378769,0.06062911078333855
1800,10,1,12,100,200,SG,10,20,IMLE,0.001,0.17829017341136932,0.16738197207450867,0.0558321438729763,0.18250012397766113,0.1770222783088684,0.06054726988077164
3600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.1781249463558197,0.16702432185411453,0.05552314058711449,0.18090901108831167,0.1756756752729416,0.05960301506265596
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.30663493275642395,0.31843575835227966,0.08946245908737183,0.3106800615787506,0.3185840845108032,0.09075164794921875
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.25807130336761475,0.2599118947982788,0.07687829434871674,0.2599383294582367,0.2616279125213623,0.07792423665523529
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0.25682157278060913,0.2599118947982788,0.07593909651041031,0.2585265636444092,0.2597864866256714,0.07777559012174606
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.25374661818146704,0.25343190133571625,0.07509392624306992,0.25555717657506466,0.2568988651037216,0.07625698959725137
60,10,1,12,100,200,SG,5,10,IMLE,0.001,0.3056347966194153,0.31265509128570557,0.08983540534973145,0.3080119788646698,0.3163636326789856,0.089789479970932
600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.18451166152954102,0.17114093899726868,0.060489922761917114,0.18938830494880676,0.1860465109348297,0.06358325481414795
1800,10,1,12,100,200,SG,5,10,IMLE,0.001,0.18430104851722717,0.17114093899726868,0.0600050650537014,0.18801501393318176,0.18518517911434174,0.06300274282693863
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.18404766224324703,0.17599599808454514,0.05967148983822334,0.18712242246419192,0.1843971610069275,0.0627408335905236
60,10,1,12,100,200,SG,20,20,IMLE,0.001,0.2520144283771515,0.24812030792236328,0.07598977535963058,0.2509487271308899,0.2540716528892517,0.07530319690704346
600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.18647800385951996,0.17711442708969116,0.05874374508857727,0.19036467373371124,0.18571428954601288,0.0629420205950737
1800,10,1,12,100,200,SG,20,20,IMLE,0.001,0.1848229020833969,0.17560975253582,0.05910468101501465,0.18928326666355133,0.18382352590560913,0.06268801540136337
3600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.1840960419178009,0.17408806085586548,0.059191046371109196,0.1878447863198817,0.18321462720632553,0.062210131340884406
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.2500263750553131,0.25233644247055054,0.07390192151069641,0.2500777840614319,0.25205478072166443,0.07497923821210861
1800,10,1,12,100,200,SG,5,20,IMLE,0.001,0.2440650910139084,0.24974924325942993,0.07166185230016708,0.24402844905853271,0.24683544039726257,0.07263779640197754
3600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.2435048735141754,0.24987462162971497,0.07100301309759725,0.24273006138950587,0.2458321750164032,0.07181919360199022
60,10,1,12,100,200,SG,10,5,IMLE,0.001,0.2794121503829956,0.27642276883125305,0.08604175597429276,0.27901938557624817,0.2857142984867096,0.08124583959579468
600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.2692211866378784,0.27167630195617676,0.08450105041265488,0.26929378509521484,0.27450981736183167,0.07931913435459137
1800,10,1,12,100,200,SG,10,5,IMLE,0.001,0.26504239439964294,0.26069653034210205,0.0830310508608818,0.2663388252258301,0.2713567912578583,0.07881772518157959
3600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.262260365113616,0.26467663049697876,0.08189883091042104,0.2613241109251976,0.2643420398235321,0.07716539141742333
60,10,1,12,100,200,SG,20,10,IMLE,0.001,0.2859455943107605,0.2954545319080353,0.08904490619897842,0.28718432784080505,0.2933618724346161,0.0842815488576889
600,10,1,12,100,200,SG,20,10,IMLE,0.001,0.2597067654132843,0.26035502552986145,0.08117105811834335,0.25879204273223877,0.2634989321231842,0.07768074423074722
1800,10,1,12,100,200,SG,20,10,IMLE,0.001,0.2563368082046509,0.2566371560096741,0.08101024478673935,0.2552972733974457,0.25867506861686707,0.07614564895629883
3600,10,1,12,100,200,SG,20,10,IMLE,0.001,0.2548624348640442,0.25479182600975037,0.0798922403414934,0.2520701894164085,0.253715842962265,0.07477872742981452
60,10,1,12,100,200,SG,20,5,IMLE,0.001,0.275163471698761,0.2752293646335602,0.08407940715551376,0.27535107731819153,0.28199321031570435,0.08035606145858765
600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.267713725566864,0.26923078298568726,0.08337569236755371,0.2679902911186218,0.27319586277008057,0.07853347808122635
1800,10,1,12,100,200,SG,20,5,IMLE,0.001,0.2643029987812042,0.26492536067962646,0.08232592791318893,0.2633247971534729,0.2681564390659332,0.07755734026432037
3600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.26042839519679545,0.25866684317588806,0.08126900483496875,0.2582242285385728,0.2627946138381958,0.07663357772089674
60,10,1,12,100,200,SG,5,5,IMLE,0.001,0.2842407524585724,0.2897196114063263,0.08569608628749847,0.28617748618125916,0.2930591404438019,0.083905428647995
600,10,1,12,100,200,SG,5,5,IMLE,0.001,0.25128552317619324,0.24736842513084412,0.07936186343431473,0.24993661046028137,0.25,0.07506314665079117
1800,10,1,12,100,200,SG,5,5,IMLE,0.001,0.24828357994556427,0.24736842513084412,0.07778972387313843,0.2481449991464615,0.24719101190567017,0.0745500773191452
3600,10,1,12,100,200,SG,5,5,IMLE,0.001,0.24511533580720424,0.24261287599802017,0.07497186900104806,0.24549445877224207,0.24578819423913956,0.07352468504207933
