Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 30.5602
Eval Epoch 1 | Regret moyen : 21.7200
Epoch 2 | loss: 24.4216
Eval Epoch 2 | Regret moyen : 22.0300
Epoch 3 | loss: 23.7512
Eval Epoch 3 | Regret moyen : 22.0300
Epoch 4 | loss: 23.7324
Eval Epoch 4 | Regret moyen : 22.0300
Epoch 5 | loss: 23.7652
Eval Epoch 5 | Regret moyen : 22.0300
Epoch 6 | loss: 23.7406
Eval Epoch 6 | Regret moyen : 22.0300
Epoch 7 | loss: 23.8496
Eval Epoch 7 | Regret moyen : 22.0300
Epoch 8 | loss: 23.8473
Eval Epoch 8 | Regret moyen : 22.0300
Epoch 9 | loss: 23.7863
Eval Epoch 9 | Regret moyen : 22.0300
Epoch 10 | loss: 23.7219
Eval Epoch 10 | Regret moyen : 22.0300
Epoch 11 | loss: 23.8730
Eval Epoch 11 | Regret moyen : 22.0300
Epoch 12 | loss: 23.8016
Eval Epoch 12 | Regret moyen : 22.0300
Epoch 13 | loss: 23.7453
Eval Epoch 13 | Regret moyen : 22.0300
Epoch 14 | loss: 23.8004
Eval Epoch 14 | Regret moyen : 22.0300
Epoch 15 | loss: 23.8098
Eval Epoch 15 | Regret moyen : 22.0300
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
