Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 13.4736
Eval Epoch 1 | Regret moyen : 17.2400
Epoch 2 | loss: 13.2775
Epoch 3 | loss: 13.0262
Epoch 4 | loss: 12.3983
Epoch 5 | loss: 11.5619
Epoch 6 | loss: 10.5782
Eval Epoch 6 | Regret moyen : 12.4200
Epoch 7 | loss: 9.5776
Epoch 8 | loss: 9.1407
Epoch 9 | loss: 8.6615
Epoch 10 | loss: 7.4381
Epoch 11 | loss: 5.5356
Eval Epoch 11 | Regret moyen : 15.8700
Epoch 12 | loss: 4.6218
Epoch 13 | loss: 4.3756
Epoch 14 | loss: 4.3343
Epoch 15 | loss: 4.3008
Epoch 16 | loss: 4.3497
Eval Epoch 16 | Regret moyen : 15.5700
Epoch 17 | loss: 4.3592
Epoch 18 | loss: 4.3705
Epoch 19 | loss: 4.2612
Epoch 20 | loss: 4.3606
Epoch 21 | loss: 4.3165
Eval Epoch 21 | Regret moyen : 15.5700
Epoch 22 | loss: 4.3493
Epoch 23 | loss: 4.3585
Epoch 24 | loss: 4.3873
Epoch 25 | loss: 4.3284
Epoch 26 | loss: 4.3502
Eval Epoch 26 | Regret moyen : 15.5800
Epoch 27 | loss: 4.3384
Epoch 28 | loss: 4.3532
Epoch 29 | loss: 4.3427
Epoch 30 | loss: 4.3139
Epoch 31 | loss: 4.3741
Eval Epoch 31 | Regret moyen : 15.5800
Epoch 32 | loss: 4.2975
Epoch 33 | loss: 4.3139
Epoch 34 | loss: 4.2811
Epoch 35 | loss: 4.3057
Epoch 36 | loss: 4.3438
Eval Epoch 36 | Regret moyen : 15.5800
Epoch 37 | loss: 4.3301
Epoch 38 | loss: 4.3171
Epoch 39 | loss: 4.3007
Epoch 40 | loss: 4.3081
Epoch 41 | loss: 4.3665
Eval Epoch 41 | Regret moyen : 15.5800
Epoch 42 | loss: 4.3132
Epoch 43 | loss: 4.3914
Epoch 44 | loss: 4.3070
Epoch 45 | loss: 4.3838
Epoch 46 | loss: 4.3000
Eval Epoch 46 | Regret moyen : 15.5800
Epoch 47 | loss: 4.3672
Epoch 48 | loss: 4.2620
Epoch 49 | loss: 4.3457
Epoch 50 | loss: 4.3022
Epoch 51 | loss: 4.3242
Eval Epoch 51 | Regret moyen : 15.5700
Epoch 52 | loss: 4.3266
Epoch 53 | loss: 4.4198
Epoch 54 | loss: 4.3296
Epoch 55 | loss: 4.3174
Epoch 56 | loss: 4.3858
Eval Epoch 56 | Regret moyen : 15.4900
Epoch 57 | loss: 4.2844
Epoch 58 | loss: 4.2632
Epoch 59 | loss: 4.3332
Epoch 60 | loss: 4.3657
Epoch 61 | loss: 4.3365
Eval Epoch 61 | Regret moyen : 15.4900
Epoch 62 | loss: 4.3309
Epoch 63 | loss: 4.3770
Epoch 64 | loss: 4.3680
Epoch 65 | loss: 4.3388
Epoch 66 | loss: 4.3971
Eval Epoch 66 | Regret moyen : 15.4900
Epoch 67 | loss: 4.3081
Epoch 68 | loss: 4.3860
Epoch 69 | loss: 4.3390
Epoch 70 | loss: 4.3049
Epoch 71 | loss: 4.3744
Eval Epoch 71 | Regret moyen : 15.4900
Epoch 72 | loss: 4.3396
Epoch 73 | loss: 4.2820
Epoch 74 | loss: 4.3169
Epoch 75 | loss: 4.3547
Epoch 76 | loss: 4.3204
Eval Epoch 76 | Regret moyen : 15.4900
Epoch 77 | loss: 4.3569
Epoch 78 | loss: 4.3146
Epoch 79 | loss: 4.3128
Epoch 80 | loss: 4.3324
Epoch 81 | loss: 4.3285
Eval Epoch 81 | Regret moyen : 15.4900
Epoch 82 | loss: 4.3302
Epoch 83 | loss: 4.3531
Epoch 84 | loss: 4.3381
Epoch 85 | loss: 4.3842
Epoch 86 | loss: 4.3631
Eval Epoch 86 | Regret moyen : 15.4900
Epoch 87 | loss: 4.3117
Epoch 88 | loss: 4.3363
Epoch 89 | loss: 4.3787
Epoch 90 | loss: 4.3577
Epoch 91 | loss: 4.3665
Eval Epoch 91 | Regret moyen : 15.4900
Epoch 92 | loss: 4.2985
Epoch 93 | loss: 4.3492
Epoch 94 | loss: 4.3211
Epoch 95 | loss: 4.3229
Epoch 96 | loss: 4.3639
Eval Epoch 96 | Regret moyen : 15.4900
Epoch 97 | loss: 4.3423
Epoch 98 | loss: 4.3304
Epoch 99 | loss: 4.2873
Epoch 100 | loss: 4.3049
Saving the model to models/LD_{dim}_{num_feat}_{num_item}_{num_data_train}.pth
