Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 30.7152
Eval Epoch 1 | Regret moyen : 22.9300
Epoch 2 | loss: 27.5414
Eval Epoch 2 | Regret moyen : 19.9600
Epoch 3 | loss: 23.6402
Eval Epoch 3 | Regret moyen : 18.9200
Epoch 4 | loss: 21.7854
Eval Epoch 4 | Regret moyen : 18.7100
Epoch 5 | loss: 20.9417
Eval Epoch 5 | Regret moyen : 18.4000
Epoch 6 | loss: 20.1359
Eval Epoch 6 | Regret moyen : 18.2600
Epoch 7 | loss: 19.8874
Eval Epoch 7 | Regret moyen : 18.2600
Epoch 8 | loss: 19.9350
Eval Epoch 8 | Regret moyen : 18.2600
Epoch 9 | loss: 19.8891
Eval Epoch 9 | Regret moyen : 18.2600
Epoch 10 | loss: 19.7232
Eval Epoch 10 | Regret moyen : 18.2600
Epoch 11 | loss: 19.7082
Eval Epoch 11 | Regret moyen : 18.2600
Epoch 12 | loss: 19.8693
Eval Epoch 12 | Regret moyen : 18.2600
Epoch 13 | loss: 19.6771
Eval Epoch 13 | Regret moyen : 18.2600
Epoch 14 | loss: 19.7947
Eval Epoch 14 | Regret moyen : 18.2600
Epoch 15 | loss: 19.8371
Eval Epoch 15 | Regret moyen : 18.2600
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
