Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with dynamic mu and LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 4.3472
Eval Epoch 1 | Regret moyen : 15.3800
Epoch 2 | loss: 3.8394
Epoch 3 | loss: 3.5197
Epoch 4 | loss: 3.3036
Epoch 5 | loss: 2.9589
Epoch 6 | loss: 2.8008
Eval Epoch 6 | Regret moyen : 14.7200
Epoch 7 | loss: 2.6408
Epoch 8 | loss: 2.4295
Epoch 9 | loss: 2.3301
Epoch 10 | loss: 2.2082
Epoch 11 | loss: 1.9860
Eval Epoch 11 | Regret moyen : 14.0100
Epoch 12 | loss: 1.8975
Epoch 13 | loss: 1.8184
Epoch 14 | loss: 1.6343
Epoch 15 | loss: 1.6372
Epoch 16 | loss: 1.5639
Eval Epoch 16 | Regret moyen : 13.0700
Epoch 17 | loss: 1.5142
Epoch 18 | loss: 1.4235
Epoch 19 | loss: 1.4277
Epoch 20 | loss: 1.2814
Epoch 21 | loss: 1.2721
Eval Epoch 21 | Regret moyen : 12.8900
Epoch 22 | loss: 1.2932
Epoch 23 | loss: 1.2321
Epoch 24 | loss: 1.1604
Epoch 25 | loss: 1.1975
Epoch 26 | loss: 1.0982
Eval Epoch 26 | Regret moyen : 12.3300
Epoch 27 | loss: 1.1244
Epoch 28 | loss: 1.0969
Epoch 29 | loss: 1.0702
Epoch 30 | loss: 1.0083
Epoch 31 | loss: 1.0922
Eval Epoch 31 | Regret moyen : 12.1500
Epoch 32 | loss: 0.9930
Epoch 33 | loss: 0.9881
Epoch 34 | loss: 1.0049
Epoch 35 | loss: 0.9639
Epoch 36 | loss: 0.9448
Eval Epoch 36 | Regret moyen : 12.0800
Epoch 37 | loss: 0.9378
Epoch 38 | loss: 0.9503
Epoch 39 | loss: 0.9383
Epoch 40 | loss: 0.9252
Epoch 41 | loss: 0.8758
Eval Epoch 41 | Regret moyen : 12.0600
Epoch 42 | loss: 0.8694
Epoch 43 | loss: 0.9391
Epoch 44 | loss: 0.8971
Epoch 45 | loss: 0.9035
Epoch 46 | loss: 0.8709
Eval Epoch 46 | Regret moyen : 12.2900
Epoch 47 | loss: 0.8365
Epoch 48 | loss: 0.8547
Epoch 49 | loss: 0.8658
Epoch 50 | loss: 0.8276
Epoch 51 | loss: 0.8191
Eval Epoch 51 | Regret moyen : 12.0400
Epoch 52 | loss: 0.8060
Epoch 53 | loss: 0.8203
Epoch 54 | loss: 0.8350
Epoch 55 | loss: 0.7952
Epoch 56 | loss: 0.7892
Eval Epoch 56 | Regret moyen : 12.1000
Epoch 57 | loss: 0.7588
Epoch 58 | loss: 0.8210
Epoch 59 | loss: 0.7596
Epoch 60 | loss: 0.7601
Epoch 61 | loss: 0.7539
Eval Epoch 61 | Regret moyen : 12.3300
Epoch 62 | loss: 0.7265
Epoch 63 | loss: 0.7321
Epoch 64 | loss: 0.7422
Epoch 65 | loss: 0.7142
Epoch 66 | loss: 0.7298
Eval Epoch 66 | Regret moyen : 12.0200
Epoch 67 | loss: 0.7204
Epoch 68 | loss: 0.6527
Epoch 69 | loss: 0.6943
Epoch 70 | loss: 0.7074
Epoch 71 | loss: 0.7130
Eval Epoch 71 | Regret moyen : 12.0300
Epoch 72 | loss: 0.6540
Epoch 73 | loss: 0.6869
Epoch 74 | loss: 0.6543
Epoch 75 | loss: 0.6883
Epoch 76 | loss: 0.6660
Eval Epoch 76 | Regret moyen : 11.9800
Epoch 77 | loss: 0.6571
Epoch 78 | loss: 0.6757
Epoch 79 | loss: 0.6540
Epoch 80 | loss: 0.6518
Epoch 81 | loss: 0.6062
Eval Epoch 81 | Regret moyen : 12.1900
Epoch 82 | loss: 0.6390
Epoch 83 | loss: 0.6382
Epoch 84 | loss: 0.6335
Epoch 85 | loss: 0.6539
Epoch 86 | loss: 0.6185
Eval Epoch 86 | Regret moyen : 12.3300
Epoch 87 | loss: 0.6234
Epoch 88 | loss: 0.6262
Epoch 89 | loss: 0.5983
Epoch 90 | loss: 0.6081
Epoch 91 | loss: 0.5751
Eval Epoch 91 | Regret moyen : 12.4700
Epoch 92 | loss: 0.6091
Epoch 93 | loss: 0.6021
Epoch 94 | loss: 0.6071
Epoch 95 | loss: 0.6209
Epoch 96 | loss: 0.5909
Eval Epoch 96 | Regret moyen : 12.5500
Epoch 97 | loss: 0.5812
Epoch 98 | loss: 0.5871
Epoch 99 | loss: 0.5819
Epoch 100 | loss: 0.5631
Saving the model to models/SG_{dim}_{num_feat}_{num_item}_{num_data_train}.pth
/home/stephecw/env_projet/lib/python3.10/site-packages/numba/cuda/dispatcher.py:536: NumbaPerformanceWarning: Grid size 100 will likely result in GPU under-utilization due to low occupancy.
  warn(NumbaPerformanceWarning(msg))
