Loading train_5_200_100_500.txt
Loaded test_5_200_100_500.txt
Training the model with regret as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 59.7356
Eval Epoch 1 | Regret moyen : 57.0800
Epoch 2 | loss: 55.5212
Eval Epoch 2 | Regret moyen : 50.7500
Epoch 3 | loss: 49.9437
Eval Epoch 3 | Regret moyen : 48.0100
Epoch 4 | loss: 45.0171
Eval Epoch 4 | Regret moyen : 48.0800
Epoch 5 | loss: 44.1657
Eval Epoch 5 | Regret moyen : 48.0700
Epoch 6 | loss: 44.4433
Eval Epoch 6 | Regret moyen : 48.2900
Epoch 7 | loss: 44.7825
Eval Epoch 7 | Regret moyen : 48.5800
Epoch 8 | loss: 44.8664
Eval Epoch 8 | Regret moyen : 49.1200
Epoch 9 | loss: 44.6468
Eval Epoch 9 | Regret moyen : 49.1700
Epoch 10 | loss: 44.5780
Eval Epoch 10 | Regret moyen : 48.9200
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
