2025-05-06 09:42:09,485 INFO    MainThread:4157070 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_setup.py:_flush():68] Configure stats pid to 4157070
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_setup.py:_flush():68] Loading settings from /home/stephecw/.config/wandb/settings
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_setup.py:_flush():68] Loading settings from /home/stephecw/projet/DFL_LD/knapsack/wandb/settings
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_init.py:setup_run_log_directory():637] Logging user logs to ./wandb/offline-run-20250506_094209-gnxlmvzf/logs/debug.log
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to ./wandb/offline-run-20250506_094209-gnxlmvzf/logs/debug-internal.log
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_init.py:init():756] calling init triggers
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': 'MLP_[200, 100, 100]', 'dropout': 0.2, 'dataset_train': 'train_5_200_100_500.txt', 'dataset_test': 'test_5_200_100_100.txt', 'batch_size': 32, 'epochs': 200, 'learning_rate': 0.002, 'schedulerType': 'StepLR', 'sched_step_size': 150, 'sched_gamma': 0.5, 'IMLE_n_samples': 10, 'IMLE_sigma': 1, 'IMLE_lambd': 10, 'IMLE_two_sides': False, 'IMLE_processes': 1, 'step_mu': 10, 'n_iter_mu': 30, '_wandb': {}}
2025-05-06 09:42:09,486 INFO    MainThread:4157070 [wandb_init.py:init():789] starting backend
2025-05-06 09:42:11,689 INFO    MainThread:4157070 [wandb_init.py:init():793] sending inform_init request
2025-05-06 09:42:11,918 INFO    MainThread:4157070 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-06 09:42:11,919 INFO    MainThread:4157070 [wandb_init.py:init():808] backend started and connected
2025-05-06 09:42:11,921 INFO    MainThread:4157070 [wandb_init.py:init():901] updated telemetry
2025-05-06 09:42:11,922 INFO    MainThread:4157070 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-05-06 09:42:12,590 INFO    MainThread:4157070 [wandb_init.py:init():994] starting run threads in backend
2025-05-06 09:42:26,374 INFO    MainThread:4157070 [wandb_run.py:_console_start():2385] atexit reg
2025-05-06 09:42:26,374 INFO    MainThread:4157070 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-05-06 09:42:26,374 INFO    MainThread:4157070 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-05-06 09:42:26,374 INFO    MainThread:4157070 [wandb_run.py:_redirect():2325] Redirects installed.
2025-05-06 09:42:27,093 INFO    MainThread:4157070 [wandb_init.py:init():1036] run started, returning control to user process
