n,jobtype,ime limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
30,classic,60,IMLE,1,10.0,1.0,5,15,0.14612388327717782,0.04623625651809617,0.12702626725658775,0.05038022263231552
30,LD,60,IMLE,1,10.0,1.0,5,15,0.14650151293724775,0.045509594136861016,0.12949278872460127,0.050634745005603145
30,SG,60,IMLE,1,10.0,1.0,5,30,0.1618699336796999,0.055235135027964656,0.14534723550081252,0.05436103777333959
50,classic,60,IMLE,5,10.0,1.0,5,15,0.17165153875946998,0.04385726372704733,0.14647999988868832,0.04259259249119746
50,LD,60,IMLE,10,1.0,1.0,5,15,0.19679929867386817,0.040835625200477205,0.17553394183516502,0.04086263152055605
50,SG,60,IMLE,5,10.0,1.0,15,10,0.19558548845350743,0.03915611607620437,0.17625921178609133,0.043429968192714906
30,LD,300,IMLE,1,10.0,1.0,5,15,0.1463357963040471,0.04844711350803002,0.12962773783132434,0.05133744910690477
30,classic,300,IMLE,1,10.0,1.0,5,15,0.14563296124339103,0.045320729358873366,0.125978192826733,0.04889861885343002
30,SG,300,IMLE,1,10.0,1.0,5,30,0.14928558614104986,0.04870143111239867,0.1308883848041296,0.05243765332374261
50,classic,300,IMLE,5,10.0,1.0,5,15,0.13625298582017423,0.04007376866522213,0.12402228957042098,0.038281208214221055
50,LD,300,IMLE,10,1.0,1.0,5,15,0.15231639981269837,0.04431911280097187,0.13459274895489215,0.03850782059889947
50,SG,300,IMLE,5,10.0,1.0,15,10,0.14279821328818798,0.03905344152521076,0.12727687906473875,0.03891778146959778
30,LD,600,IMLE,1,10.0,1.0,5,15,0.1505871429294348,0.05045006172019309,0.1317829973809421,0.05252254155081885
30,classic,600,IMLE,1,10.0,1.0,5,15,0.14765910122543574,0.04529583723728741,0.12639388093724846,0.05110076696502047
30,SG,600,IMLE,1,10.0,1.0,5,30,0.14754864260554312,0.047710992711401175,0.13283743172883988,0.05284669834829364
50,classic,600,IMLE,5,10.0,1.0,5,15,0.13212917488068343,0.03784854737825359,0.11971530308946968,0.03596533662366198
50,LD,600,IMLE,10,1.0,1.0,5,15,0.14698450081050396,0.03639529420200496,0.12872257206588983,0.03854469303799654
50,SG,600,IMLE,5,10.0,1.0,15,10,0.14400741133838893,0.03804690332615708,0.12861707475036382,0.04012504170472132
