n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,classic,60,IMLE,1,10.0,1.0,5,15,0.05790221251547337,0.01575786022699923,0.05260762028908357,0.016788766950469207
50,MSE,60,MSE,,,,5,15,0.03047679051756859,0.013166453706742938,0.022097730339830743,0.010054483120637355
50,classic,300,IMLE,1,10.0,1.0,5,15,0.03150702267885208,0.012530436112867712,0.022900353470025583,0.010315022564793705
50,MSE,300,MSE,,,,5,15,0.030466465465724468,0.013217506826388089,0.022045432029524817,0.010057047300398468
50,classic,600,IMLE,1,10.0,1.0,5,15,0.031523187942802906,0.012357389046217911,0.02276268456231337,0.01022217794267745
50,MSE,600,MSE,,,,5,15,0.030345097333192825,0.013183698860632045,0.022046563014015554,0.010031537825151557
50,LD,60,Exact,,,,5,15,0.031587666757404806,0.01246267523890498,0.024478853266010993,0.01046508096446021
50,classic,60,IMLE,1,10.0,1.0,5,15,0.05860502004623413,0.016635837205223,0.04769197792327032,0.014700838601805138
50,classic,300,IMLE,1,10.0,1.0,5,15,0.03155648797750473,0.012382237673166919,0.022952677348069845,0.010246945038622612
50,LD,300,Exact,,,,5,15,0.031852690763771535,0.012432365688269994,0.024397577886795627,0.010459978951311366
50,classic,600,IMLE,1,10.0,1.0,5,15,0.03151388432830572,0.012340987074912236,0.022836969436518847,0.010244869247920986
50,LD,600,Exact,,,,5,15,0.03136538233608008,0.012478722743643674,0.02395863160928711,0.010324116811458967
50,classic,60,SPOPlus,,,,5,15,0.03346897397190332,0.013556159385361005,0.02418184827065561,0.01050611642647031
50,classic,300,SPOPlus,,,,5,15,0.031241308264434338,0.012064711431281119,0.023027336117485538,0.010233083665157508
50,classic,600,SPOPlus,,,,5,15,0.03127268131822348,0.01270126952524252,0.022725393896456808,0.0100921110969405
