n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,60,IMLE,1,10.0,1.0,1,10,0.16877894937992097,0.041348006402572086,0.16874925881177186,0.045078813661261985
50,classic,60,IMLE,1,10.0,1.0,5,15,0.058383731842041015,0.014291556319520813,0.05402804673798382,0.018340786974039534
50,SG,60,Exact,,,,1,10,0.05495624579489231,0.019279205991530164,0.04678721422851086,0.0160042077889644
50,SG,60,SPOPlus,,,,1,10,0.1592383649945259,0.05288963504769048,0.1588339055158198,0.04438184900923659
50,classic,60,SPOPlus,,,,5,15,0.03830252699553967,0.015027491385963772,0.030792738494928928,0.013007197006331711
50,LD,60,IMLE,1,10.0,1.0,5,15,0.1500086537003517,0.033013875852492484,0.1398460692755878,0.03633928886582159
50,LD,60,Exact,,,,5,15,0.03909444056451321,0.01441473199283558,0.03320255016665906,0.013036250165114753
50,LD,60,SPOPlus,,,,5,15,0.07620756275951862,0.015711656911639373,0.07012689063362777,0.022640417445075337
50,MSE,60,MSE,,,,5,15,0.037596823498606685,0.015655261412237383,0.02928601302555762,0.012979917413621608
50,classic,300,IMLE,1,10.0,1.0,5,15,0.037566274553537365,0.014600392928459655,0.029883047286747025,0.013032528306832698
50,SG,300,IMLE,1,10.0,1.0,1,10,0.08746450796723365,0.018567890030024188,0.08535054036267102,0.023695183298263065
50,SG,300,Exact,,,,1,10,0.04043039657175541,0.01484435661808857,0.034341832658462225,0.013534310293445432
50,classic,300,SPOPlus,,,,5,15,0.037768742553889754,0.013991988976182746,0.029672863034997134,0.012909131273462522
50,SG,300,SPOPlus,,,,1,10,0.07478951811790466,0.018396525198648043,0.06741622547265143,0.01883040066705369
50,LD,300,IMLE,1,10.0,1.0,5,15,0.06331810489296913,0.01728902189115084,0.05168980873208493,0.016884570504949025
50,LD,300,Exact,,,,5,15,0.03874875530600548,0.01460985331942452,0.032759977863496166,0.01304366523779965
50,classic,600,IMLE,1,10.0,1.0,5,15,0.03803211841732264,0.014718595723495478,0.029245706485002302,0.012978218028699123
50,LD,300,SPOPlus,,,,5,15,0.03729381762444973,0.01513541479225517,0.029516285514133052,0.01287089180278513
50,MSE,300,MSE,,,,5,15,0.037379780784249306,0.015579411476472077,0.029131310265883805,0.01286461122327069
50,classic,600,SPOPlus,,,,5,15,0.0375572519376874,0.014699423762740794,0.029084348379168658,0.012808505260406325
50,SG,600,IMLE,1,10.0,1.0,1,10,0.05106587946414948,0.014732398264524231,0.04348799185240641,0.014459232453984458
50,SG,600,Exact,,,,1,10,0.0404450074583292,0.014753477716809859,0.03424141892450862,0.013638084772193386
50,SG,600,SPOPlus,,,,1,10,0.04296571470797062,0.015397625316799736,0.036640039356192575,0.01423816799664008
50,LD,600,IMLE,1,10.0,1.0,5,15,0.041759142577648165,0.014324734779087727,0.03564008487085812,0.013400182097781122
50,LD,600,Exact,,,,5,15,0.03925753638148308,0.014366684732420308,0.03287396899652667,0.013199856273373133
50,classic,1800,IMLE,1,10.0,1.0,5,15,0.03784551195800304,0.014484844283371748,0.029293747569411062,0.012958012682110043
50,LD,600,SPOPlus,,,,5,15,0.03692955058068037,0.014521621303526206,0.02984196028318256,0.012854335707903949
50,MSE,600,MSE,,,,5,15,0.03749498389661312,0.015451489754460302,0.029348720752075314,0.01298247933865831
50,classic,1800,SPOPlus,,,,5,15,0.03737651761621237,0.01440896811570336,0.029104017215548082,0.012797572439638147
50,SG,1800,IMLE,1,10.0,1.0,1,10,0.03985466830432415,0.013827823259572231,0.033302218390163035,0.012965057938457529
50,SG,1800,Exact,,,,1,10,0.0405452623963356,0.015070700751565535,0.03421085618743673,0.01356107118004683
50,SG,1800,SPOPlus,,,,1,10,0.04237916633486748,0.014824102928528317,0.03644203361654654,0.013791534560194624
50,LD,1800,IMLE,1,10.0,1.0,5,15,0.03917526468634605,0.01324266894149309,0.033228828999167306,0.012795695165194755
50,LD,1800,Exact,,,,5,15,0.03881132170557976,0.014608899391588074,0.03227722854549065,0.013093880064246869
50,LD,1800,SPOPlus,,,,5,15,0.036734581887722016,0.015232146017942785,0.029036313459090888,0.01287561852282836
50,MSE,1800,MSE,,,,5,15,0.037555191293358804,0.015618909018212576,0.029280425666132943,0.012967260206447015
50,classic,10,IMLE,1,10.0,1.0,5,15,0.08877712339162827,0.02234006686813468,0.0841351874422282,0.024756501283985537
50,classic,10,SPOPlus,,,,5,15,0.042807916030287746,0.0176287898068697,0.032972596697323026,0.013207179803402636
50,MSE,10,MSE,,,,5,15,0.03740506857633591,0.015370971556182188,0.029333493779227136,0.01293478246428408
50,LD,10,SPOPlus,,,,5,15,0.038842052593827246,0.016457172577444928,0.031968636903679,0.013431446658907263
50,LD,10,IMLE,1,10.0,1.0,5,15,0.1391441383957863,0.04613262013163621,0.13501608575563878,0.042933898095567614
50,LD,10,Exact,,,,5,15,0.039259797260165215,0.014534482378528085,0.033429414669889954,0.013444415977218084
50,SG,10,SPOPlus,,,,10,10,0.12116912364959717,0.03533010411439025,0.12266643529981375,0.03337613641627547
50,SG,10,IMLE,1,10.0,1.0,10,10,0.15393644362688064,0.04251103631390523,0.1541967109516263,0.038369560648096
50,SG,10,Exact,,,,20,10,0.04094441145658493,0.014686196922946197,0.0345601927743759,0.013547569517881225
