n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,10,Exact,,,,10,10,0,0,0.024293042719364166,0.01176385022699833
50,SG,60,Exact,,,,10,10,0,0,0.02020072750747204,0.010811451822519302
50,SG,300,Exact,,,,10,10,0.02836202524602413,0.01248931432440757,0.0202007278222125,0.010810911207369859
50,SG,10,Exact,,,,20,10,0,0,0.02011078968644142,0.01072289701551199
50,SG,60,Exact,,,,20,10,0,0,0.02011078968644142,0.01072289701551199
50,SG,300,Exact,,,,20,10,0.028557876013219356,0.012571613077090541,0.020110789972776547,0.010722361142189404
50,SG,10,IMLE,1,10.0,1.0,10,10,0,0,0.18133454024791718,0.04582724720239639
50,SG,60,IMLE,1,10.0,1.0,10,10,0,0,0.024217067286372185,0.012289602309465408
50,SG,300,IMLE,1,10.0,1.0,10,10,0.029265159741044044,0.013003151453110085,0.02030890668539796,0.010765443194643613
50,LD,10,Exact,,,,5,15,0,0,0.020423395559191704,0.01080201007425785
50,LD,60,Exact,,,,5,15,0,0,0.020423395559191704,0.01080201007425785
50,LD,300,Exact,,,,5,15,0.029229047931730746,0.013024080203418656,0.020423396708490325,0.010801469498478324
50,LD,10,IMLE,1,10.0,1.0,5,15,0,0,0.1710948944091797,0.05197269842028618
50,LD,60,IMLE,1,10.0,1.0,5,15,0,0,0.026925519108772278,0.012406532652676105
50,LD,300,IMLE,1,10.0,1.0,5,15,0.02897003959864378,0.013927943563266687,0.020149291705270297,0.01068083795413935
