n,jobtype,time limit,method,muloss,lr,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,LD,10,Exact,False,0.002,5,15,0.029089655727148056,0.028277026489377022,0.012512080371379852,0.020422061905264854,0.018572043627500534,0.010708846151828766
50,LD,60,Exact,False,0.002,5,15,0.029089655727148056,0.028277026489377022,0.012512080371379852,0.020422061905264854,0.018572043627500534,0.010708846151828766
50,LD,300,Exact,False,0.002,5,15,0.029089655727148056,0.028277026489377022,0.012512080371379852,0.020422061905264854,0.018572043627500534,0.010708846151828766
50,LD,600,Exact,False,0.002,5,15,0.029089654870331286,0.028277026489377022,0.012259285066916939,0.020422061713924633,0.018572579137980938,0.010708311119722546
50,SG,10,Exact,False,0.002,20,10,0.028936367481946945,0.028207998722791672,0.012888488359749317,0.020257070660591125,0.018362250179052353,0.010841501876711845
50,SG,60,Exact,False,0.002,20,10,0.028611857444047928,0.028202049434185028,0.012875852175056934,0.020237894728779793,0.01834537461400032,0.010790104046463966
50,SG,300,Exact,False,0.002,20,10,0.028611857444047928,0.028202049434185028,0.012875852175056934,0.020237894728779793,0.01834537461400032,0.010790104046463966
50,SG,600,Exact,False,0.002,20,10,0.028611858449876307,0.028202049434185028,0.012615707037801367,0.020237895083171316,0.01834617368876934,0.010789564462981089
50,SG,10,Exact,False,0.002,20,20,0.03360748291015625,0.03189496695995331,0.014089995063841343,0.025927798822522163,0.02415486052632332,0.012385426089167595
50,SG,60,Exact,False,0.002,20,20,0.028207583352923393,0.02690177410840988,0.013202772475779057,0.019868601113557816,0.01801774464547634,0.010705982334911823
50,SG,300,Exact,False,0.002,20,20,0.028207583352923393,0.02690177410840988,0.013202772475779057,0.019868601113557816,0.01801774464547634,0.010705982334911823
50,SG,600,Exact,False,0.002,20,20,0.02820758182555437,0.02690177410840988,0.01293602219615007,0.01986859935100656,0.018017765134572983,0.010705447087231628
