n,jobtype,time limit,method,muloss,lr,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,classic,10,IMLE,True,0.01,5,15,0.01937229186296463,0.01745608076453209,0.011393211781978607,0.024590447545051575,0.022945893928408623,0.013466964475810528
50,classic,60,IMLE,True,0.01,5,15,0.01937229186296463,0.01745608076453209,0.011393211781978607,0.024590447545051575,0.022945893928408623,0.013466964475810528
50,classic,300,IMLE,True,0.01,5,15,0.01915714703500271,0.01756036840379238,0.011389174498617649,0.024586476385593414,0.023328006267547607,0.013888655230402946
50,classic,600,IMLE,True,0.01,5,15,0.02465860016644001,0.024101808667182922,0.013684284996748614,0.017579171559150564,0.015810257755219936,0.010589612825851193
50,classic,10,SPOPlus,True,0.002,5,15,0.02064158022403717,0.0184362530708313,0.011986161582171917,0.027458559721708298,0.024789495393633842,0.01562507636845112
50,classic,60,SPOPlus,True,0.002,5,15,0.020200151950120926,0.018649637699127197,0.011336296796798706,0.02526569925248623,0.024496739730238914,0.013713613152503967
50,classic,300,SPOPlus,True,0.002,5,15,0.01980855129659176,0.01846620813012123,0.01150925736874342,0.025216806679964066,0.024628859013319016,0.013944034464657307
50,classic,600,SPOPlus,True,0.002,5,15,0.02504059111699462,0.02433098293840885,0.01385970788417015,0.0179359079123009,0.016181345097720623,0.010637328160881436
50,LD,10,Exact,True,0.002,5,15,0.030874960124492645,0.0288295466452837,0.013051005080342293,0.022763289511203766,0.020853674039244652,0.01140050683170557
50,LD,60,Exact,True,0.002,5,15,0.030874960124492645,0.0288295466452837,0.013051005080342293,0.022763289511203766,0.020853674039244652,0.01140050683170557
50,LD,300,Exact,True,0.002,5,15,0.030874960124492645,0.0288295466452837,0.013051005080342293,0.022763289511203766,0.020853674039244652,0.01140050683170557
50,LD,600,Exact,True,0.002,5,15,0.030874961651861668,0.0288295466452837,0.012787321267163518,0.022763290127972142,0.02085447683930397,0.011399936944059516
50,MSE,10,MSE,True,0.002,5,15,0.03239934891462326,0.029969297349452972,0.014691803604364395,0.02340022288262844,0.021362727507948875,0.011519066989421844
50,MSE,60,MSE,True,0.002,5,15,0.03239934891462326,0.029969297349452972,0.014691803604364395,0.02340022288262844,0.021362727507948875,0.011519066989421844
50,MSE,300,MSE,True,0.002,5,15,0.03239934891462326,0.029969297349452972,0.014691803604364395,0.02340022288262844,0.021362727507948875,0.011519066989421844
50,MSE,600,MSE,True,0.002,5,15,0.03239934947341681,0.029969297349452972,0.014394968781646032,0.023400222213589585,0.021362822502851486,0.011518491340259576
50,SG,10,Exact,True,0.002,20,10,0.03238929808139801,0.03107067197561264,0.013008316978812218,0.023938169702887535,0.022041045129299164,0.01181479450315237
50,SG,60,Exact,True,0.002,20,10,0.03228965401649475,0.030576633289456367,0.01304249931126833,0.023770147934556007,0.021872662007808685,0.011797168292105198
50,SG,300,Exact,True,0.002,20,10,0.0320555716753006,0.030475232750177383,0.013317306526005268,0.023544086143374443,0.021575700491666794,0.011867435649037361
50,SG,600,Exact,True,0.002,20,10,0.032055570594966415,0.030475232750177383,0.01304824222722606,0.02354408480802085,0.02157916035503149,0.011866842393637373
50,SG,10,Exact,True,0.002,20,20,0.032443560659885406,0.03093869611620903,0.013041571713984013,0.02388191595673561,0.02197178639471531,0.011851528659462929
50,SG,60,Exact,True,0.002,20,20,0.03229603171348572,0.030778959393501282,0.013080310076475143,0.023740282282233238,0.02180730178952217,0.011839684098958969
50,SG,300,Exact,True,0.002,20,20,0.03215803578495979,0.03075721673667431,0.013277972117066383,0.02360718883574009,0.021658433601260185,0.011900304816663265
50,SG,600,Exact,True,0.002,20,20,0.03215803660452366,0.03075721673667431,0.01300970293559792,0.02360718957183417,0.02165976632386446,0.011899709759014089
