n,jobtype,time limit,method,muloss,lr,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,classic,10,IMLE,True,0.01,5,15,0.019257802516222,0.017001891508698463,0.011507776565849781,0.024543628096580505,0.024405239149928093,0.013309471309185028
50,classic,60,IMLE,True,0.01,5,15,0.019257802516222,0.017001891508698463,0.011507776565849781,0.024543628096580505,0.024405239149928093,0.013309471309185028
50,classic,300,IMLE,True,0.01,5,15,0.019104762002825737,0.01740204356610775,0.011365697719156742,0.024551108479499817,0.023592816665768623,0.013898179866373539
50,classic,600,IMLE,True,0.01,5,15,0.024551108423620464,0.023592816665768623,0.013617379291546473,0.017600778307643485,0.01581018604338169,0.010602727871747377
50,classic,10,SPOPlus,True,0.002,5,15,0.02150264009833336,0.018923509865999222,0.01184976939111948,0.02668260596692562,0.026318946853280067,0.013594323769211769
50,classic,60,SPOPlus,True,0.002,5,15,0.020254647359251976,0.018789632245898247,0.011712840758264065,0.02527938410639763,0.023880060762166977,0.013427319936454296
50,classic,300,SPOPlus,True,0.002,5,15,0.0198395773768425,0.01857833005487919,0.011573267169296741,0.02523532323539257,0.02414325252175331,0.013911117799580097
50,classic,600,SPOPlus,True,0.002,5,15,0.024935718681663274,0.024542657658457756,0.013973904824009719,0.017770401790027972,0.016006769612431526,0.010620625192227172
50,MSE,10,MSE,True,0.002,5,15,0.032311681658029556,0.029729552567005157,0.014960494823753834,0.023086657747626305,0.021070217713713646,0.011280166916549206
50,MSE,60,MSE,True,0.002,5,15,0.032311681658029556,0.029729552567005157,0.014960494823753834,0.023086657747626305,0.021070217713713646,0.011280166916549206
50,MSE,300,MSE,True,0.002,5,15,0.032311681658029556,0.029729552567005157,0.014960494823753834,0.023086657747626305,0.021070217713713646,0.011280166916549206
50,MSE,600,MSE,True,0.002,5,15,0.03231168270111084,0.029729552567005157,0.014658231806183395,0.023086657457053662,0.021071297116577625,0.011279602929169748
50,LD,10,Exact,True,0.002,5,15,0.030825326219201088,0.02883150428533554,0.013133901171386242,0.022646619006991386,0.02072257176041603,0.01136901043355465
50,LD,60,Exact,True,0.002,5,15,0.030825326219201088,0.02883150428533554,0.013133901171386242,0.022646619006991386,0.02072257176041603,0.01136901043355465
50,LD,300,Exact,True,0.002,5,15,0.030825326219201088,0.02883150428533554,0.013133901171386242,0.022646619006991386,0.02072257176041603,0.01136901043355465
50,LD,600,Exact,True,0.002,5,15,0.030793034806847572,0.029043996706604958,0.01280486311523999,0.022551465540612117,0.020620442926883698,0.011339744473592461
50,SG,10,Exact,True,0.002,20,10,0.0331110879778862,0.03224046900868416,0.013376330025494099,0.024256186559796333,0.022396108135581017,0.012099215760827065
50,SG,60,Exact,True,0.002,20,10,0.03200691565871239,0.030756976455450058,0.012842134572565556,0.023914840072393417,0.02203659899532795,0.011635461822152138
50,SG,300,Exact,True,0.002,20,10,0.03200691565871239,0.030756976455450058,0.012842134572565556,0.023914840072393417,0.02203659899532795,0.011635461822152138
50,SG,600,Exact,True,0.002,20,10,0.032006913945078846,0.030756976455450058,0.012582670454413117,0.02391483826690819,0.022040831856429577,0.011634880425618608
50,SG,10,Exact,True,0.002,20,20,0.03959379345178604,0.04344838857650757,0.014634325169026852,0.03128141537308693,0.029307618737220764,0.014030958525836468
50,SG,60,Exact,True,0.002,20,20,0.03226692974567413,0.03127029538154602,0.013106342405080795,0.023791478946805,0.021911650896072388,0.011670286767184734
50,SG,300,Exact,True,0.002,20,20,0.03226692974567413,0.03127029538154602,0.013106342405080795,0.023791478946805,0.021911650896072388,0.011670286767184734
50,SG,600,Exact,True,0.002,20,20,0.0322158594802022,0.03005940467119217,0.01287209294941658,0.023749343181494624,0.02180786430835724,0.011803454832739499
