n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,classic,10,IMLE,1,10,1,5,15,0.20819664001464844,0.2015010267496109,0.05329370126128197,0.20294462144374847,0.20335476100444794,0.07523809373378754
50,classic,60,IMLE,1,10,1,5,15,0.20819664001464844,0.2015010267496109,0.05329370126128197,0.20294462144374847,0.20335476100444794,0.07523809373378754
50,classic,300,IMLE,1,10,1,5,15,0.20819665491580963,0.2015010267496109,0.05329370126128197,0.20294462144374847,0.20335476100444794,0.07523809373378754
50,classic,600,IMLE,1,10,1,5,15,0.02455749297514558,0.02439277619123459,0.013538516953722856,0.01762525593462633,0.015803774818778038,0.010617100283247003
50,classic,10,SPOPlus,,,,5,15,0.20819664001464844,0.2015010267496109,0.05329370126128197,0.20294462144374847,0.20335476100444794,0.07523809373378754
50,classic,60,SPOPlus,,,,5,15,0.20819664001464844,0.2015010267496109,0.05329370126128197,0.20294462144374847,0.20335476100444794,0.07523809373378754
50,classic,300,SPOPlus,,,,5,15,0.20819662511348724,0.2015010267496109,0.05329370126128197,0.20294462144374847,0.20335476100444794,0.07523809373378754
50,classic,600,SPOPlus,,,,5,15,0.02570121856406331,0.02430211752653122,0.01321764004535138,0.019028330199245828,0.017286394722759724,0.010684313381309127
50,LD,10,Exact,,,,5,15,0.02979378029704094,0.027225486934185028,0.012878567911684513,0.0214224923402071,0.019460519775748253,0.010939696803689003
50,LD,60,Exact,,,,5,15,0.029353976249694824,0.027972020208835602,0.012917360290884972,0.020689547061920166,0.018767617642879486,0.01080281287431717
50,LD,300,Exact,,,,5,15,0.029353976249694824,0.027972020208835602,0.012917360290884972,0.020689547061920166,0.018767617642879486,0.01080281287431717
50,LD,600,Exact,,,,5,15,0.029353975616395474,0.027972020208835602,0.012656376304423279,0.02068954862607643,0.018768825568258762,0.010802272466664967
50,SG,10,Exact,,,,10,10,0.036262396723032,0.036099232733249664,0.013881892897188663,0.02764863893389702,0.0256746057420969,0.01215904951095581
50,SG,60,Exact,,,,10,10,0.03224600851535797,0.030402274802327156,0.013140140101313591,0.023837024345993996,0.02194158546626568,0.01157378125935793
50,SG,300,Exact,,,,10,10,0.03224600851535797,0.030402274802327156,0.013140140101313591,0.023837024345993996,0.02194158546626568,0.01157378125935793
50,SG,600,Exact,,,,10,10,0.03214283511042595,0.029844453558325768,0.012898224798040996,0.02371329087263439,0.021764143370091915,0.011738650675727132
50,SG,10,Exact,,,,10,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,10,20,0.03239075094461441,0.03062717616558075,0.013420618139207363,0.023812483996152878,0.021874910220503807,0.01189443003386259
50,SG,300,Exact,,,,10,20,0.03230650722980499,0.030313732102513313,0.013103718869388103,0.023879991844296455,0.021999841555953026,0.011770913377404213
50,SG,600,Exact,,,,10,20,0.032273781411349775,0.029989099130034447,0.012854685773995653,0.023752734497981147,0.021843270398676395,0.011758207721423542
