2025-05-02 13:15:33,454 INFO    MainThread:2692274 [wandb_init.py:setup_run_log_directory():637] Logging user logs to ./wandb/offline-run-20250502_131533-5ba2rg2l/logs/debug.log
2025-05-02 13:15:33,456 INFO    MainThread:2692274 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to ./wandb/offline-run-20250502_131533-5ba2rg2l/logs/debug-internal.log
2025-05-02 13:15:33,456 INFO    MainThread:2692274 [wandb_init.py:init():756] calling init triggers
2025-05-02 13:15:33,456 INFO    MainThread:2692274 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': 'MLP_[200, 100, 30]', 'dropout': 0.2, 'dataset_train': 'train_[30]_500_200_2-25.txt', 'dataset_test': 'test_[30]_500_200_2-25.txt', 'batch_size': 32, 'epochs': 3, 'learning_rate': 0.002, 'schedulerType': 'StepLR', 'sched_step_size': 150, 'sched_gamma': 0.5, 'QPTL_alpha': 1e-06, 'QPTL_regularizer': 'quadratic', 'step_mu': 10, 'n_iter_mu': 30, '_wandb': {}}
2025-05-02 13:15:33,456 INFO    MainThread:2692274 [wandb_init.py:init():789] starting backend
2025-05-02 13:15:33,456 INFO    MainThread:2692274 [wandb_init.py:init():793] sending inform_init request
2025-05-02 13:15:33,457 INFO    MainThread:2692274 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-02 13:15:33,457 INFO    MainThread:2692274 [wandb_init.py:init():808] backend started and connected
2025-05-02 13:15:33,459 INFO    MainThread:2692274 [wandb_init.py:init():901] updated telemetry
2025-05-02 13:15:33,460 INFO    MainThread:2692274 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-05-02 13:15:33,602 INFO    MainThread:2692274 [wandb_init.py:init():994] starting run threads in backend
2025-05-02 13:15:33,763 INFO    MainThread:2692274 [wandb_run.py:_console_start():2385] atexit reg
2025-05-02 13:15:33,763 INFO    MainThread:2692274 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-05-02 13:15:33,763 INFO    MainThread:2692274 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-05-02 13:15:33,763 INFO    MainThread:2692274 [wandb_run.py:_redirect():2325] Redirects installed.
2025-05-02 13:15:33,764 INFO    MainThread:2692274 [wandb_init.py:init():1036] run started, returning control to user process
2025-05-02 13:16:10,991 INFO    MainThread:2692274 [wandb_run.py:_finish():2110] finishing run hugoper-polytechnique-montr-al/DFL_LD/5ba2rg2l
2025-05-02 13:16:10,991 INFO    MainThread:2692274 [wandb_run.py:_atexit_cleanup():2350] got exitcode: 0
2025-05-02 13:16:10,993 INFO    MainThread:2692274 [wandb_run.py:_restore():2332] restore
2025-05-02 13:16:10,993 INFO    MainThread:2692274 [wandb_run.py:_restore():2338] restore done
2025-05-02 13:16:11,998 INFO    MainThread:2692274 [wandb_run.py:_footer_history_summary_info():3963] rendering history
2025-05-02 13:16:11,998 INFO    MainThread:2692274 [wandb_run.py:_footer_history_summary_info():3995] rendering summary
