Loading train_30_500_200_2-25.txt
Loading test_30_500_200_2-25.txt
Training the model with regret as loss...
Epoch 1 | loss: 0.0338
Restricted license - for non-production use only - expires 2026-11-23
Eval Epoch 1 | Regret moyen : 0.0307
Epoch 2 | loss: 0.0275
Epoch 3 | loss: 0.0245
Epoch 4 | loss: 0.0219
Epoch 5 | loss: 0.0208
Epoch 6 | loss: 0.0197
Eval Epoch 6 | Regret moyen : 0.0270
Epoch 7 | loss: 0.0186
Epoch 8 | loss: 0.0182
Epoch 9 | loss: 0.0176
Epoch 10 | loss: 0.0172
Epoch 11 | loss: 0.0171
Eval Epoch 11 | Regret moyen : 0.0261
Epoch 12 | loss: 0.0168
Epoch 13 | loss: 0.0165
Epoch 14 | loss: 0.0164
Epoch 15 | loss: 0.0160
Epoch 16 | loss: 0.0160
Eval Epoch 16 | Regret moyen : 0.0258
Epoch 17 | loss: 0.0158
Epoch 18 | loss: 0.0160
Epoch 19 | loss: 0.0162
Epoch 20 | loss: 0.0159
Epoch 21 | loss: 0.0161
Eval Epoch 21 | Regret moyen : 0.0257
Epoch 22 | loss: 0.0157
Epoch 23 | loss: 0.0156
Epoch 24 | loss: 0.0158
Epoch 25 | loss: 0.0159
Epoch 26 | loss: 0.0156
Eval Epoch 26 | Regret moyen : 0.0256
Epoch 27 | loss: 0.0158
Epoch 28 | loss: 0.0158
Epoch 29 | loss: 0.0158
Epoch 30 | loss: 0.0158
Epoch 31 | loss: 0.0156
Eval Epoch 31 | Regret moyen : 0.0256
Epoch 32 | loss: 0.0156
Epoch 33 | loss: 0.0156
Epoch 34 | loss: 0.0155
Epoch 35 | loss: 0.0158
Epoch 36 | loss: 0.0158
Eval Epoch 36 | Regret moyen : 0.0256
Epoch 37 | loss: 0.0157
Epoch 38 | loss: 0.0158
Epoch 39 | loss: 0.0158
Epoch 40 | loss: 0.0157
Epoch 41 | loss: 0.0158
Eval Epoch 41 | Regret moyen : 0.0256
Epoch 42 | loss: 0.0158
Epoch 43 | loss: 0.0157
Epoch 44 | loss: 0.0158
Epoch 45 | loss: 0.0156
Epoch 46 | loss: 0.0155
Eval Epoch 46 | Regret moyen : 0.0256
Epoch 47 | loss: 0.0160
Epoch 48 | loss: 0.0157
Epoch 49 | loss: 0.0158
Epoch 50 | loss: 0.0155
Epoch 51 | loss: 0.0158
Eval Epoch 51 | Regret moyen : 0.0256
Epoch 52 | loss: 0.0159
Epoch 53 | loss: 0.0157
Epoch 54 | loss: 0.0158
Epoch 55 | loss: 0.0157
Epoch 56 | loss: 0.0157
Eval Epoch 56 | Regret moyen : 0.0256
Epoch 57 | loss: 0.0158
Epoch 58 | loss: 0.0158
Epoch 59 | loss: 0.0160
Epoch 60 | loss: 0.0157
Epoch 61 | loss: 0.0158
Eval Epoch 61 | Regret moyen : 0.0256
Epoch 62 | loss: 0.0158
Epoch 63 | loss: 0.0158
Epoch 64 | loss: 0.0157
Epoch 65 | loss: 0.0157
Epoch 66 | loss: 0.0157
Eval Epoch 66 | Regret moyen : 0.0256
Epoch 67 | loss: 0.0157
Epoch 68 | loss: 0.0157
Epoch 69 | loss: 0.0156
Epoch 70 | loss: 0.0156
Epoch 71 | loss: 0.0157
Eval Epoch 71 | Regret moyen : 0.0256
Epoch 72 | loss: 0.0157
Epoch 73 | loss: 0.0159
Epoch 74 | loss: 0.0157
Epoch 75 | loss: 0.0158
Epoch 76 | loss: 0.0158
Eval Epoch 76 | Regret moyen : 0.0256
Epoch 77 | loss: 0.0155
Epoch 78 | loss: 0.0157
Epoch 79 | loss: 0.0156
Epoch 80 | loss: 0.0157
Epoch 81 | loss: 0.0158
Eval Epoch 81 | Regret moyen : 0.0256
Epoch 82 | loss: 0.0158
Epoch 83 | loss: 0.0158
Epoch 84 | loss: 0.0159
Epoch 85 | loss: 0.0158
Epoch 86 | loss: 0.0160
Eval Epoch 86 | Regret moyen : 0.0256
Epoch 87 | loss: 0.0157
Epoch 88 | loss: 0.0158
Epoch 89 | loss: 0.0157
Epoch 90 | loss: 0.0158
Epoch 91 | loss: 0.0155
Eval Epoch 91 | Regret moyen : 0.0256
Epoch 92 | loss: 0.0156
Epoch 93 | loss: 0.0157
Epoch 94 | loss: 0.0160
Epoch 95 | loss: 0.0158
Epoch 96 | loss: 0.0160
Eval Epoch 96 | Regret moyen : 0.0256
Epoch 97 | loss: 0.0158
Epoch 98 | loss: 0.0158
Epoch 99 | loss: 0.0160
Epoch 100 | loss: 0.0157
Saving the model to models/{num_item}_{num_data_train}_{num_feat}.pth
