Loading train_30_500_200_2-25.txt
Loading test_30_500_200_2-25.txt
Training the model with regret as loss...
Epoch 1 | loss: 0.0314
Restricted license - for non-production use only - expires 2026-11-23
Eval Epoch 1 | Regret moyen : 0.0302
Epoch 2 | loss: 0.0267
Epoch 3 | loss: 0.0233
Epoch 4 | loss: 0.0204
Epoch 5 | loss: 0.0185
Epoch 6 | loss: 0.0164
Eval Epoch 6 | Regret moyen : 0.0248
Epoch 7 | loss: 0.0152
Epoch 8 | loss: 0.0141
Epoch 9 | loss: 0.0139
Epoch 10 | loss: 0.0130
Epoch 11 | loss: 0.0127
Eval Epoch 11 | Regret moyen : 0.0232
Epoch 12 | loss: 0.0122
Epoch 13 | loss: 0.0118
Epoch 14 | loss: 0.0113
Epoch 15 | loss: 0.0112
Epoch 16 | loss: 0.0113
Eval Epoch 16 | Regret moyen : 0.0227
Epoch 17 | loss: 0.0110
Epoch 18 | loss: 0.0106
Epoch 19 | loss: 0.0105
Epoch 20 | loss: 0.0105
Epoch 21 | loss: 0.0103
Eval Epoch 21 | Regret moyen : 0.0223
Epoch 22 | loss: 0.0102
Epoch 23 | loss: 0.0102
Epoch 24 | loss: 0.0101
Epoch 25 | loss: 0.0100
Epoch 26 | loss: 0.0100
Eval Epoch 26 | Regret moyen : 0.0222
Epoch 27 | loss: 0.0097
Epoch 28 | loss: 0.0099
Epoch 29 | loss: 0.0098
Epoch 30 | loss: 0.0098
Epoch 31 | loss: 0.0097
Eval Epoch 31 | Regret moyen : 0.0221
Epoch 32 | loss: 0.0098
Epoch 33 | loss: 0.0095
Epoch 34 | loss: 0.0095
Epoch 35 | loss: 0.0095
Epoch 36 | loss: 0.0095
Eval Epoch 36 | Regret moyen : 0.0220
Epoch 37 | loss: 0.0095
Epoch 38 | loss: 0.0096
Epoch 39 | loss: 0.0096
Epoch 40 | loss: 0.0095
Epoch 41 | loss: 0.0095
Eval Epoch 41 | Regret moyen : 0.0220
Epoch 42 | loss: 0.0094
Epoch 43 | loss: 0.0095
Epoch 44 | loss: 0.0095
Epoch 45 | loss: 0.0094
Epoch 46 | loss: 0.0094
Eval Epoch 46 | Regret moyen : 0.0220
Epoch 47 | loss: 0.0094
Epoch 48 | loss: 0.0094
Epoch 49 | loss: 0.0094
Epoch 50 | loss: 0.0095
Epoch 51 | loss: 0.0093
Eval Epoch 51 | Regret moyen : 0.0220
Epoch 52 | loss: 0.0094
Epoch 53 | loss: 0.0095
Epoch 54 | loss: 0.0093
Epoch 55 | loss: 0.0093
Epoch 56 | loss: 0.0095
Eval Epoch 56 | Regret moyen : 0.0220
Epoch 57 | loss: 0.0095
Epoch 58 | loss: 0.0094
Epoch 59 | loss: 0.0093
Epoch 60 | loss: 0.0093
Epoch 61 | loss: 0.0094
Eval Epoch 61 | Regret moyen : 0.0220
Epoch 62 | loss: 0.0093
Epoch 63 | loss: 0.0093
Epoch 64 | loss: 0.0093
Epoch 65 | loss: 0.0094
Epoch 66 | loss: 0.0097
Eval Epoch 66 | Regret moyen : 0.0220
Epoch 67 | loss: 0.0094
Epoch 68 | loss: 0.0095
Epoch 69 | loss: 0.0093
Epoch 70 | loss: 0.0093
Epoch 71 | loss: 0.0093
Eval Epoch 71 | Regret moyen : 0.0220
Epoch 72 | loss: 0.0095
Epoch 73 | loss: 0.0094
Epoch 74 | loss: 0.0094
Epoch 75 | loss: 0.0095
Epoch 76 | loss: 0.0094
Eval Epoch 76 | Regret moyen : 0.0220
Epoch 77 | loss: 0.0094
Epoch 78 | loss: 0.0095
Epoch 79 | loss: 0.0094
Epoch 80 | loss: 0.0094
Epoch 81 | loss: 0.0093
Eval Epoch 81 | Regret moyen : 0.0220
Epoch 82 | loss: 0.0094
Epoch 83 | loss: 0.0094
Epoch 84 | loss: 0.0094
Epoch 85 | loss: 0.0096
Epoch 86 | loss: 0.0095
Eval Epoch 86 | Regret moyen : 0.0220
Epoch 87 | loss: 0.0095
Epoch 88 | loss: 0.0095
Epoch 89 | loss: 0.0095
Epoch 90 | loss: 0.0094
Epoch 91 | loss: 0.0096
Eval Epoch 91 | Regret moyen : 0.0220
Epoch 92 | loss: 0.0094
Epoch 93 | loss: 0.0093
Epoch 94 | loss: 0.0097
Epoch 95 | loss: 0.0097
Epoch 96 | loss: 0.0094
Eval Epoch 96 | Regret moyen : 0.0220
Epoch 97 | loss: 0.0094
Epoch 98 | loss: 0.0095
Epoch 99 | loss: 0.0094
Epoch 100 | loss: 0.0095
Epoch 101 | loss: 0.0095
Eval Epoch 101 | Regret moyen : 0.0220
Epoch 102 | loss: 0.0092
Epoch 103 | loss: 0.0094
Epoch 104 | loss: 0.0095
Epoch 105 | loss: 0.0095
