Loading train_50_500_200_2-25.txt
Loading test_50_500_200_2-25.txt
Training the model with regret as loss...
Epoch 1 | loss: 0.0305
Restricted license - for non-production use only - expires 2026-11-23
Eval Epoch 1 | Regret moyen : 0.0295
Epoch 2 | loss: 0.0264
Epoch 3 | loss: 0.0236
Epoch 4 | loss: 0.0211
Epoch 5 | loss: 0.0194
Epoch 6 | loss: 0.0176
Eval Epoch 6 | Regret moyen : 0.0248
Epoch 7 | loss: 0.0166
Epoch 8 | loss: 0.0154
Epoch 9 | loss: 0.0143
Epoch 10 | loss: 0.0137
Epoch 11 | loss: 0.0130
Eval Epoch 11 | Regret moyen : 0.0226
Epoch 12 | loss: 0.0123
Epoch 13 | loss: 0.0118
Epoch 14 | loss: 0.0114
Epoch 15 | loss: 0.0110
Epoch 16 | loss: 0.0105
Eval Epoch 16 | Regret moyen : 0.0214
Epoch 17 | loss: 0.0102
Epoch 18 | loss: 0.0097
Epoch 19 | loss: 0.0096
Epoch 20 | loss: 0.0092
Epoch 21 | loss: 0.0090
Eval Epoch 21 | Regret moyen : 0.0209
Epoch 22 | loss: 0.0087
Epoch 23 | loss: 0.0087
Epoch 24 | loss: 0.0086
Epoch 25 | loss: 0.0083
Epoch 26 | loss: 0.0081
Eval Epoch 26 | Regret moyen : 0.0205
Epoch 27 | loss: 0.0081
Epoch 28 | loss: 0.0078
Epoch 29 | loss: 0.0078
Epoch 30 | loss: 0.0077
Epoch 31 | loss: 0.0076
Eval Epoch 31 | Regret moyen : 0.0202
Epoch 32 | loss: 0.0072
Epoch 33 | loss: 0.0073
Epoch 34 | loss: 0.0072
Epoch 35 | loss: 0.0073
Epoch 36 | loss: 0.0073
Eval Epoch 36 | Regret moyen : 0.0202
Epoch 37 | loss: 0.0069
Epoch 38 | loss: 0.0070
Epoch 39 | loss: 0.0069
Epoch 40 | loss: 0.0068
Epoch 41 | loss: 0.0070
Eval Epoch 41 | Regret moyen : 0.0201
Epoch 42 | loss: 0.0069
Epoch 43 | loss: 0.0069
Epoch 44 | loss: 0.0066
Epoch 45 | loss: 0.0068
Epoch 46 | loss: 0.0067
Eval Epoch 46 | Regret moyen : 0.0201
Epoch 47 | loss: 0.0067
Epoch 48 | loss: 0.0067
Epoch 49 | loss: 0.0065
Epoch 50 | loss: 0.0066
Epoch 51 | loss: 0.0066
Eval Epoch 51 | Regret moyen : 0.0200
Epoch 52 | loss: 0.0065
Epoch 53 | loss: 0.0063
Epoch 54 | loss: 0.0063
Epoch 55 | loss: 0.0062
Epoch 56 | loss: 0.0060
Eval Epoch 56 | Regret moyen : 0.0199
Epoch 57 | loss: 0.0063
Epoch 58 | loss: 0.0062
Epoch 59 | loss: 0.0061
Epoch 60 | loss: 0.0062
Epoch 61 | loss: 0.0061
Eval Epoch 61 | Regret moyen : 0.0200
Epoch 62 | loss: 0.0060
Epoch 63 | loss: 0.0060
Epoch 64 | loss: 0.0058
Epoch 65 | loss: 0.0058
Epoch 66 | loss: 0.0059
Eval Epoch 66 | Regret moyen : 0.0199
Epoch 67 | loss: 0.0059
Epoch 68 | loss: 0.0059
Epoch 69 | loss: 0.0059
Epoch 70 | loss: 0.0058
Epoch 71 | loss: 0.0058
Eval Epoch 71 | Regret moyen : 0.0199
Epoch 72 | loss: 0.0057
Epoch 73 | loss: 0.0057
Epoch 74 | loss: 0.0059
Epoch 75 | loss: 0.0058
Epoch 76 | loss: 0.0057
Eval Epoch 76 | Regret moyen : 0.0199
Epoch 77 | loss: 0.0057
Epoch 78 | loss: 0.0056
Epoch 79 | loss: 0.0057
Epoch 80 | loss: 0.0058
Epoch 81 | loss: 0.0056
Eval Epoch 81 | Regret moyen : 0.0198
Epoch 82 | loss: 0.0057
Epoch 83 | loss: 0.0056
Epoch 84 | loss: 0.0056
Epoch 85 | loss: 0.0058
Epoch 86 | loss: 0.0057
Eval Epoch 86 | Regret moyen : 0.0198
Epoch 87 | loss: 0.0057
Epoch 88 | loss: 0.0056
Epoch 89 | loss: 0.0057
Epoch 90 | loss: 0.0054
Epoch 91 | loss: 0.0057
Eval Epoch 91 | Regret moyen : 0.0199
Epoch 92 | loss: 0.0056
Epoch 93 | loss: 0.0056
Epoch 94 | loss: 0.0055
Epoch 95 | loss: 0.0056
Epoch 96 | loss: 0.0054
Eval Epoch 96 | Regret moyen : 0.0199
Epoch 97 | loss: 0.0055
Epoch 98 | loss: 0.0053
Epoch 99 | loss: 0.0055
Epoch 100 | loss: 0.0053
Epoch 101 | loss: 0.0054
Eval Epoch 101 | Regret moyen : 0.0199
Epoch 102 | loss: 0.0053
Epoch 103 | loss: 0.0053
Epoch 104 | loss: 0.0053
Epoch 105 | loss: 0.0054
Epoch 106 | loss: 0.0055
Eval Epoch 106 | Regret moyen : 0.0199
Epoch 107 | loss: 0.0052
Epoch 108 | loss: 0.0052
Epoch 109 | loss: 0.0053
Epoch 110 | loss: 0.0053
Epoch 111 | loss: 0.0052
Eval Epoch 111 | Regret moyen : 0.0199
Epoch 112 | loss: 0.0054
Epoch 113 | loss: 0.0053
