Loading train_30_500_200_2-25.txt
Loading test_30_500_200_2-25.txt
Training the model with regret as loss...
Epoch 1 | loss: 0.0342
Restricted license - for non-production use only - expires 2026-11-23
Eval Epoch 1 | Regret moyen : 0.0305
Epoch 2 | loss: 0.0279
Epoch 3 | loss: 0.0249
Epoch 4 | loss: 0.0220
Epoch 5 | loss: 0.0198
Epoch 6 | loss: 0.0179
Eval Epoch 6 | Regret moyen : 0.0252
Epoch 7 | loss: 0.0163
Epoch 8 | loss: 0.0150
Epoch 9 | loss: 0.0138
Epoch 10 | loss: 0.0128
Epoch 11 | loss: 0.0121
Eval Epoch 11 | Regret moyen : 0.0230
Epoch 12 | loss: 0.0115
Epoch 13 | loss: 0.0106
Epoch 14 | loss: 0.0104
Epoch 15 | loss: 0.0097
Epoch 16 | loss: 0.0094
Eval Epoch 16 | Regret moyen : 0.0216
Epoch 17 | loss: 0.0089
Epoch 18 | loss: 0.0088
Epoch 19 | loss: 0.0083
Epoch 20 | loss: 0.0080
Epoch 21 | loss: 0.0077
Eval Epoch 21 | Regret moyen : 0.0209
Epoch 22 | loss: 0.0076
Epoch 23 | loss: 0.0074
Epoch 24 | loss: 0.0072
Epoch 25 | loss: 0.0068
Epoch 26 | loss: 0.0068
Eval Epoch 26 | Regret moyen : 0.0204
Epoch 27 | loss: 0.0066
Epoch 28 | loss: 0.0065
Epoch 29 | loss: 0.0063
Epoch 30 | loss: 0.0062
Epoch 31 | loss: 0.0059
Eval Epoch 31 | Regret moyen : 0.0201
Epoch 32 | loss: 0.0061
Epoch 33 | loss: 0.0058
Epoch 34 | loss: 0.0057
Epoch 35 | loss: 0.0058
Epoch 36 | loss: 0.0056
Eval Epoch 36 | Regret moyen : 0.0200
Epoch 37 | loss: 0.0056
Epoch 38 | loss: 0.0053
Epoch 39 | loss: 0.0052
Epoch 40 | loss: 0.0053
Epoch 41 | loss: 0.0051
Eval Epoch 41 | Regret moyen : 0.0200
Epoch 42 | loss: 0.0051
Epoch 43 | loss: 0.0050
Epoch 44 | loss: 0.0049
Epoch 45 | loss: 0.0049
Epoch 46 | loss: 0.0047
Eval Epoch 46 | Regret moyen : 0.0199
Epoch 47 | loss: 0.0048
Epoch 48 | loss: 0.0046
Epoch 49 | loss: 0.0047
Epoch 50 | loss: 0.0045
Epoch 51 | loss: 0.0044
Eval Epoch 51 | Regret moyen : 0.0198
Epoch 52 | loss: 0.0044
Epoch 53 | loss: 0.0044
Epoch 54 | loss: 0.0044
Epoch 55 | loss: 0.0043
Epoch 56 | loss: 0.0043
Eval Epoch 56 | Regret moyen : 0.0198
Epoch 57 | loss: 0.0043
Epoch 58 | loss: 0.0041
Epoch 59 | loss: 0.0042
Epoch 60 | loss: 0.0044
Epoch 61 | loss: 0.0040
Eval Epoch 61 | Regret moyen : 0.0199
Epoch 62 | loss: 0.0042
Epoch 63 | loss: 0.0041
Epoch 64 | loss: 0.0040
Epoch 65 | loss: 0.0038
Epoch 66 | loss: 0.0041
Eval Epoch 66 | Regret moyen : 0.0198
Epoch 67 | loss: 0.0041
Epoch 68 | loss: 0.0039
Epoch 69 | loss: 0.0040
Epoch 70 | loss: 0.0040
Epoch 71 | loss: 0.0039
Eval Epoch 71 | Regret moyen : 0.0198
Epoch 72 | loss: 0.0038
Epoch 73 | loss: 0.0039
Epoch 74 | loss: 0.0038
Epoch 75 | loss: 0.0039
Epoch 76 | loss: 0.0037
Eval Epoch 76 | Regret moyen : 0.0199
Epoch 77 | loss: 0.0039
Epoch 78 | loss: 0.0039
Epoch 79 | loss: 0.0038
Epoch 80 | loss: 0.0037
Epoch 81 | loss: 0.0039
Eval Epoch 81 | Regret moyen : 0.0198
Epoch 82 | loss: 0.0037
Epoch 83 | loss: 0.0039
Epoch 84 | loss: 0.0038
Epoch 85 | loss: 0.0037
Epoch 86 | loss: 0.0037
Eval Epoch 86 | Regret moyen : 0.0198
Epoch 87 | loss: 0.0036
Epoch 88 | loss: 0.0038
Epoch 89 | loss: 0.0036
Epoch 90 | loss: 0.0037
Epoch 91 | loss: 0.0038
Eval Epoch 91 | Regret moyen : 0.0199
Epoch 92 | loss: 0.0037
Epoch 93 | loss: 0.0036
Epoch 94 | loss: 0.0037
Epoch 95 | loss: 0.0036
Epoch 96 | loss: 0.0037
Eval Epoch 96 | Regret moyen : 0.0200
Epoch 97 | loss: 0.0036
Epoch 98 | loss: 0.0035
Epoch 99 | loss: 0.0036
Epoch 100 | loss: 0.0035
Saving the model to models/{num_item}_{num_data_train}_{num_feat}.pth
