Loading train_50_500_200_2-25.txt
Loaded test_50_100_200_2-25.txt
Training the model with regret as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 0.5227
Eval Epoch 1 | Regret moyen : 0.0297
Epoch 2 | loss: 0.3540
Epoch 3 | loss: 0.2686
Epoch 4 | loss: 0.2114
Epoch 5 | loss: 0.1744
Epoch 6 | loss: 0.1455
Eval Epoch 6 | Regret moyen : 0.0253
Epoch 7 | loss: 0.1246
Epoch 8 | loss: 0.1085
Epoch 9 | loss: 0.0955
Epoch 10 | loss: 0.0850
Epoch 11 | loss: 0.0780
Eval Epoch 11 | Regret moyen : 0.0241
Epoch 12 | loss: 0.0707
Epoch 13 | loss: 0.0650
Epoch 14 | loss: 0.0606
Epoch 15 | loss: 0.0555
Epoch 16 | loss: 0.0511
Eval Epoch 16 | Regret moyen : 0.0237
Epoch 17 | loss: 0.0474
Epoch 18 | loss: 0.0455
Epoch 19 | loss: 0.0425
Epoch 20 | loss: 0.0397
Epoch 21 | loss: 0.0385
Eval Epoch 21 | Regret moyen : 0.0235
Epoch 22 | loss: 0.0364
Epoch 23 | loss: 0.0346
Epoch 24 | loss: 0.0332
Epoch 25 | loss: 0.0331
Epoch 26 | loss: 0.0311
Eval Epoch 26 | Regret moyen : 0.0231
Epoch 27 | loss: 0.0307
Epoch 28 | loss: 0.0283
Epoch 29 | loss: 0.0287
Epoch 30 | loss: 0.0283
Epoch 31 | loss: 0.0276
Eval Epoch 31 | Regret moyen : 0.0231
Epoch 32 | loss: 0.0266
Epoch 33 | loss: 0.0263
Epoch 34 | loss: 0.0260
Epoch 35 | loss: 0.0257
Epoch 36 | loss: 0.0258
Eval Epoch 36 | Regret moyen : 0.0228
Epoch 37 | loss: 0.0246
Epoch 38 | loss: 0.0242
Epoch 39 | loss: 0.0248
Epoch 40 | loss: 0.0244
Epoch 41 | loss: 0.0229
Eval Epoch 41 | Regret moyen : 0.0226
Epoch 42 | loss: 0.0233
Epoch 43 | loss: 0.0238
Epoch 44 | loss: 0.0229
Epoch 45 | loss: 0.0227
Epoch 46 | loss: 0.0228
Eval Epoch 46 | Regret moyen : 0.0227
Epoch 47 | loss: 0.0227
Epoch 48 | loss: 0.0225
Epoch 49 | loss: 0.0222
Epoch 50 | loss: 0.0220
Epoch 51 | loss: 0.0217
Eval Epoch 51 | Regret moyen : 0.0225
Epoch 52 | loss: 0.0215
Epoch 53 | loss: 0.0215
Epoch 54 | loss: 0.0208
Epoch 55 | loss: 0.0210
Epoch 56 | loss: 0.0211
Eval Epoch 56 | Regret moyen : 0.0225
Epoch 57 | loss: 0.0211
Epoch 58 | loss: 0.0209
Epoch 59 | loss: 0.0209
Epoch 60 | loss: 0.0204
Epoch 61 | loss: 0.0206
Eval Epoch 61 | Regret moyen : 0.0224
Epoch 62 | loss: 0.0202
Epoch 63 | loss: 0.0210
Epoch 64 | loss: 0.0202
Epoch 65 | loss: 0.0202
Epoch 66 | loss: 0.0200
Eval Epoch 66 | Regret moyen : 0.0221
Epoch 67 | loss: 0.0203
Epoch 68 | loss: 0.0202
Epoch 69 | loss: 0.0196
Epoch 70 | loss: 0.0200
Epoch 71 | loss: 0.0193
Eval Epoch 71 | Regret moyen : 0.0223
Epoch 72 | loss: 0.0199
Epoch 73 | loss: 0.0199
Epoch 74 | loss: 0.0195
Epoch 75 | loss: 0.0191
Epoch 76 | loss: 0.0199
Eval Epoch 76 | Regret moyen : 0.0222
Epoch 77 | loss: 0.0194
Epoch 78 | loss: 0.0193
Epoch 79 | loss: 0.0198
Epoch 80 | loss: 0.0195
Epoch 81 | loss: 0.0194
Eval Epoch 81 | Regret moyen : 0.0223
Epoch 82 | loss: 0.0193
Epoch 83 | loss: 0.0194
Epoch 84 | loss: 0.0194
Epoch 85 | loss: 0.0192
Epoch 86 | loss: 0.0189
Eval Epoch 86 | Regret moyen : 0.0222
Epoch 87 | loss: 0.0184
Epoch 88 | loss: 0.0196
Epoch 89 | loss: 0.0189
Epoch 90 | loss: 0.0196
Epoch 91 | loss: 0.0188
Eval Epoch 91 | Regret moyen : 0.0224
Epoch 92 | loss: 0.0190
Epoch 93 | loss: 0.0194
Epoch 94 | loss: 0.0188
Epoch 95 | loss: 0.0190
Epoch 96 | loss: 0.0188
Eval Epoch 96 | Regret moyen : 0.0222
Epoch 97 | loss: 0.0187
Epoch 98 | loss: 0.0185
Epoch 99 | loss: 0.0190
Epoch 100 | loss: 0.0190
Epoch 101 | loss: 0.0186
Eval Epoch 101 | Regret moyen : 0.0222
Epoch 102 | loss: 0.0185
Epoch 103 | loss: 0.0176
Epoch 104 | loss: 0.0175
Epoch 105 | loss: 0.0174
Epoch 106 | loss: 0.0180
Eval Epoch 106 | Regret moyen : 0.0221
Epoch 107 | loss: 0.0184
Epoch 108 | loss: 0.0176
Epoch 109 | loss: 0.0170
Epoch 110 | loss: 0.0174
Epoch 111 | loss: 0.0171
Eval Epoch 111 | Regret moyen : 0.0221
Epoch 112 | loss: 0.0167
Epoch 113 | loss: 0.0175
Epoch 114 | loss: 0.0170
Epoch 115 | loss: 0.0169
Epoch 116 | loss: 0.0175
Eval Epoch 116 | Regret moyen : 0.0222
Epoch 117 | loss: 0.0170
Epoch 118 | loss: 0.0170
Epoch 119 | loss: 0.0176
Epoch 120 | loss: 0.0170
Epoch 121 | loss: 0.0171
Eval Epoch 121 | Regret moyen : 0.0222
Epoch 122 | loss: 0.0170
Epoch 123 | loss: 0.0171
Epoch 124 | loss: 0.0167
Epoch 125 | loss: 0.0174
Epoch 126 | loss: 0.0171
Eval Epoch 126 | Regret moyen : 0.0221
Epoch 127 | loss: 0.0168
Epoch 128 | loss: 0.0172
Epoch 129 | loss: 0.0168
Epoch 130 | loss: 0.0170
Epoch 131 | loss: 0.0172
Eval Epoch 131 | Regret moyen : 0.0221
Epoch 132 | loss: 0.0166
Epoch 133 | loss: 0.0175
Epoch 134 | loss: 0.0174
Epoch 135 | loss: 0.0172
