n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,classic,IMLE,10,1.0,0.1,5,15,0.22788162529468536,0.04862823337316513,0.22825072705745697,0.05054210126399994
50,classic,IMLE,10,10.0,0.5,5,15,0.22992639243602753,0.044177934527397156,0.22602151334285736,0.04555521160364151
50,classic,IMLE,10,20.0,0.5,5,15,0.2258417010307312,0.04366505518555641,0.22300861775875092,0.05079258233308792
50,classic,IMLE,10,1.0,1.0,5,15,0.14146709442138672,0.03956294432282448,0.12384042888879776,0.03670870512723923
50,classic,IMLE,10,20.0,0.1,5,15,0.22728079557418823,0.04922584816813469,0.22382411360740662,0.05025201663374901
50,classic,IMLE,10,1.0,2.0,5,15,0.22416406869888306,0.05198349803686142,0.20074649155139923,0.04576649144291878
50,classic,IMLE,10,10.0,1.0,5,15,0.13883349299430847,0.03478049486875534,0.12183953076601028,0.03608381748199463
50,classic,IMLE,10,1.0,0.5,5,15,0.23038014769554138,0.05148991569876671,0.2246372252702713,0.052234798669815063
50,classic,IMLE,10,10.0,0.1,5,15,0.22254173457622528,0.04597428813576698,0.2239503711462021,0.047427695244550705
50,classic,IMLE,10,10.0,2.0,5,15,0.19033750891685486,0.049767155200242996,0.14180240035057068,0.04037541151046753
50,classic,IMLE,10,20.0,2.0,5,15,0.16387435793876648,0.036261048167943954,0.1290164440870285,0.03596421331167221
50,classic,IMLE,10,5.0,2.0,5,15,0.20975536108016968,0.04542139545083046,0.16049042344093323,0.04060095176100731
50,classic,IMLE,10,5.0,1.0,5,15,0.13878993690013885,0.03804313763976097,0.12259336560964584,0.03643588721752167
50,classic,IMLE,10,20.0,1.0,5,15,0.1390630304813385,0.03629384562373161,0.1242741048336029,0.03752174228429794
50,classic,IMLE,10,5.0,0.1,5,15,0.23009200394153595,0.04955124855041504,0.22869262099266052,0.049428991973400116
50,classic,IMLE,10,5.0,0.5,5,15,0.22521787881851196,0.048384830355644226,0.2285158485174179,0.04693121090531349
50,classic,IMLE,1,10.0,0.5,5,15,0.23096542060375214,0.048316311091184616,0.22627469897270203,0.04867836833000183
50,classic,IMLE,1,10.0,0.1,5,15,0.22746407985687256,0.0468386746942997,0.22778835892677307,0.04821598529815674
50,LD,Exact,,,,5,15,0.1554916948080063,0.03832735866308212,0.13248921930789948,0.039094384759664536
50,classic,IMLE,1,10.0,2.0,5,15,0.19742344319820404,0.040742289274930954,0.14252491295337677,0.04184316098690033
50,SG,Exact,,,,15,10,0.15191882848739624,0.036501284688711166,0.13277742266654968,0.03867970407009125
50,classic,IMLE,1,1.0,0.1,5,15,0.23003169894218445,0.04745844006538391,0.22646591067314148,0.04796053096652031
50,classic,IMLE,1,10.0,1.0,5,15,0.13682404160499573,0.037632089108228683,0.12269749492406845,0.03607548028230667
50,SG,Exact,,,,10,10,0.14601685106754303,0.035333599895238876,0.13064274191856384,0.03708123788237572
50,SG,Exact,,,,20,20,0.15045210719108582,0.03735261783003807,0.13067108392715454,0.038882024586200714
50,SG,Exact,,,,20,10,0.15370817482471466,0.03841305896639824,0.13282792270183563,0.036763787269592285
50,classic,IMLE,1,20.0,2.0,5,15,0.17246101796627045,0.04212372004985809,0.13091367483139038,0.037787508219480515
50,classic,IMLE,1,1.0,2.0,5,15,0.22626234591007233,0.044551994651556015,0.20834091305732727,0.04808705672621727
50,classic,IMLE,1,20.0,0.5,5,15,0.22287622094154358,0.04507303237915039,0.2302442491054535,0.049968745559453964
50,classic,IMLE,1,5.0,0.1,5,15,0.23463787138462067,0.04700220376253128,0.23037543892860413,0.049077462404966354
50,classic,IMLE,1,5.0,1.0,5,15,0.1387992948293686,0.0392751581966877,0.1224580779671669,0.03682216629385948
50,classic,IMLE,1,1.0,1.0,5,15,0.13767914474010468,0.03662736341357231,0.1222110167145729,0.03622564300894737
50,classic,IMLE,1,5.0,0.5,5,15,0.23329776525497437,0.05090110003948212,0.228994220495224,0.05104786902666092
50,classic,IMLE,1,20.0,1.0,5,15,0.1386207789182663,0.03872387483716011,0.1221521869301796,0.037520766258239746
50,classic,IMLE,1,20.0,0.1,5,15,0.23542147874832153,0.04722633585333824,0.22786255180835724,0.04910309985280037
50,classic,IMLE,1,1.0,0.5,5,15,0.2230301797389984,0.04353998228907585,0.23140688240528107,0.05050427466630936
50,SG,Exact,,,,20,30,0.1451905220746994,0.0396214984357357,0.13094347715377808,0.03868928551673889
50,SG,Exact,,,,15,30,0.14873071014881134,0.03257821500301361,0.13283702731132507,0.038510214537382126
50,SG,Exact,,,,5,10,0.15255601704120636,0.03881307318806648,0.13217638432979584,0.03704475611448288
50,SG,Exact,,,,15,20,0.1542104333639145,0.03943511098623276,0.13324113190174103,0.04135427251458168
50,SG,Exact,,,,10,30,0.14843612909317017,0.039058104157447815,0.129420205950737,0.03764908388257027
50,SG,Exact,,,,10,20,0.14884459972381592,0.034679561853408813,0.1311071366071701,0.03912750631570816
