n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,classic,IMLE,10.0,1.0,0.1,5,15,0.2278816252946853,0.0486282333731651,0.2282507270574569,0.0505421012639999
50,classic,IMLE,10.0,10.0,0.5,5,15,0.2299263924360275,0.0441779345273971,0.2260215133428573,0.0455552116036415
50,classic,IMLE,10.0,20.0,0.5,5,15,0.2258417010307312,0.0436650551855564,0.2230086177587509,0.0507925823330879
50,classic,IMLE,10.0,1.0,1.0,5,15,0.1414670944213867,0.0395629443228244,0.1238404288887977,0.0367087051272392
50,classic,IMLE,10.0,20.0,0.1,5,15,0.2272807955741882,0.0492258481681346,0.2238241136074066,0.050252016633749
50,classic,IMLE,10.0,1.0,2.0,5,15,0.224164068698883,0.0519834980368614,0.2007464915513992,0.0457664914429187
50,classic,IMLE,10.0,10.0,1.0,5,15,0.1388334929943084,0.0347804948687553,0.1218395307660102,0.0360838174819946
50,classic,IMLE,10.0,1.0,0.5,5,15,0.2303801476955413,0.0514899156987667,0.2246372252702713,0.052234798669815
50,classic,IMLE,10.0,10.0,0.1,5,15,0.2225417345762252,0.0459742881357669,0.2239503711462021,0.0474276952445507
50,classic,IMLE,10.0,10.0,2.0,5,15,0.1903375089168548,0.0497671552002429,0.1418024003505706,0.0403754115104675
50,classic,IMLE,10.0,20.0,2.0,5,15,0.1638743579387664,0.0362610481679439,0.1290164440870285,0.0359642133116722
50,classic,IMLE,10.0,5.0,2.0,5,15,0.2097553610801696,0.0454213954508304,0.1604904234409332,0.0406009517610073
50,classic,IMLE,10.0,5.0,1.0,5,15,0.1387899369001388,0.0380431376397609,0.1225933656096458,0.0364358872175216
50,classic,IMLE,10.0,20.0,1.0,5,15,0.1390630304813385,0.0362938456237316,0.1242741048336029,0.0375217422842979
50,classic,IMLE,10.0,5.0,0.1,5,15,0.2300920039415359,0.049551248550415,0.2286926209926605,0.0494289919734001
50,classic,IMLE,10.0,5.0,0.5,5,15,0.2252178788185119,0.0483848303556442,0.2285158485174179,0.0469312109053134
50,classic,IMLE,1.0,10.0,0.5,5,15,0.2309654206037521,0.0483163110911846,0.226274698972702,0.0486783683300018
50,classic,IMLE,1.0,10.0,0.1,5,15,0.2274640798568725,0.0468386746942997,0.227788358926773,0.0482159852981567
50,LD,Exact,,,,5,15,0.1554916948080063,0.0383273586630821,0.1324892193078994,0.0390943847596645
50,classic,IMLE,1.0,10.0,2.0,5,15,0.197423443198204,0.0407422892749309,0.1425249129533767,0.0418431609869003
50,SG,Exact,,,,15,10,0.1519188284873962,0.0365012846887111,0.1327774226665496,0.0386797040700912
50,classic,IMLE,1.0,1.0,0.1,5,15,0.2300316989421844,0.0474584400653839,0.2264659106731414,0.0479605309665203
50,classic,IMLE,1.0,10.0,1.0,5,15,0.1368240416049957,0.0376320891082286,0.1226974949240684,0.0360754802823066
50,SG,Exact,,,,10,10,0.146016851067543,0.0353335998952388,0.1306427419185638,0.0370812378823757
