Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 22.7467
Eval Epoch 1 | Regret moyen : 27.3600
Epoch 2 | loss: 21.0672
Epoch 3 | loss: 20.1186
Epoch 4 | loss: 19.5606
Epoch 5 | loss: 19.0640
Epoch 6 | loss: 18.6445
Eval Epoch 6 | Regret moyen : 23.5400
Epoch 7 | loss: 18.3381
Epoch 8 | loss: 18.2302
Epoch 9 | loss: 17.7146
Epoch 10 | loss: 16.9824
Epoch 11 | loss: 15.4460
Eval Epoch 11 | Regret moyen : 25.4400
Epoch 12 | loss: 13.3876
Epoch 13 | loss: 11.9705
Epoch 14 | loss: 10.9869
Epoch 15 | loss: 10.2492
Epoch 16 | loss: 9.8948
Eval Epoch 16 | Regret moyen : 26.2700
Epoch 17 | loss: 9.7813
Epoch 18 | loss: 9.6748
Epoch 19 | loss: 9.5618
Epoch 20 | loss: 9.5303
Epoch 21 | loss: 9.3264
Eval Epoch 21 | Regret moyen : 25.6500
Epoch 22 | loss: 9.1896
Epoch 23 | loss: 9.2156
Epoch 24 | loss: 9.2356
Epoch 25 | loss: 9.1630
Epoch 26 | loss: 9.2089
Eval Epoch 26 | Regret moyen : 25.7000
Epoch 27 | loss: 9.1311
Epoch 28 | loss: 9.0612
Epoch 29 | loss: 9.1253
Epoch 30 | loss: 9.1406
Epoch 31 | loss: 9.0408
Eval Epoch 31 | Regret moyen : 25.5600
Epoch 32 | loss: 9.0505
Epoch 33 | loss: 9.1667
Epoch 34 | loss: 9.0961
Epoch 35 | loss: 8.9602
Epoch 36 | loss: 9.1110
Eval Epoch 36 | Regret moyen : 25.5300
Epoch 37 | loss: 9.0853
Epoch 38 | loss: 9.0316
Epoch 39 | loss: 9.0386
Epoch 40 | loss: 9.0108
Epoch 41 | loss: 8.9880
Eval Epoch 41 | Regret moyen : 25.7000
Epoch 42 | loss: 8.9624
Epoch 43 | loss: 8.9611
Epoch 44 | loss: 8.9632
Epoch 45 | loss: 8.9652
Epoch 46 | loss: 9.0292
Eval Epoch 46 | Regret moyen : 25.7400
Epoch 47 | loss: 8.9632
Epoch 48 | loss: 8.9855
Epoch 49 | loss: 9.0707
Epoch 50 | loss: 9.0196
Epoch 51 | loss: 9.0502
Eval Epoch 51 | Regret moyen : 25.6700
Epoch 52 | loss: 8.9585
Epoch 53 | loss: 9.0328
Epoch 54 | loss: 9.0643
Epoch 55 | loss: 9.0230
Epoch 56 | loss: 9.0274
Eval Epoch 56 | Regret moyen : 25.5600
Epoch 57 | loss: 8.8955
Epoch 58 | loss: 8.9905
Epoch 59 | loss: 9.0739
Epoch 60 | loss: 8.9981
Epoch 61 | loss: 9.0568
Eval Epoch 61 | Regret moyen : 25.4600
Epoch 62 | loss: 8.9286
Epoch 63 | loss: 8.9345
Epoch 64 | loss: 9.0513
Epoch 65 | loss: 8.8846
Epoch 66 | loss: 8.9733
Eval Epoch 66 | Regret moyen : 25.5300
Epoch 67 | loss: 9.0503
Epoch 68 | loss: 8.9907
Epoch 69 | loss: 9.0128
Epoch 70 | loss: 8.9930
Epoch 71 | loss: 8.8298
Eval Epoch 71 | Regret moyen : 25.4800
Epoch 72 | loss: 8.8873
Epoch 73 | loss: 8.9257
Epoch 74 | loss: 8.8826
Epoch 75 | loss: 8.9427
Epoch 76 | loss: 8.9328
Eval Epoch 76 | Regret moyen : 25.5000
Epoch 77 | loss: 8.8107
Epoch 78 | loss: 8.8602
Epoch 79 | loss: 8.8240
Epoch 80 | loss: 8.8821
Epoch 81 | loss: 8.8679
Eval Epoch 81 | Regret moyen : 25.4200
Epoch 82 | loss: 8.8300
Epoch 83 | loss: 8.8347
Epoch 84 | loss: 8.7975
Epoch 85 | loss: 8.7810
Epoch 86 | loss: 8.9013
Eval Epoch 86 | Regret moyen : 25.3500
Epoch 87 | loss: 8.9051
Epoch 88 | loss: 8.8155
Epoch 89 | loss: 8.7952
Epoch 90 | loss: 8.8189
Epoch 91 | loss: 8.8345
Eval Epoch 91 | Regret moyen : 25.2300
Epoch 92 | loss: 8.8113
Epoch 93 | loss: 8.8772
Epoch 94 | loss: 8.6860
Epoch 95 | loss: 8.8611
Epoch 96 | loss: 8.8270
Eval Epoch 96 | Regret moyen : 25.2800
Epoch 97 | loss: 8.8137
Epoch 98 | loss: 8.8097
Epoch 99 | loss: 8.8430
Epoch 100 | loss: 8.8343
Epoch 101 | loss: 8.9359
Eval Epoch 101 | Regret moyen : 25.2200
Epoch 102 | loss: 8.8095
Epoch 103 | loss: 8.6914
Epoch 104 | loss: 8.7543
Epoch 105 | loss: 8.7440
Epoch 106 | loss: 8.7560
Eval Epoch 106 | Regret moyen : 25.3200
Epoch 107 | loss: 8.7604
Epoch 108 | loss: 8.6834
Epoch 109 | loss: 8.6944
Epoch 110 | loss: 8.7451
Epoch 111 | loss: 8.8443
Eval Epoch 111 | Regret moyen : 25.4000
Epoch 112 | loss: 8.7846
Epoch 113 | loss: 8.7569
Epoch 114 | loss: 8.8012
Epoch 115 | loss: 8.8695
Epoch 116 | loss: 8.7639
Eval Epoch 116 | Regret moyen : 25.4000
Epoch 117 | loss: 8.7797
Epoch 118 | loss: 8.7730
Epoch 119 | loss: 8.8589
Epoch 120 | loss: 8.7439
Epoch 121 | loss: 8.8136
Eval Epoch 121 | Regret moyen : 25.3900
Epoch 122 | loss: 8.7065
Epoch 123 | loss: 8.7410
Epoch 124 | loss: 8.8300
Epoch 125 | loss: 8.7983
Epoch 126 | loss: 8.8090
Eval Epoch 126 | Regret moyen : 25.3000
Epoch 127 | loss: 8.7878
Epoch 128 | loss: 8.7674
Epoch 129 | loss: 8.8212
Epoch 130 | loss: 8.7311
Epoch 131 | loss: 8.7523
Eval Epoch 131 | Regret moyen : 25.0900
Epoch 132 | loss: 8.7595
Epoch 133 | loss: 8.7932
Epoch 134 | loss: 8.7271
Epoch 135 | loss: 8.7065
Epoch 136 | loss: 8.7792
Eval Epoch 136 | Regret moyen : 25.0200
Epoch 137 | loss: 8.7735
Epoch 138 | loss: 8.6756
Epoch 139 | loss: 8.7707
Epoch 140 | loss: 8.7579
Epoch 141 | loss: 8.8514
Eval Epoch 141 | Regret moyen : 25.2700
Epoch 142 | loss: 8.6876
Epoch 143 | loss: 8.7289
Epoch 144 | loss: 8.8214
Epoch 145 | loss: 8.7565
Epoch 146 | loss: 8.6526
Eval Epoch 146 | Regret moyen : 25.3700
Epoch 147 | loss: 8.8367
Epoch 148 | loss: 8.8702
Epoch 149 | loss: 8.8279
Epoch 150 | loss: 8.8969
Saving the model to models/LD_{dim}_{num_feat}_{num_item}_{num_data_train}.pth
