Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 21.8109
Eval Epoch 1 | Regret moyen : 18.0600
Epoch 2 | loss: 19.7352
Eval Epoch 2 | Regret moyen : 18.0600
Epoch 3 | loss: 19.7668
Eval Epoch 3 | Regret moyen : 18.0600
Epoch 4 | loss: 19.7668
Eval Epoch 4 | Regret moyen : 18.0600
Epoch 5 | loss: 19.7105
Eval Epoch 5 | Regret moyen : 18.0600
Epoch 6 | loss: 19.8242
Eval Epoch 6 | Regret moyen : 18.0600
Epoch 7 | loss: 19.7551
Eval Epoch 7 | Regret moyen : 18.0600
Epoch 8 | loss: 19.8158
Eval Epoch 8 | Regret moyen : 18.0600
Epoch 9 | loss: 19.7809
Eval Epoch 9 | Regret moyen : 18.0600
Epoch 10 | loss: 19.7809
Eval Epoch 10 | Regret moyen : 18.0600
Epoch 11 | loss: 19.7598
Eval Epoch 11 | Regret moyen : 18.0600
Epoch 12 | loss: 19.7223
Eval Epoch 12 | Regret moyen : 18.0600
Epoch 13 | loss: 19.8898
Eval Epoch 13 | Regret moyen : 18.0600
Epoch 14 | loss: 19.7035
Eval Epoch 14 | Regret moyen : 18.0600
Epoch 15 | loss: 19.7609
Eval Epoch 15 | Regret moyen : 18.0600
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
