Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 21.5744
Eval Epoch 1 | Regret moyen : 24.5200
Epoch 2 | loss: 19.3668
Epoch 3 | loss: 18.6250
Epoch 4 | loss: 17.2465
Epoch 5 | loss: 13.7820
Epoch 6 | loss: 10.3763
Eval Epoch 6 | Regret moyen : 27.3600
Epoch 7 | loss: 9.5205
Epoch 8 | loss: 9.1454
Epoch 9 | loss: 8.9845
Epoch 10 | loss: 8.9894
Epoch 11 | loss: 9.0178
Eval Epoch 11 | Regret moyen : 25.5300
Epoch 12 | loss: 8.9118
Epoch 13 | loss: 8.9094
Epoch 14 | loss: 9.0204
Epoch 15 | loss: 9.0011
Epoch 16 | loss: 8.8447
Eval Epoch 16 | Regret moyen : 25.3700
Epoch 17 | loss: 8.8576
Epoch 18 | loss: 8.9508
Epoch 19 | loss: 8.9687
Epoch 20 | loss: 8.9523
Epoch 21 | loss: 8.9577
Eval Epoch 21 | Regret moyen : 25.3400
Epoch 22 | loss: 8.9232
Epoch 23 | loss: 8.8372
Epoch 24 | loss: 8.8117
Epoch 25 | loss: 8.9374
Epoch 26 | loss: 8.9328
Eval Epoch 26 | Regret moyen : 25.3400
Epoch 27 | loss: 9.0013
Epoch 28 | loss: 8.8912
Epoch 29 | loss: 8.9602
Epoch 30 | loss: 8.9885
Epoch 31 | loss: 8.9101
Eval Epoch 31 | Regret moyen : 25.4600
Epoch 32 | loss: 8.8946
Epoch 33 | loss: 8.7935
Epoch 34 | loss: 8.8803
Epoch 35 | loss: 8.9278
Epoch 36 | loss: 8.8798
Eval Epoch 36 | Regret moyen : 25.4400
Epoch 37 | loss: 8.9423
Epoch 38 | loss: 8.9931
Epoch 39 | loss: 8.8137
Epoch 40 | loss: 8.9073
Epoch 41 | loss: 8.9874
Eval Epoch 41 | Regret moyen : 25.6400
Epoch 42 | loss: 9.0160
Epoch 43 | loss: 8.9890
Epoch 44 | loss: 9.0705
Epoch 45 | loss: 8.9795
Epoch 46 | loss: 8.9574
Eval Epoch 46 | Regret moyen : 26.2400
Epoch 47 | loss: 9.0226
Epoch 48 | loss: 8.9878
Epoch 49 | loss: 8.9914
Epoch 50 | loss: 8.9324
Epoch 51 | loss: 9.0026
Eval Epoch 51 | Regret moyen : 26.2400
Epoch 52 | loss: 8.9689
Epoch 53 | loss: 8.9717
Epoch 54 | loss: 8.9448
Epoch 55 | loss: 8.9696
Epoch 56 | loss: 8.9551
Eval Epoch 56 | Regret moyen : 26.2400
Epoch 57 | loss: 8.9417
Epoch 58 | loss: 8.9922
Epoch 59 | loss: 8.9746
Epoch 60 | loss: 8.9948
Epoch 61 | loss: 8.9758
Eval Epoch 61 | Regret moyen : 26.2400
Epoch 62 | loss: 8.9187
Epoch 63 | loss: 8.9598
Epoch 64 | loss: 8.9786
Epoch 65 | loss: 8.8466
Epoch 66 | loss: 8.9835
Eval Epoch 66 | Regret moyen : 26.2400
Epoch 67 | loss: 9.0014
Epoch 68 | loss: 9.0678
Epoch 69 | loss: 9.0584
Epoch 70 | loss: 8.9926
Epoch 71 | loss: 8.9801
Eval Epoch 71 | Regret moyen : 26.2400
Epoch 72 | loss: 8.9555
Epoch 73 | loss: 9.0295
Epoch 74 | loss: 8.9033
Epoch 75 | loss: 9.0624
Epoch 76 | loss: 8.9807
Eval Epoch 76 | Regret moyen : 26.2400
Epoch 77 | loss: 8.9248
Epoch 78 | loss: 9.0257
Epoch 79 | loss: 8.9431
Epoch 80 | loss: 9.0065
Epoch 81 | loss: 8.9566
Eval Epoch 81 | Regret moyen : 26.2400
Epoch 82 | loss: 9.0268
Epoch 83 | loss: 8.9268
Epoch 84 | loss: 9.0609
Epoch 85 | loss: 8.8593
Epoch 86 | loss: 8.9049
Eval Epoch 86 | Regret moyen : 26.2400
Epoch 87 | loss: 8.9727
Epoch 88 | loss: 9.0953
Epoch 89 | loss: 9.0008
Epoch 90 | loss: 8.9495
Epoch 91 | loss: 8.9567
Eval Epoch 91 | Regret moyen : 26.2400
Epoch 92 | loss: 8.9555
Epoch 93 | loss: 8.9697
Epoch 94 | loss: 8.9326
Epoch 95 | loss: 8.9362
Epoch 96 | loss: 8.9515
Eval Epoch 96 | Regret moyen : 26.2400
Epoch 97 | loss: 9.0227
Epoch 98 | loss: 8.8939
Epoch 99 | loss: 8.9844
Epoch 100 | loss: 9.0313
Epoch 101 | loss: 8.9762
Eval Epoch 101 | Regret moyen : 26.2400
Epoch 102 | loss: 8.8863
Epoch 103 | loss: 8.9392
Epoch 104 | loss: 8.9515
Epoch 105 | loss: 9.0460
Epoch 106 | loss: 8.9382
Eval Epoch 106 | Regret moyen : 26.2400
