Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 22.1016
Eval Epoch 1 | Regret moyen : 18.3300
Epoch 2 | loss: 19.6094
Eval Epoch 2 | Regret moyen : 18.3300
Epoch 3 | loss: 19.6691
Eval Epoch 3 | Regret moyen : 18.3300
Epoch 4 | loss: 19.6668
Eval Epoch 4 | Regret moyen : 18.3300
Epoch 5 | loss: 19.6855
Eval Epoch 5 | Regret moyen : 18.3300
Epoch 6 | loss: 19.6105
Eval Epoch 6 | Regret moyen : 18.3300
Epoch 7 | loss: 19.6363
Eval Epoch 7 | Regret moyen : 18.3300
Epoch 8 | loss: 19.7230
Eval Epoch 8 | Regret moyen : 18.3300
Epoch 9 | loss: 19.5426
Eval Epoch 9 | Regret moyen : 18.3300
Epoch 10 | loss: 19.6938
Eval Epoch 10 | Regret moyen : 18.3300
Epoch 11 | loss: 19.6469
Eval Epoch 11 | Regret moyen : 18.3300
Epoch 12 | loss: 19.6902
Eval Epoch 12 | Regret moyen : 18.3300
Epoch 13 | loss: 19.7348
Eval Epoch 13 | Regret moyen : 18.3300
Epoch 14 | loss: 19.6434
Eval Epoch 14 | Regret moyen : 18.3300
Epoch 15 | loss: 19.6762
Eval Epoch 15 | Regret moyen : 18.3300
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
