Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 19.7050
Eval Epoch 1 | Regret moyen : 22.1100
Epoch 2 | loss: 14.8165
Epoch 3 | loss: 10.5704
Epoch 4 | loss: 9.1750
Epoch 5 | loss: 8.8262
Epoch 6 | loss: 8.7688
Eval Epoch 6 | Regret moyen : 26.3000
Epoch 7 | loss: 8.6743
Epoch 8 | loss: 8.7355
Epoch 9 | loss: 8.7346
Epoch 10 | loss: 8.6382
Epoch 11 | loss: 8.6517
Eval Epoch 11 | Regret moyen : 26.3000
Epoch 12 | loss: 8.8704
Epoch 13 | loss: 8.7290
Epoch 14 | loss: 8.7140
Epoch 15 | loss: 8.6913
Epoch 16 | loss: 8.7465
Eval Epoch 16 | Regret moyen : 26.3000
Epoch 17 | loss: 8.6569
Epoch 18 | loss: 8.6653
Epoch 19 | loss: 8.7049
Epoch 20 | loss: 8.6818
Epoch 21 | loss: 8.6604
Eval Epoch 21 | Regret moyen : 26.3000
Epoch 22 | loss: 8.8810
Epoch 23 | loss: 8.6654
Epoch 24 | loss: 8.7137
Epoch 25 | loss: 8.6505
Epoch 26 | loss: 8.6188
Eval Epoch 26 | Regret moyen : 26.3000
Epoch 27 | loss: 8.6614
Epoch 28 | loss: 8.6939
Epoch 29 | loss: 8.7575
Epoch 30 | loss: 8.7869
Epoch 31 | loss: 8.6940
Eval Epoch 31 | Regret moyen : 26.3000
Epoch 32 | loss: 8.6727
Epoch 33 | loss: 8.6622
Epoch 34 | loss: 8.8806
Epoch 35 | loss: 8.6903
Epoch 36 | loss: 8.7300
Eval Epoch 36 | Regret moyen : 26.3000
Epoch 37 | loss: 8.6266
Epoch 38 | loss: 8.7429
Epoch 39 | loss: 8.6646
Epoch 40 | loss: 8.6720
Epoch 41 | loss: 8.6998
Eval Epoch 41 | Regret moyen : 26.3000
Epoch 42 | loss: 8.7249
Epoch 43 | loss: 8.7481
Epoch 44 | loss: 8.7133
Epoch 45 | loss: 8.6746
Epoch 46 | loss: 8.6482
Eval Epoch 46 | Regret moyen : 26.3000
Epoch 47 | loss: 8.6984
Epoch 48 | loss: 8.7834
Epoch 49 | loss: 8.6942
Epoch 50 | loss: 8.7407
Epoch 51 | loss: 8.7775
Eval Epoch 51 | Regret moyen : 26.3000
Epoch 52 | loss: 8.7066
Epoch 53 | loss: 8.6195
Epoch 54 | loss: 8.7160
Epoch 55 | loss: 8.6849
Epoch 56 | loss: 8.7088
Eval Epoch 56 | Regret moyen : 26.3000
Epoch 57 | loss: 8.8297
Epoch 58 | loss: 8.7163
Epoch 59 | loss: 8.6132
Epoch 60 | loss: 8.6582
Epoch 61 | loss: 8.6123
Eval Epoch 61 | Regret moyen : 26.3000
Epoch 62 | loss: 8.7228
Epoch 63 | loss: 8.6529
Epoch 64 | loss: 8.6756
Epoch 65 | loss: 8.6657
Epoch 66 | loss: 8.6955
Eval Epoch 66 | Regret moyen : 26.3000
Epoch 67 | loss: 8.6922
Epoch 68 | loss: 8.6863
Epoch 69 | loss: 8.7036
Epoch 70 | loss: 8.7609
Epoch 71 | loss: 8.7036
Eval Epoch 71 | Regret moyen : 26.3000
Epoch 72 | loss: 8.7151
Epoch 73 | loss: 8.7103
Epoch 74 | loss: 8.7151
Epoch 75 | loss: 8.7356
Epoch 76 | loss: 8.7033
Eval Epoch 76 | Regret moyen : 26.3000
Epoch 77 | loss: 8.6818
Epoch 78 | loss: 8.6491
Epoch 79 | loss: 8.7272
Epoch 80 | loss: 8.7020
Epoch 81 | loss: 8.7923
Eval Epoch 81 | Regret moyen : 26.3000
Epoch 82 | loss: 8.8010
Epoch 83 | loss: 8.7697
Epoch 84 | loss: 8.6504
Epoch 85 | loss: 8.6775
Epoch 86 | loss: 8.7885
Eval Epoch 86 | Regret moyen : 26.3000
Epoch 87 | loss: 8.5676
Epoch 88 | loss: 8.7282
Epoch 89 | loss: 8.7280
Epoch 90 | loss: 8.7342
Epoch 91 | loss: 8.7436
Eval Epoch 91 | Regret moyen : 26.3000
Epoch 92 | loss: 8.7188
Epoch 93 | loss: 8.6411
Epoch 94 | loss: 8.7632
Epoch 95 | loss: 8.6829
Epoch 96 | loss: 8.7135
Eval Epoch 96 | Regret moyen : 26.3000
Epoch 97 | loss: 8.6177
Epoch 98 | loss: 8.6790
Epoch 99 | loss: 8.6751
Epoch 100 | loss: 8.6668
Epoch 101 | loss: 8.7058
Eval Epoch 101 | Regret moyen : 26.3000
Epoch 102 | loss: 8.7264
Epoch 103 | loss: 8.7214
Epoch 104 | loss: 8.8035
Epoch 105 | loss: 8.7806
Epoch 106 | loss: 8.8003
Eval Epoch 106 | Regret moyen : 26.3000
Epoch 107 | loss: 8.7225
Epoch 108 | loss: 8.7754
Epoch 109 | loss: 8.7024
Epoch 110 | loss: 8.6599
Epoch 111 | loss: 8.8512
Eval Epoch 111 | Regret moyen : 26.3000
Epoch 112 | loss: 8.6994
Epoch 113 | loss: 8.7912
Epoch 114 | loss: 8.7272
Epoch 115 | loss: 8.8683
Epoch 116 | loss: 8.7348
Eval Epoch 116 | Regret moyen : 26.3000
Epoch 117 | loss: 8.7352
Epoch 118 | loss: 8.6711
Epoch 119 | loss: 8.7700
Epoch 120 | loss: 8.7610
Epoch 121 | loss: 8.7478
Eval Epoch 121 | Regret moyen : 26.3000
Epoch 122 | loss: 8.8167
Epoch 123 | loss: 8.8124
Epoch 124 | loss: 8.7679
Epoch 125 | loss: 8.8079
Epoch 126 | loss: 8.7632
Eval Epoch 126 | Regret moyen : 26.3000
Epoch 127 | loss: 8.7703
Epoch 128 | loss: 8.6720
Epoch 129 | loss: 8.6630
Epoch 130 | loss: 8.7438
Epoch 131 | loss: 8.7297
Eval Epoch 131 | Regret moyen : 26.3000
Epoch 132 | loss: 8.8027
Epoch 133 | loss: 8.6636
Epoch 134 | loss: 8.6602
Epoch 135 | loss: 8.6382
Epoch 136 | loss: 8.6659
Eval Epoch 136 | Regret moyen : 26.3000
Epoch 137 | loss: 8.6620
Epoch 138 | loss: 8.7279
Epoch 139 | loss: 8.7593
Epoch 140 | loss: 8.7880
Epoch 141 | loss: 8.7859
Eval Epoch 141 | Regret moyen : 26.3000
Epoch 142 | loss: 8.7490
Epoch 143 | loss: 8.6159
Epoch 144 | loss: 8.6695
Epoch 145 | loss: 8.7853
Epoch 146 | loss: 8.7552
Eval Epoch 146 | Regret moyen : 26.3000
Epoch 147 | loss: 8.6632
Epoch 148 | loss: 8.7467
Epoch 149 | loss: 8.7078
Epoch 150 | loss: 8.7946
Saving the model to models/LD_{dim}_{num_feat}_{num_item}_{num_data_train}.pth
/home/stephecw/env_projet/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
