/home/stephecw/env_projet/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with regret as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 22.8939
Eval Epoch 1 | Regret moyen : 18.0600
Epoch 2 | loss: 19.8617
Eval Epoch 2 | Regret moyen : 18.0600
Epoch 3 | loss: 19.8313
Eval Epoch 3 | Regret moyen : 18.0600
Epoch 4 | loss: 19.7867
Eval Epoch 4 | Regret moyen : 18.0600
Epoch 5 | loss: 19.8254
Eval Epoch 5 | Regret moyen : 18.0600
Epoch 6 | loss: 19.7143
Eval Epoch 6 | Regret moyen : 18.0600
Epoch 7 | loss: 19.7891
Eval Epoch 7 | Regret moyen : 18.0600
Epoch 8 | loss: 19.9418
Eval Epoch 8 | Regret moyen : 18.0600
Epoch 9 | loss: 19.8441
Eval Epoch 9 | Regret moyen : 18.0600
Epoch 10 | loss: 19.8033
Eval Epoch 10 | Regret moyen : 18.0600
Epoch 11 | loss: 19.9227
Eval Epoch 11 | Regret moyen : 18.0600
Epoch 12 | loss: 19.8195
Eval Epoch 12 | Regret moyen : 18.0600
Epoch 13 | loss: 19.7398
Eval Epoch 13 | Regret moyen : 18.0600
Epoch 14 | loss: 19.7867
Eval Epoch 14 | Regret moyen : 18.0600
Epoch 15 | loss: 19.8221
Eval Epoch 15 | Regret moyen : 18.0600
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
