Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 23.4939
Eval Epoch 1 | Regret moyen : 29.6400
Epoch 2 | loss: 23.4115
Epoch 3 | loss: 23.2196
Epoch 4 | loss: 22.9304
Epoch 5 | loss: 22.5058
Epoch 6 | loss: 21.9281
Eval Epoch 6 | Regret moyen : 28.9600
Epoch 7 | loss: 21.2926
Epoch 8 | loss: 20.6550
Epoch 9 | loss: 19.8239
Epoch 10 | loss: 19.3449
Epoch 11 | loss: 19.0341
Eval Epoch 11 | Regret moyen : 23.1600
Epoch 12 | loss: 18.3797
Epoch 13 | loss: 17.2571
Epoch 14 | loss: 13.8396
Epoch 15 | loss: 10.6538
Epoch 16 | loss: 9.0733
Eval Epoch 16 | Regret moyen : 26.1900
Epoch 17 | loss: 8.6816
Epoch 18 | loss: 8.8360
Epoch 19 | loss: 8.7840
Epoch 20 | loss: 8.6912
Epoch 21 | loss: 8.7225
Eval Epoch 21 | Regret moyen : 26.1900
Epoch 22 | loss: 8.7052
Epoch 23 | loss: 8.7014
Epoch 24 | loss: 8.6758
Epoch 25 | loss: 8.6772
Epoch 26 | loss: 8.8496
Eval Epoch 26 | Regret moyen : 26.1900
Epoch 27 | loss: 8.6999
Epoch 28 | loss: 8.6328
Epoch 29 | loss: 8.6983
Epoch 30 | loss: 8.7095
Epoch 31 | loss: 8.7139
Eval Epoch 31 | Regret moyen : 26.1900
Epoch 32 | loss: 8.6958
Epoch 33 | loss: 8.7118
Epoch 34 | loss: 8.7416
Epoch 35 | loss: 8.7182
Epoch 36 | loss: 8.6855
Eval Epoch 36 | Regret moyen : 26.1900
Epoch 37 | loss: 8.7321
Epoch 38 | loss: 8.7996
Epoch 39 | loss: 8.7855
Epoch 40 | loss: 8.7070
Epoch 41 | loss: 8.7696
Eval Epoch 41 | Regret moyen : 26.1900
Epoch 42 | loss: 8.6349
Epoch 43 | loss: 8.8067
Epoch 44 | loss: 8.6912
Epoch 45 | loss: 8.7223
Epoch 46 | loss: 8.8237
Eval Epoch 46 | Regret moyen : 26.0700
Epoch 47 | loss: 8.7709
Epoch 48 | loss: 8.8135
Epoch 49 | loss: 8.5964
Epoch 50 | loss: 8.7225
Epoch 51 | loss: 8.6785
Eval Epoch 51 | Regret moyen : 26.1700
Epoch 52 | loss: 8.7336
Epoch 53 | loss: 8.7302
Epoch 54 | loss: 8.8013
Epoch 55 | loss: 8.7834
Epoch 56 | loss: 8.7877
Eval Epoch 56 | Regret moyen : 26.1400
Epoch 57 | loss: 8.6006
Epoch 58 | loss: 8.7436
Epoch 59 | loss: 8.6808
Epoch 60 | loss: 8.7765
Epoch 61 | loss: 8.7919
Eval Epoch 61 | Regret moyen : 26.1400
Epoch 62 | loss: 8.9276
Epoch 63 | loss: 8.7185
Epoch 64 | loss: 8.7649
Epoch 65 | loss: 8.7705
Epoch 66 | loss: 8.7096
Eval Epoch 66 | Regret moyen : 26.1400
Epoch 67 | loss: 8.7268
Epoch 68 | loss: 8.6799
Epoch 69 | loss: 8.7428
Epoch 70 | loss: 8.8510
Epoch 71 | loss: 8.6716
Eval Epoch 71 | Regret moyen : 26.1400
Epoch 72 | loss: 8.7475
Epoch 73 | loss: 8.7304
Epoch 74 | loss: 8.7053
Epoch 75 | loss: 8.6944
Epoch 76 | loss: 8.6958
Eval Epoch 76 | Regret moyen : 26.1400
Epoch 77 | loss: 8.7307
Epoch 78 | loss: 8.7767
Epoch 79 | loss: 8.6162
Epoch 80 | loss: 8.5970
Epoch 81 | loss: 8.7047
Eval Epoch 81 | Regret moyen : 26.2000
Epoch 82 | loss: 8.7825
Epoch 83 | loss: 8.6842
Epoch 84 | loss: 8.6581
Epoch 85 | loss: 8.6567
Epoch 86 | loss: 8.6120
Eval Epoch 86 | Regret moyen : 26.2000
Epoch 87 | loss: 8.6620
Epoch 88 | loss: 8.6924
Epoch 89 | loss: 8.6282
Epoch 90 | loss: 8.6306
Epoch 91 | loss: 8.7018
Eval Epoch 91 | Regret moyen : 26.2000
Epoch 92 | loss: 8.7398
Epoch 93 | loss: 8.6906
Epoch 94 | loss: 8.7124
Epoch 95 | loss: 8.6560
Epoch 96 | loss: 8.6632
Eval Epoch 96 | Regret moyen : 26.2000
Epoch 97 | loss: 8.7437
Epoch 98 | loss: 8.7487
Epoch 99 | loss: 8.7168
Epoch 100 | loss: 8.7122
Epoch 101 | loss: 8.7174
Eval Epoch 101 | Regret moyen : 26.2000
Epoch 102 | loss: 8.7527
Epoch 103 | loss: 8.6806
Epoch 104 | loss: 8.6868
Epoch 105 | loss: 8.7040
Epoch 106 | loss: 8.7710
Eval Epoch 106 | Regret moyen : 26.3200
Epoch 107 | loss: 8.7472
Epoch 108 | loss: 8.7427
Epoch 109 | loss: 8.7066
Epoch 110 | loss: 8.7100
Epoch 111 | loss: 8.7028
Eval Epoch 111 | Regret moyen : 26.2000
Epoch 112 | loss: 8.6923
Epoch 113 | loss: 8.6461
Epoch 114 | loss: 8.7850
Epoch 115 | loss: 8.7114
Epoch 116 | loss: 8.6803
Eval Epoch 116 | Regret moyen : 26.2000
Epoch 117 | loss: 8.7374
Epoch 118 | loss: 8.7068
Epoch 119 | loss: 8.6825
Epoch 120 | loss: 8.7390
Epoch 121 | loss: 8.7411
Eval Epoch 121 | Regret moyen : 26.2000
Epoch 122 | loss: 8.7585
Epoch 123 | loss: 8.5935
Epoch 124 | loss: 8.7082
Epoch 125 | loss: 8.5855
Epoch 126 | loss: 8.6619
Eval Epoch 126 | Regret moyen : 26.2000
Epoch 127 | loss: 8.7155
Epoch 128 | loss: 8.6648
Epoch 129 | loss: 8.6793
Epoch 130 | loss: 8.7762
Epoch 131 | loss: 8.7109
Eval Epoch 131 | Regret moyen : 26.2000
Epoch 132 | loss: 8.7676
Epoch 133 | loss: 8.7935
Epoch 134 | loss: 8.7311
Epoch 135 | loss: 8.7035
Epoch 136 | loss: 8.6526
Eval Epoch 136 | Regret moyen : 26.2000
Epoch 137 | loss: 8.7793
Epoch 138 | loss: 8.7714
Epoch 139 | loss: 8.6732
Epoch 140 | loss: 8.6921
Epoch 141 | loss: 8.7803
Eval Epoch 141 | Regret moyen : 26.2000
Epoch 142 | loss: 8.6564
Epoch 143 | loss: 8.7211
Epoch 144 | loss: 8.7274
Epoch 145 | loss: 8.7399
Epoch 146 | loss: 8.7935
Eval Epoch 146 | Regret moyen : 26.2000
Epoch 147 | loss: 8.8154
Epoch 148 | loss: 8.8128
Epoch 149 | loss: 8.7476
Epoch 150 | loss: 8.7087
Saving the model to models/LD_{dim}_{num_feat}_{num_item}_{num_data_train}.pth
