Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 30.7748
Eval Epoch 1 | Regret moyen : 22.5700
Epoch 2 | loss: 24.5761
Eval Epoch 2 | Regret moyen : 22.6500
Epoch 3 | loss: 23.7199
Eval Epoch 3 | Regret moyen : 22.6500
Epoch 4 | loss: 23.7633
Eval Epoch 4 | Regret moyen : 22.6500
Epoch 5 | loss: 23.8582
Eval Epoch 5 | Regret moyen : 22.6500
Epoch 6 | loss: 23.7656
Eval Epoch 6 | Regret moyen : 22.6500
Epoch 7 | loss: 23.7152
Eval Epoch 7 | Regret moyen : 22.6500
Epoch 8 | loss: 23.8863
Eval Epoch 8 | Regret moyen : 22.6500
Epoch 9 | loss: 23.7059
Eval Epoch 9 | Regret moyen : 22.6500
Epoch 10 | loss: 23.6883
Eval Epoch 10 | Regret moyen : 22.6500
Epoch 11 | loss: 23.6836
Eval Epoch 11 | Regret moyen : 22.6500
Epoch 12 | loss: 23.7855
Eval Epoch 12 | Regret moyen : 22.6500
Epoch 13 | loss: 23.8418
Eval Epoch 13 | Regret moyen : 22.6500
Epoch 14 | loss: 23.7117
Eval Epoch 14 | Regret moyen : 22.6500
Epoch 15 | loss: 23.7000
Eval Epoch 15 | Regret moyen : 22.6500
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
