Loading train_5_200_50_500.txt
Loaded test_5_200_50_500.txt
Training the model with LD bound as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 21.7113
Eval Epoch 1 | Regret moyen : 28.7400
Epoch 2 | loss: 21.6516
Epoch 3 | loss: 21.4627
Epoch 4 | loss: 21.3800
Epoch 5 | loss: 21.2276
Epoch 6 | loss: 20.7910
Eval Epoch 6 | Regret moyen : 27.3500
Epoch 7 | loss: 20.2324
Epoch 8 | loss: 19.3344
Epoch 9 | loss: 18.0701
Epoch 10 | loss: 16.5654
Epoch 11 | loss: 15.6364
Eval Epoch 11 | Regret moyen : 23.8800
Epoch 12 | loss: 14.8522
Epoch 13 | loss: 13.9653
Epoch 14 | loss: 11.4320
Epoch 15 | loss: 8.7660
Epoch 16 | loss: 7.9315
Eval Epoch 16 | Regret moyen : 26.9700
Epoch 17 | loss: 7.7643
Epoch 18 | loss: 7.5456
Epoch 19 | loss: 7.3776
Epoch 20 | loss: 7.3179
Epoch 21 | loss: 7.2473
Eval Epoch 21 | Regret moyen : 26.6400
Epoch 22 | loss: 7.2706
Epoch 23 | loss: 7.1348
Epoch 24 | loss: 7.2677
Epoch 25 | loss: 7.2577
Epoch 26 | loss: 7.1998
Eval Epoch 26 | Regret moyen : 26.6500
Epoch 27 | loss: 7.2679
Epoch 28 | loss: 7.2341
Epoch 29 | loss: 7.2117
Epoch 30 | loss: 7.2507
Epoch 31 | loss: 7.2938
Eval Epoch 31 | Regret moyen : 26.6500
Epoch 32 | loss: 7.2620
Epoch 33 | loss: 7.2571
Epoch 34 | loss: 7.2724
Epoch 35 | loss: 7.1826
Epoch 36 | loss: 7.1456
Eval Epoch 36 | Regret moyen : 26.6400
Epoch 37 | loss: 7.3225
Epoch 38 | loss: 7.2199
Epoch 39 | loss: 7.2395
Epoch 40 | loss: 7.2510
Epoch 41 | loss: 7.2436
Eval Epoch 41 | Regret moyen : 26.7200
Epoch 42 | loss: 7.1949
Epoch 43 | loss: 7.2651
Epoch 44 | loss: 7.1943
Epoch 45 | loss: 7.1797
Epoch 46 | loss: 7.2735
Eval Epoch 46 | Regret moyen : 26.7200
Epoch 47 | loss: 7.2299
