Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 13.9234
Eval Epoch 1 | Regret moyen : 12.8700
Epoch 2 | loss: 13.3699
Eval Epoch 2 | Regret moyen : 12.8700
Epoch 3 | loss: 13.4285
Eval Epoch 3 | Regret moyen : 12.8700
Epoch 4 | loss: 13.4742
Eval Epoch 4 | Regret moyen : 12.8700
Epoch 5 | loss: 13.4414
Eval Epoch 5 | Regret moyen : 12.8700
Epoch 6 | loss: 13.3863
Eval Epoch 6 | Regret moyen : 12.8700
Epoch 7 | loss: 13.4355
Eval Epoch 7 | Regret moyen : 12.8700
Epoch 8 | loss: 13.4145
Eval Epoch 8 | Regret moyen : 12.8700
Epoch 9 | loss: 13.4215
Eval Epoch 9 | Regret moyen : 12.8700
Epoch 10 | loss: 13.3863
Eval Epoch 10 | Regret moyen : 12.8700
Epoch 11 | loss: 13.4355
Eval Epoch 11 | Regret moyen : 12.8700
Epoch 12 | loss: 13.4016
Eval Epoch 12 | Regret moyen : 12.8700
Epoch 13 | loss: 13.3957
Eval Epoch 13 | Regret moyen : 12.8700
Epoch 14 | loss: 13.3594
Eval Epoch 14 | Regret moyen : 12.8700
Epoch 15 | loss: 13.4859
Eval Epoch 15 | Regret moyen : 12.8700
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
