Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 17.1436
Eval Epoch 1 | Regret moyen : 12.4600
Epoch 2 | loss: 13.6236
Eval Epoch 2 | Regret moyen : 12.5000
Epoch 3 | loss: 13.5342
Eval Epoch 3 | Regret moyen : 12.5000
Epoch 4 | loss: 13.7031
Eval Epoch 4 | Regret moyen : 12.5000
Epoch 5 | loss: 13.5967
Eval Epoch 5 | Regret moyen : 12.5000
Epoch 6 | loss: 13.6262
Eval Epoch 6 | Regret moyen : 12.5000
Epoch 7 | loss: 13.6475
Eval Epoch 7 | Regret moyen : 12.5000
Epoch 8 | loss: 13.5982
Eval Epoch 8 | Regret moyen : 12.5000
Epoch 9 | loss: 13.6258
Eval Epoch 9 | Regret moyen : 12.5000
Epoch 10 | loss: 13.6021
Eval Epoch 10 | Regret moyen : 12.5000
Epoch 11 | loss: 13.6664
Eval Epoch 11 | Regret moyen : 12.5000
Epoch 12 | loss: 13.5895
Eval Epoch 12 | Regret moyen : 12.5000
Epoch 13 | loss: 13.5364
Eval Epoch 13 | Regret moyen : 12.5000
Epoch 14 | loss: 13.5994
Eval Epoch 14 | Regret moyen : 12.5000
Epoch 15 | loss: 13.5738
Eval Epoch 15 | Regret moyen : 12.5000
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
