Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with regret as loss...
Num of cores: 1
Epoch 1 | loss: 18.2345
Eval Epoch 1 | Regret moyen : 12.4000
Epoch 2 | loss: 14.8473
Eval Epoch 2 | Regret moyen : 12.1800
Epoch 3 | loss: 13.8835
Eval Epoch 3 | Regret moyen : 12.1800
Epoch 4 | loss: 14.0643
Eval Epoch 4 | Regret moyen : 12.1800
Epoch 5 | loss: 13.9236
Eval Epoch 5 | Regret moyen : 12.1800
Epoch 6 | loss: 13.9192
Eval Epoch 6 | Regret moyen : 12.1800
Epoch 7 | loss: 14.0406
Eval Epoch 7 | Regret moyen : 12.1800
Epoch 8 | loss: 13.9416
Eval Epoch 8 | Regret moyen : 12.1800
Epoch 9 | loss: 13.9256
Eval Epoch 9 | Regret moyen : 12.1800
Epoch 10 | loss: 13.9406
Eval Epoch 10 | Regret moyen : 12.1800
Epoch 11 | loss: 13.9963
Eval Epoch 11 | Regret moyen : 12.1800
Epoch 12 | loss: 13.9200
Eval Epoch 12 | Regret moyen : 12.1800
Epoch 13 | loss: 13.9945
Eval Epoch 13 | Regret moyen : 12.1800
Epoch 14 | loss: 13.9627
Eval Epoch 14 | Regret moyen : 12.1800
Epoch 15 | loss: 13.9955
Eval Epoch 15 | Regret moyen : 12.1800
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
