Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with regret as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 18.1111
Eval Epoch 1 | Regret moyen : 12.6200
Epoch 2 | loss: 14.5591
Eval Epoch 2 | Regret moyen : 12.2200
Epoch 3 | loss: 13.8577
Eval Epoch 3 | Regret moyen : 12.1900
Epoch 4 | loss: 13.9869
Eval Epoch 4 | Regret moyen : 12.1900
Epoch 5 | loss: 14.1008
Eval Epoch 5 | Regret moyen : 12.1900
Epoch 6 | loss: 14.0604
Eval Epoch 6 | Regret moyen : 12.1900
Epoch 7 | loss: 14.0368
Eval Epoch 7 | Regret moyen : 12.1900
Epoch 8 | loss: 14.0717
Eval Epoch 8 | Regret moyen : 12.1900
Epoch 9 | loss: 13.9912
Eval Epoch 9 | Regret moyen : 12.1900
Epoch 10 | loss: 14.0240
Eval Epoch 10 | Regret moyen : 12.1900
Epoch 11 | loss: 14.1303
Eval Epoch 11 | Regret moyen : 12.1900
Epoch 12 | loss: 14.0424
Eval Epoch 12 | Regret moyen : 12.1900
Epoch 13 | loss: 14.0030
Eval Epoch 13 | Regret moyen : 12.1900
Epoch 14 | loss: 14.0797
Eval Epoch 14 | Regret moyen : 12.1900
Epoch 15 | loss: 14.1051
Eval Epoch 15 | Regret moyen : 12.1900
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
