Loading train_5_200_30_500.txt
Loaded test_5_200_30_500.txt
Training the model with regret as loss...
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Epoch 1 | loss: 18.0306
Eval Epoch 1 | Regret moyen : 10.8600
Epoch 2 | loss: 14.7637
Eval Epoch 2 | Regret moyen : 11.6900
Epoch 3 | loss: 13.5886
Eval Epoch 3 | Regret moyen : 11.9500
Epoch 4 | loss: 13.7400
Eval Epoch 4 | Regret moyen : 11.9500
Epoch 5 | loss: 13.7737
Eval Epoch 5 | Regret moyen : 11.9500
Epoch 6 | loss: 13.7121
Eval Epoch 6 | Regret moyen : 11.9500
Epoch 7 | loss: 13.7716
Eval Epoch 7 | Regret moyen : 11.9500
Epoch 8 | loss: 13.7380
Eval Epoch 8 | Regret moyen : 11.9500
Epoch 9 | loss: 13.7738
Eval Epoch 9 | Regret moyen : 11.9500
Epoch 10 | loss: 13.7928
Eval Epoch 10 | Regret moyen : 11.9500
Epoch 11 | loss: 13.7961
Eval Epoch 11 | Regret moyen : 11.9500
Epoch 12 | loss: 13.7916
Eval Epoch 12 | Regret moyen : 11.9500
Epoch 13 | loss: 13.8766
Eval Epoch 13 | Regret moyen : 11.9500
Epoch 14 | loss: 13.8266
Eval Epoch 14 | Regret moyen : 11.9500
Epoch 15 | loss: 13.8924
Eval Epoch 15 | Regret moyen : 11.9500
Saving the model to models/{dim}_{num_feat}_{num_item}_{num_data_train}.pth
