Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 1 | loss: 0.0239
Eval Epoch 0 | Mean relative regret: 0.2266
Epoch 2 | loss: 0.0196
Eval Epoch 1 | Mean relative regret: 0.2138
Epoch 3 | loss: 0.0172
Eval Epoch 2 | Mean relative regret: 0.2026
Epoch 4 | loss: 0.0157
Eval Epoch 3 | Mean relative regret: 0.1928
Epoch 5 | loss: 0.0145
Eval Epoch 4 | Mean relative regret: 0.1867
Epoch 6 | loss: 0.0135
Eval Epoch 5 | Mean relative regret: 0.1807
Epoch 7 | loss: 0.0125
Eval Epoch 6 | Mean relative regret: 0.1756
Epoch 8 | loss: 0.0117
Eval Epoch 7 | Mean relative regret: 0.1712
Epoch 9 | loss: 0.0109
Eval Epoch 8 | Mean relative regret: 0.1670
Epoch 10 | loss: 0.0102
Eval Epoch 9 | Mean relative regret: 0.1624
Epoch 11 | loss: 0.0094
Eval Epoch 10 | Mean relative regret: 0.1593
Epoch 12 | loss: 0.0090
Eval Epoch 11 | Mean relative regret: 0.1585
Epoch 13 | loss: 0.0084
Eval Epoch 12 | Mean relative regret: 0.1575
Epoch 14 | loss: 0.0081
Eval Epoch 13 | Mean relative regret: 0.1566
Epoch 15 | loss: 0.0076
Eval Epoch 14 | Mean relative regret: 0.1558
Epoch 16 | loss: 0.0072
Eval Epoch 15 | Mean relative regret: 0.1550
Epoch 17 | loss: 0.0070
Eval Epoch 16 | Mean relative regret: 0.1536
Epoch 18 | loss: 0.0067
Eval Epoch 17 | Mean relative regret: 0.1539
Epoch 19 | loss: 0.0064
Eval Epoch 18 | Mean relative regret: 0.1535
Epoch 20 | loss: 0.0063
Eval Epoch 19 | Mean relative regret: 0.1529
Epoch 21 | loss: 0.0059
Eval Epoch 20 | Mean relative regret: 0.1521
Epoch 22 | loss: 0.0059
Eval Epoch 21 | Mean relative regret: 0.1527
Epoch 23 | loss: 0.0057
Eval Epoch 22 | Mean relative regret: 0.1521
Epoch 24 | loss: 0.0056
Eval Epoch 23 | Mean relative regret: 0.1522
Epoch 25 | loss: 0.0055
Eval Epoch 24 | Mean relative regret: 0.1517
Epoch 26 | loss: 0.0053
Eval Epoch 25 | Mean relative regret: 0.1509
Epoch 27 | loss: 0.0051
Eval Epoch 26 | Mean relative regret: 0.1516
Epoch 28 | loss: 0.0051
Eval Epoch 27 | Mean relative regret: 0.1514
Epoch 29 | loss: 0.0051
Eval Epoch 28 | Mean relative regret: 0.1520
Epoch 30 | loss: 0.0050
Eval Epoch 29 | Mean relative regret: 0.1520
Epoch 31 | loss: 0.0050
Eval Epoch 30 | Mean relative regret: 0.1520
Epoch 32 | loss: 0.0049
Eval Epoch 31 | Mean relative regret: 0.1523
Epoch 33 | loss: 0.0048
Eval Epoch 32 | Mean relative regret: 0.1518
Epoch 34 | loss: 0.0046
Eval Epoch 33 | Mean relative regret: 0.1516
Epoch 35 | loss: 0.0047
Eval Epoch 34 | Mean relative regret: 0.1518
Time limit reached, stopping training.
Test relative regret: 0.1518 ± 0.0529
Test relative regret: 0.1346 ± 0.0550
Saving the model to portfolio/models/IMLE_LD_30_500_200_2-25.pth
