Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 1 | loss: 0.0304
Eval Epoch 0 | Mean relative regret: 0.2077
Epoch 2 | loss: 0.0271
Eval Epoch 1 | Mean relative regret: 0.1915
Epoch 3 | loss: 0.0241
Eval Epoch 2 | Mean relative regret: 0.1806
Epoch 4 | loss: 0.0213
Eval Epoch 3 | Mean relative regret: 0.1746
Epoch 5 | loss: 0.0193
Eval Epoch 4 | Mean relative regret: 0.1687
Epoch 6 | loss: 0.0174
Eval Epoch 5 | Mean relative regret: 0.1639
Epoch 7 | loss: 0.0156
Eval Epoch 6 | Mean relative regret: 0.1616
Epoch 8 | loss: 0.0144
Eval Epoch 7 | Mean relative regret: 0.1587
Epoch 9 | loss: 0.0137
Eval Epoch 8 | Mean relative regret: 0.1565
Epoch 10 | loss: 0.0126
Eval Epoch 9 | Mean relative regret: 0.1556
Epoch 11 | loss: 0.0118
Eval Epoch 10 | Mean relative regret: 0.1550
Epoch 12 | loss: 0.0112
Eval Epoch 11 | Mean relative regret: 0.1549
Epoch 13 | loss: 0.0105
Eval Epoch 12 | Mean relative regret: 0.1539
Epoch 14 | loss: 0.0104
Eval Epoch 13 | Mean relative regret: 0.1534
Epoch 15 | loss: 0.0100
Eval Epoch 14 | Mean relative regret: 0.1521
Epoch 16 | loss: 0.0095
Eval Epoch 15 | Mean relative regret: 0.1525
Epoch 17 | loss: 0.0091
Eval Epoch 16 | Mean relative regret: 0.1512
Epoch 18 | loss: 0.0087
Eval Epoch 17 | Mean relative regret: 0.1501
Epoch 19 | loss: 0.0084
Eval Epoch 18 | Mean relative regret: 0.1494
Epoch 20 | loss: 0.0084
Eval Epoch 19 | Mean relative regret: 0.1492
Epoch 21 | loss: 0.0077
Eval Epoch 20 | Mean relative regret: 0.1484
Epoch 22 | loss: 0.0080
Eval Epoch 21 | Mean relative regret: 0.1482
Epoch 23 | loss: 0.0079
Eval Epoch 22 | Mean relative regret: 0.1483
Epoch 24 | loss: 0.0076
Eval Epoch 23 | Mean relative regret: 0.1488
Epoch 25 | loss: 0.0073
Eval Epoch 24 | Mean relative regret: 0.1488
Epoch 26 | loss: 0.0070
Eval Epoch 25 | Mean relative regret: 0.1486
Epoch 27 | loss: 0.0069
Eval Epoch 26 | Mean relative regret: 0.1492
Epoch 28 | loss: 0.0069
Eval Epoch 27 | Mean relative regret: 0.1492
Time limit reached, stopping training.
Test relative regret: 0.1492 ± 0.0491
Test relative regret: 0.1261 ± 0.0501
Saving the model to portfolio/models/IMLE_classic_30_500_200_2-25.pth
