Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 1 | loss: 0.0257
Eval Epoch 0 | Mean relative regret: 0.2149
Epoch 2 | loss: 0.0211
Eval Epoch 1 | Mean relative regret: 0.2013
Epoch 3 | loss: 0.0186
Eval Epoch 2 | Mean relative regret: 0.1942
Epoch 4 | loss: 0.0174
Eval Epoch 3 | Mean relative regret: 0.1907
Epoch 5 | loss: 0.0164
Eval Epoch 4 | Mean relative regret: 0.1857
Epoch 6 | loss: 0.0155
Eval Epoch 5 | Mean relative regret: 0.1780
Epoch 7 | loss: 0.0147
Eval Epoch 6 | Mean relative regret: 0.1701
Epoch 8 | loss: 0.0140
Eval Epoch 7 | Mean relative regret: 0.1660
Epoch 9 | loss: 0.0131
Eval Epoch 8 | Mean relative regret: 0.1589
Epoch 10 | loss: 0.0124
Eval Epoch 9 | Mean relative regret: 0.1551
Epoch 11 | loss: 0.0117
Eval Epoch 10 | Mean relative regret: 0.1520
Epoch 12 | loss: 0.0111
Eval Epoch 11 | Mean relative regret: 0.1487
Epoch 13 | loss: 0.0107
Eval Epoch 12 | Mean relative regret: 0.1483
Epoch 14 | loss: 0.0103
Eval Epoch 13 | Mean relative regret: 0.1468
Epoch 15 | loss: 0.0099
Eval Epoch 14 | Mean relative regret: 0.1452
Epoch 16 | loss: 0.0095
Eval Epoch 15 | Mean relative regret: 0.1445
Epoch 17 | loss: 0.0092
Eval Epoch 16 | Mean relative regret: 0.1444
Epoch 18 | loss: 0.0090
Eval Epoch 17 | Mean relative regret: 0.1434
Epoch 19 | loss: 0.0087
Eval Epoch 18 | Mean relative regret: 0.1429
Epoch 20 | loss: 0.0085
Eval Epoch 19 | Mean relative regret: 0.1427
Epoch 21 | loss: 0.0084
Eval Epoch 20 | Mean relative regret: 0.1425
Epoch 22 | loss: 0.0082
Eval Epoch 21 | Mean relative regret: 0.1434
Time limit reached, stopping training.
Test relative regret: 0.1434 ± 0.0382
Test relative regret: 0.1276 ± 0.0388
Saving the model to portfolio/models/IMLE_LD_50_500_200_2-25.pth
