Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 1 | loss: 0.0298
Eval Epoch 0 | Mean relative regret: 0.2094
Epoch 2 | loss: 0.0265
Eval Epoch 1 | Mean relative regret: 0.1912
Epoch 3 | loss: 0.0239
Eval Epoch 2 | Mean relative regret: 0.1779
Epoch 4 | loss: 0.0214
Eval Epoch 3 | Mean relative regret: 0.1644
Epoch 5 | loss: 0.0193
Eval Epoch 4 | Mean relative regret: 0.1561
Epoch 6 | loss: 0.0176
Eval Epoch 5 | Mean relative regret: 0.1497
Epoch 7 | loss: 0.0159
Eval Epoch 6 | Mean relative regret: 0.1460
Epoch 8 | loss: 0.0147
Eval Epoch 7 | Mean relative regret: 0.1429
Epoch 9 | loss: 0.0139
Eval Epoch 8 | Mean relative regret: 0.1400
Epoch 10 | loss: 0.0132
Eval Epoch 9 | Mean relative regret: 0.1392
Epoch 11 | loss: 0.0126
Eval Epoch 10 | Mean relative regret: 0.1385
Epoch 12 | loss: 0.0120
Eval Epoch 11 | Mean relative regret: 0.1373
Epoch 13 | loss: 0.0114
Eval Epoch 12 | Mean relative regret: 0.1355
Epoch 14 | loss: 0.0110
Eval Epoch 13 | Mean relative regret: 0.1350
Epoch 15 | loss: 0.0106
Eval Epoch 14 | Mean relative regret: 0.1355
Epoch 16 | loss: 0.0103
Eval Epoch 15 | Mean relative regret: 0.1347
Epoch 17 | loss: 0.0100
Eval Epoch 16 | Mean relative regret: 0.1344
Epoch 18 | loss: 0.0098
Eval Epoch 17 | Mean relative regret: 0.1348
Epoch 19 | loss: 0.0095
Eval Epoch 18 | Mean relative regret: 0.1345
Epoch 20 | loss: 0.0095
Eval Epoch 19 | Mean relative regret: 0.1337
Epoch 21 | loss: 0.0091
Eval Epoch 20 | Mean relative regret: 0.1336
Epoch 22 | loss: 0.0089
Eval Epoch 21 | Mean relative regret: 0.1333
Epoch 23 | loss: 0.0088
Eval Epoch 22 | Mean relative regret: 0.1332
Epoch 24 | loss: 0.0086
Eval Epoch 23 | Mean relative regret: 0.1331
Epoch 25 | loss: 0.0086
Eval Epoch 24 | Mean relative regret: 0.1321
Epoch 26 | loss: 0.0083
Eval Epoch 25 | Mean relative regret: 0.1322
Epoch 27 | loss: 0.0083
Eval Epoch 26 | Mean relative regret: 0.1319
Epoch 28 | loss: 0.0081
Eval Epoch 27 | Mean relative regret: 0.1325
Epoch 29 | loss: 0.0078
Eval Epoch 28 | Mean relative regret: 0.1319
Epoch 30 | loss: 0.0080
Eval Epoch 29 | Mean relative regret: 0.1324
Epoch 31 | loss: 0.0078
Eval Epoch 30 | Mean relative regret: 0.1320
Epoch 32 | loss: 0.0078
Eval Epoch 31 | Mean relative regret: 0.1317
Epoch 33 | loss: 0.0076
Eval Epoch 32 | Mean relative regret: 0.1317
Epoch 34 | loss: 0.0075
Eval Epoch 33 | Mean relative regret: 0.1323
Time limit reached, stopping training.
Test relative regret: 0.1323 ± 0.0368
Test relative regret: 0.1198 ± 0.0378
Saving the model to portfolio/models/IMLE_classic_50_500_200_2-25.pth
