Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0257
Eval Epoch 0 | Mean relative regret: 0.2131
Epoch 1 | loss: 0.0211
Eval Epoch 1 | Mean relative regret: 0.2014
Epoch 2 | loss: 0.0188
Eval Epoch 2 | Mean relative regret: 0.1923
Epoch 3 | loss: 0.0174
Eval Epoch 3 | Mean relative regret: 0.1872
Epoch 4 | loss: 0.0165
Eval Epoch 4 | Mean relative regret: 0.1818
Epoch 5 | loss: 0.0156
Eval Epoch 5 | Mean relative regret: 0.1755
Epoch 6 | loss: 0.0148
Eval Epoch 6 | Mean relative regret: 0.1689
Epoch 7 | loss: 0.0140
Eval Epoch 7 | Mean relative regret: 0.1618
Epoch 8 | loss: 0.0132
Eval Epoch 8 | Mean relative regret: 0.1581
Epoch 9 | loss: 0.0124
Eval Epoch 9 | Mean relative regret: 0.1530
Epoch 10 | loss: 0.0118
Eval Epoch 10 | Mean relative regret: 0.1514
Epoch 11 | loss: 0.0113
Eval Epoch 11 | Mean relative regret: 0.1488
Epoch 12 | loss: 0.0107
Eval Epoch 12 | Mean relative regret: 0.1476
Epoch 13 | loss: 0.0104
Eval Epoch 13 | Mean relative regret: 0.1465
Epoch 14 | loss: 0.0100
Eval Epoch 14 | Mean relative regret: 0.1463
Epoch 15 | loss: 0.0097
Eval Epoch 15 | Mean relative regret: 0.1455
Epoch 16 | loss: 0.0093
Eval Epoch 16 | Mean relative regret: 0.1457
Epoch 17 | loss: 0.0091
Eval Epoch 17 | Mean relative regret: 0.1453
Epoch 18 | loss: 0.0088
Eval Epoch 18 | Mean relative regret: 0.1444
Epoch 19 | loss: 0.0086
Eval Epoch 19 | Mean relative regret: 0.1449
Epoch 20 | loss: 0.0085
Eval Epoch 20 | Mean relative regret: 0.1442
Epoch 21 | loss: 0.0081
Eval Epoch 21 | Mean relative regret: 0.1443
Epoch 22 | loss: 0.0081
Eval Epoch 22 | Mean relative regret: 0.1437
Epoch 23 | loss: 0.0079
Eval Epoch 23 | Mean relative regret: 0.1435
Epoch 24 | loss: 0.0079
Eval Epoch 24 | Mean relative regret: 0.1434
Epoch 25 | loss: 0.0076
Eval Epoch 25 | Mean relative regret: 0.1429
Epoch 26 | loss: 0.0075
Eval Epoch 26 | Mean relative regret: 0.1428
Epoch 27 | loss: 0.0074
Eval Epoch 27 | Mean relative regret: 0.1432
Epoch 28 | loss: 0.0072
Eval Epoch 28 | Mean relative regret: 0.1434
Epoch 29 | loss: 0.0072
Eval Epoch 29 | Mean relative regret: 0.1433
Epoch 30 | loss: 0.0072
Eval Epoch 30 | Mean relative regret: 0.1433
Epoch 31 | loss: 0.0070
Eval Epoch 31 | Mean relative regret: 0.1434
Epoch 32 | loss: 0.0069
Eval Epoch 32 | Mean relative regret: 0.1433
Epoch 33 | loss: 0.0070
Eval Epoch 33 | Mean relative regret: 0.1433
Epoch 34 | loss: 0.0068
Eval Epoch 34 | Mean relative regret: 0.1437
Epoch 35 | loss: 0.0068
Eval Epoch 35 | Mean relative regret: 0.1437
Epoch 36 | loss: 0.0067
Eval Epoch 36 | Mean relative regret: 0.1437
Epoch 37 | loss: 0.0067
Eval Epoch 37 | Mean relative regret: 0.1435
Epoch 38 | loss: 0.0065
Eval Epoch 38 | Mean relative regret: 0.1432
Epoch 39 | loss: 0.0065
Eval Epoch 39 | Mean relative regret: 0.1432
Epoch 40 | loss: 0.0065
Eval Epoch 40 | Mean relative regret: 0.1428
Epoch 41 | loss: 0.0062
Eval Epoch 41 | Mean relative regret: 0.1427
Epoch 42 | loss: 0.0064
Eval Epoch 42 | Mean relative regret: 0.1429
Epoch 43 | loss: 0.0064
Eval Epoch 43 | Mean relative regret: 0.1422
Epoch 44 | loss: 0.0061
Eval Epoch 44 | Mean relative regret: 0.1423
Epoch 45 | loss: 0.0061
Eval Epoch 45 | Mean relative regret: 0.1423
Epoch 46 | loss: 0.0060
Eval Epoch 46 | Mean relative regret: 0.1433
Epoch 47 | loss: 0.0061
Eval Epoch 47 | Mean relative regret: 0.1431
Epoch 48 | loss: 0.0060
Eval Epoch 48 | Mean relative regret: 0.1428
Epoch 49 | loss: 0.0061
Eval Epoch 49 | Mean relative regret: 0.1431
Epoch 50 | loss: 0.0059
Eval Epoch 50 | Mean relative regret: 0.1433
Epoch 51 | loss: 0.0059
Eval Epoch 51 | Mean relative regret: 0.1440
Epoch 52 | loss: 0.0060
Eval Epoch 52 | Mean relative regret: 0.1438
Epoch 53 | loss: 0.0060
Eval Epoch 53 | Mean relative regret: 0.1440
Epoch 54 | loss: 0.0059
Eval Epoch 54 | Mean relative regret: 0.1444
Epoch 55 | loss: 0.0059
Eval Epoch 55 | Mean relative regret: 0.1441
Epoch 56 | loss: 0.0057
Eval Epoch 56 | Mean relative regret: 0.1436
Epoch 57 | loss: 0.0057
Eval Epoch 57 | Mean relative regret: 0.1439
Epoch 58 | loss: 0.0057
Eval Epoch 58 | Mean relative regret: 0.1440
Epoch 59 | loss: 0.0058
Eval Epoch 59 | Mean relative regret: 0.1441
Epoch 60 | loss: 0.0055
Eval Epoch 60 | Mean relative regret: 0.1444
Epoch 61 | loss: 0.0056
Eval Epoch 61 | Mean relative regret: 0.1442
Epoch 62 | loss: 0.0055
Eval Epoch 62 | Mean relative regret: 0.1443
Time limit reached, stopping training.
Test relative regret: 0.1422 ± 0.0395
Traceback (most recent call last):
