Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0300
Eval Epoch 0 | Mean relative regret: 0.2198
Epoch 1 | loss: 0.0273
Eval Epoch 1 | Mean relative regret: 0.2036
Epoch 2 | loss: 0.0243
Eval Epoch 2 | Mean relative regret: 0.1895
Epoch 3 | loss: 0.0221
Eval Epoch 3 | Mean relative regret: 0.1779
Epoch 4 | loss: 0.0198
Eval Epoch 4 | Mean relative regret: 0.1677
Epoch 5 | loss: 0.0177
Eval Epoch 5 | Mean relative regret: 0.1608
Epoch 6 | loss: 0.0160
Eval Epoch 6 | Mean relative regret: 0.1570
Epoch 7 | loss: 0.0148
Eval Epoch 7 | Mean relative regret: 0.1556
Epoch 8 | loss: 0.0140
Eval Epoch 8 | Mean relative regret: 0.1550
Epoch 9 | loss: 0.0128
Eval Epoch 9 | Mean relative regret: 0.1534
Epoch 10 | loss: 0.0123
Eval Epoch 10 | Mean relative regret: 0.1523
Epoch 11 | loss: 0.0114
Eval Epoch 11 | Mean relative regret: 0.1507
Epoch 12 | loss: 0.0109
Eval Epoch 12 | Mean relative regret: 0.1501
Epoch 13 | loss: 0.0106
Eval Epoch 13 | Mean relative regret: 0.1491
Epoch 14 | loss: 0.0100
Eval Epoch 14 | Mean relative regret: 0.1482
Epoch 15 | loss: 0.0097
Eval Epoch 15 | Mean relative regret: 0.1481
Epoch 16 | loss: 0.0095
Eval Epoch 16 | Mean relative regret: 0.1477
Epoch 17 | loss: 0.0091
Eval Epoch 17 | Mean relative regret: 0.1474
Epoch 18 | loss: 0.0089
Eval Epoch 18 | Mean relative regret: 0.1470
Epoch 19 | loss: 0.0086
