Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0302
Eval Epoch 0 | Mean relative regret: 0.2104
Epoch 1 | loss: 0.0267
Eval Epoch 1 | Mean relative regret: 0.1917
Epoch 2 | loss: 0.0249
Eval Epoch 2 | Mean relative regret: 0.1786
Epoch 3 | loss: 0.0219
Eval Epoch 3 | Mean relative regret: 0.1688
Epoch 4 | loss: 0.0194
Eval Epoch 4 | Mean relative regret: 0.1602
Epoch 5 | loss: 0.0171
Eval Epoch 5 | Mean relative regret: 0.1561
Epoch 6 | loss: 0.0158
Eval Epoch 6 | Mean relative regret: 0.1522
Epoch 7 | loss: 0.0143
Eval Epoch 7 | Mean relative regret: 0.1497
Epoch 8 | loss: 0.0134
Eval Epoch 8 | Mean relative regret: 0.1490
Epoch 9 | loss: 0.0128
Eval Epoch 9 | Mean relative regret: 0.1476
Epoch 10 | loss: 0.0117
Eval Epoch 10 | Mean relative regret: 0.1473
Epoch 11 | loss: 0.0112
Eval Epoch 11 | Mean relative regret: 0.1449
Epoch 12 | loss: 0.0108
Eval Epoch 12 | Mean relative regret: 0.1443
Epoch 13 | loss: 0.0102
Eval Epoch 13 | Mean relative regret: 0.1429
Epoch 14 | loss: 0.0099
Eval Epoch 14 | Mean relative regret: 0.1419
Epoch 15 | loss: 0.0091
Eval Epoch 15 | Mean relative regret: 0.1413
Epoch 16 | loss: 0.0090
Eval Epoch 16 | Mean relative regret: 0.1404
Epoch 17 | loss: 0.0088
Eval Epoch 17 | Mean relative regret: 0.1411
Epoch 18 | loss: 0.0085
Eval Epoch 18 | Mean relative regret: 0.1405
Epoch 19 | loss: 0.0084
Eval Epoch 19 | Mean relative regret: 0.1407
Epoch 20 | loss: 0.0081
Eval Epoch 20 | Mean relative regret: 0.1409
Epoch 21 | loss: 0.0078
Eval Epoch 21 | Mean relative regret: 0.1406
Epoch 22 | loss: 0.0076
Eval Epoch 22 | Mean relative regret: 0.1408
Epoch 23 | loss: 0.0075
Eval Epoch 23 | Mean relative regret: 0.1403
Epoch 24 | loss: 0.0072
Eval Epoch 24 | Mean relative regret: 0.1399
Time limit reached, stopping training.
Test relative regret: 0.1399 ± 0.0510
Test relative regret: 0.1262 ± 0.0512
Saving the model to portfolio/models/IMLE_classic_30_500_200_2-25.pth
