Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Training the model with MSE as loss
Epoch 0 | loss: 0.0515
Epoch 1 | loss: 0.0269
Epoch 2 | loss: 0.0167
Epoch 3 | loss: 0.0116
Epoch 4 | loss: 0.0088
Eval Epoch 4 | Mean relative regret: 0.2344
Epoch 5 | loss: 0.0069
Epoch 6 | loss: 0.0056
Epoch 7 | loss: 0.0048
Epoch 8 | loss: 0.0041
Epoch 9 | loss: 0.0035
Eval Epoch 9 | Mean relative regret: 0.2263
Epoch 10 | loss: 0.0030
Epoch 11 | loss: 0.0026
Epoch 12 | loss: 0.0024
Epoch 13 | loss: 0.0022
Epoch 14 | loss: 0.0020
Eval Epoch 14 | Mean relative regret: 0.2216
Epoch 15 | loss: 0.0018
Epoch 16 | loss: 0.0016
Epoch 17 | loss: 0.0015
Epoch 18 | loss: 0.0014
Epoch 19 | loss: 0.0013
Eval Epoch 19 | Mean relative regret: 0.2163
Epoch 20 | loss: 0.0013
Epoch 21 | loss: 0.0012
Epoch 22 | loss: 0.0011
Epoch 23 | loss: 0.0010
Epoch 24 | loss: 0.0010
Eval Epoch 24 | Mean relative regret: 0.2125
Epoch 25 | loss: 0.0010
Epoch 26 | loss: 0.0009
Epoch 27 | loss: 0.0009
Epoch 28 | loss: 0.0008
Epoch 29 | loss: 0.0008
Eval Epoch 29 | Mean relative regret: 0.2079
Epoch 30 | loss: 0.0008
Epoch 31 | loss: 0.0008
Epoch 32 | loss: 0.0008
Epoch 33 | loss: 0.0007
Epoch 34 | loss: 0.0007
Eval Epoch 34 | Mean relative regret: 0.2028
Epoch 35 | loss: 0.0007
Epoch 36 | loss: 0.0007
Epoch 37 | loss: 0.0007
Epoch 38 | loss: 0.0006
Epoch 39 | loss: 0.0006
Eval Epoch 39 | Mean relative regret: 0.1982
Epoch 40 | loss: 0.0006
Epoch 41 | loss: 0.0006
Epoch 42 | loss: 0.0006
Epoch 43 | loss: 0.0006
Epoch 44 | loss: 0.0006
Eval Epoch 44 | Mean relative regret: 0.1959
Epoch 45 | loss: 0.0006
Epoch 46 | loss: 0.0006
