Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0296
Eval Epoch 0 | Mean relative regret: 0.2100
Epoch 1 | loss: 0.0262
Eval Epoch 1 | Mean relative regret: 0.1939
Epoch 2 | loss: 0.0238
Eval Epoch 2 | Mean relative regret: 0.1782
Epoch 3 | loss: 0.0212
Eval Epoch 3 | Mean relative regret: 0.1651
Epoch 4 | loss: 0.0192
Eval Epoch 4 | Mean relative regret: 0.1564
Epoch 5 | loss: 0.0173
Eval Epoch 5 | Mean relative regret: 0.1520
Epoch 6 | loss: 0.0158
Eval Epoch 6 | Mean relative regret: 0.1492
Epoch 7 | loss: 0.0149
Eval Epoch 7 | Mean relative regret: 0.1462
Epoch 8 | loss: 0.0139
Eval Epoch 8 | Mean relative regret: 0.1442
Epoch 9 | loss: 0.0129
Eval Epoch 9 | Mean relative regret: 0.1418
Epoch 10 | loss: 0.0124
Eval Epoch 10 | Mean relative regret: 0.1407
Epoch 11 | loss: 0.0118
Eval Epoch 11 | Mean relative regret: 0.1396
Epoch 12 | loss: 0.0114
Eval Epoch 12 | Mean relative regret: 0.1385
Epoch 13 | loss: 0.0108
Eval Epoch 13 | Mean relative regret: 0.1376
Epoch 14 | loss: 0.0106
Eval Epoch 14 | Mean relative regret: 0.1365
Epoch 15 | loss: 0.0101
Eval Epoch 15 | Mean relative regret: 0.1358
Epoch 16 | loss: 0.0099
Eval Epoch 16 | Mean relative regret: 0.1351
Epoch 17 | loss: 0.0097
Eval Epoch 17 | Mean relative regret: 0.1350
Epoch 18 | loss: 0.0094
Eval Epoch 18 | Mean relative regret: 0.1348
Epoch 19 | loss: 0.0091
Eval Epoch 19 | Mean relative regret: 0.1345
Epoch 20 | loss: 0.0090
Eval Epoch 20 | Mean relative regret: 0.1345
Epoch 21 | loss: 0.0089
Eval Epoch 21 | Mean relative regret: 0.1334
Epoch 22 | loss: 0.0087
Eval Epoch 22 | Mean relative regret: 0.1341
Epoch 23 | loss: 0.0085
Eval Epoch 23 | Mean relative regret: 0.1339
Epoch 24 | loss: 0.0083
Eval Epoch 24 | Mean relative regret: 0.1339
Epoch 25 | loss: 0.0083
Eval Epoch 25 | Mean relative regret: 0.1335
Epoch 26 | loss: 0.0081
Eval Epoch 26 | Mean relative regret: 0.1336
Epoch 27 | loss: 0.0079
Eval Epoch 27 | Mean relative regret: 0.1337
Epoch 28 | loss: 0.0079
Eval Epoch 28 | Mean relative regret: 0.1340
Epoch 29 | loss: 0.0079
Eval Epoch 29 | Mean relative regret: 0.1333
Epoch 30 | loss: 0.0074
Eval Epoch 30 | Mean relative regret: 0.1327
Epoch 31 | loss: 0.0076
Eval Epoch 31 | Mean relative regret: 0.1328
Epoch 32 | loss: 0.0073
Eval Epoch 32 | Mean relative regret: 0.1325
Time limit reached, stopping training.
Test relative regret: 0.1325 ± 0.0350
Test relative regret: 0.1189 ± 0.0370
Saving the model to portfolio/models/IMLE_classic_50_500_200_2-25.pth
