Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0261
Eval Epoch 0 | Mean relative regret: 0.2209
Epoch 1 | loss: 0.0214
Eval Epoch 1 | Mean relative regret: 0.2080
Epoch 2 | loss: 0.0188
Eval Epoch 2 | Mean relative regret: 0.1977
Epoch 3 | loss: 0.0175
Eval Epoch 3 | Mean relative regret: 0.1928
Epoch 4 | loss: 0.0164
Eval Epoch 4 | Mean relative regret: 0.1885
Epoch 5 | loss: 0.0156
Eval Epoch 5 | Mean relative regret: 0.1815
Epoch 6 | loss: 0.0147
Eval Epoch 6 | Mean relative regret: 0.1730
Epoch 7 | loss: 0.0140
Eval Epoch 7 | Mean relative regret: 0.1675
Epoch 8 | loss: 0.0132
Eval Epoch 8 | Mean relative regret: 0.1611
Epoch 9 | loss: 0.0123
Eval Epoch 9 | Mean relative regret: 0.1562
Epoch 10 | loss: 0.0117
Eval Epoch 10 | Mean relative regret: 0.1531
Epoch 11 | loss: 0.0112
Eval Epoch 11 | Mean relative regret: 0.1505
Epoch 12 | loss: 0.0106
Eval Epoch 12 | Mean relative regret: 0.1480
Epoch 13 | loss: 0.0102
Eval Epoch 13 | Mean relative regret: 0.1471
Epoch 14 | loss: 0.0098
Eval Epoch 14 | Mean relative regret: 0.1457
Epoch 15 | loss: 0.0096
Eval Epoch 15 | Mean relative regret: 0.1445
Epoch 16 | loss: 0.0092
Eval Epoch 16 | Mean relative regret: 0.1436
Epoch 17 | loss: 0.0090
Eval Epoch 17 | Mean relative regret: 0.1426
Epoch 18 | loss: 0.0087
Eval Epoch 18 | Mean relative regret: 0.1428
Epoch 19 | loss: 0.0085
Eval Epoch 19 | Mean relative regret: 0.1422
Epoch 20 | loss: 0.0083
Eval Epoch 20 | Mean relative regret: 0.1416
Epoch 21 | loss: 0.0080
Eval Epoch 21 | Mean relative regret: 0.1418
Time limit reached, stopping training.
Test relative regret: 0.1416 ± 0.0381
Test relative regret: 0.1295 ± 0.0382
Saving the model to portfolio/models/IMLE_LD_50_500_200_2-25.pth
