Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0254
Eval Epoch 0 | Mean relative regret: 0.2154
Epoch 1 | loss: 0.0209
Eval Epoch 1 | Mean relative regret: 0.2059
Epoch 2 | loss: 0.0188
Eval Epoch 2 | Mean relative regret: 0.1996
Epoch 3 | loss: 0.0174
Eval Epoch 3 | Mean relative regret: 0.1957
Epoch 4 | loss: 0.0166
Eval Epoch 4 | Mean relative regret: 0.1909
Epoch 5 | loss: 0.0156
Eval Epoch 5 | Mean relative regret: 0.1827
Epoch 6 | loss: 0.0148
Eval Epoch 6 | Mean relative regret: 0.1753
Epoch 7 | loss: 0.0140
Eval Epoch 7 | Mean relative regret: 0.1674
Epoch 8 | loss: 0.0132
Eval Epoch 8 | Mean relative regret: 0.1624
Epoch 9 | loss: 0.0124
Eval Epoch 9 | Mean relative regret: 0.1582
Epoch 10 | loss: 0.0118
Eval Epoch 10 | Mean relative regret: 0.1546
Epoch 11 | loss: 0.0112
Eval Epoch 11 | Mean relative regret: 0.1520
Epoch 12 | loss: 0.0107
Eval Epoch 12 | Mean relative regret: 0.1497
Epoch 13 | loss: 0.0104
Eval Epoch 13 | Mean relative regret: 0.1491
Epoch 14 | loss: 0.0100
Eval Epoch 14 | Mean relative regret: 0.1475
Epoch 15 | loss: 0.0095
Eval Epoch 15 | Mean relative regret: 0.1463
