Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0296
Eval Epoch 0 | Mean relative regret: 0.2043
Epoch 1 | loss: 0.0265
Eval Epoch 1 | Mean relative regret: 0.1896
Epoch 2 | loss: 0.0238
Eval Epoch 2 | Mean relative regret: 0.1775
Epoch 3 | loss: 0.0213
Eval Epoch 3 | Mean relative regret: 0.1646
Epoch 4 | loss: 0.0191
Eval Epoch 4 | Mean relative regret: 0.1553
Epoch 5 | loss: 0.0173
Eval Epoch 5 | Mean relative regret: 0.1490
Epoch 6 | loss: 0.0159
Eval Epoch 6 | Mean relative regret: 0.1463
Epoch 7 | loss: 0.0148
Eval Epoch 7 | Mean relative regret: 0.1431
Epoch 8 | loss: 0.0137
Eval Epoch 8 | Mean relative regret: 0.1421
Epoch 9 | loss: 0.0131
Eval Epoch 9 | Mean relative regret: 0.1403
Epoch 10 | loss: 0.0124
Eval Epoch 10 | Mean relative regret: 0.1381
Epoch 11 | loss: 0.0119
Eval Epoch 11 | Mean relative regret: 0.1369
Epoch 12 | loss: 0.0112
Eval Epoch 12 | Mean relative regret: 0.1358
Epoch 13 | loss: 0.0108
Eval Epoch 13 | Mean relative regret: 0.1357
Epoch 14 | loss: 0.0106
Eval Epoch 14 | Mean relative regret: 0.1351
Epoch 15 | loss: 0.0102
Eval Epoch 15 | Mean relative regret: 0.1345
Epoch 16 | loss: 0.0099
Eval Epoch 16 | Mean relative regret: 0.1335
Epoch 17 | loss: 0.0097
Eval Epoch 17 | Mean relative regret: 0.1338
Epoch 18 | loss: 0.0095
Eval Epoch 18 | Mean relative regret: 0.1329
Epoch 19 | loss: 0.0092
