Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0239
Eval Epoch 0 | Mean relative regret: 0.2234
Epoch 1 | loss: 0.0197
Eval Epoch 1 | Mean relative regret: 0.2136
Epoch 2 | loss: 0.0176
Eval Epoch 2 | Mean relative regret: 0.2001
Epoch 3 | loss: 0.0157
Eval Epoch 3 | Mean relative regret: 0.1910
Epoch 4 | loss: 0.0144
Eval Epoch 4 | Mean relative regret: 0.1839
Epoch 5 | loss: 0.0134
Eval Epoch 5 | Mean relative regret: 0.1790
Epoch 6 | loss: 0.0124
Eval Epoch 6 | Mean relative regret: 0.1741
Epoch 7 | loss: 0.0118
Eval Epoch 7 | Mean relative regret: 0.1684
Epoch 8 | loss: 0.0110
Eval Epoch 8 | Mean relative regret: 0.1644
Epoch 9 | loss: 0.0103
Eval Epoch 9 | Mean relative regret: 0.1596
Epoch 10 | loss: 0.0098
Eval Epoch 10 | Mean relative regret: 0.1566
Epoch 11 | loss: 0.0090
Eval Epoch 11 | Mean relative regret: 0.1532
Epoch 12 | loss: 0.0083
Eval Epoch 12 | Mean relative regret: 0.1519
Epoch 13 | loss: 0.0080
Eval Epoch 13 | Mean relative regret: 0.1507
Epoch 14 | loss: 0.0076
Eval Epoch 14 | Mean relative regret: 0.1505
Epoch 15 | loss: 0.0071
Eval Epoch 15 | Mean relative regret: 0.1510
Epoch 16 | loss: 0.0071
Eval Epoch 16 | Mean relative regret: 0.1496
Epoch 17 | loss: 0.0069
Eval Epoch 17 | Mean relative regret: 0.1491
Epoch 18 | loss: 0.0065
Eval Epoch 18 | Mean relative regret: 0.1489
Epoch 19 | loss: 0.0064
Eval Epoch 19 | Mean relative regret: 0.1486
Epoch 20 | loss: 0.0060
Eval Epoch 20 | Mean relative regret: 0.1489
Epoch 21 | loss: 0.0061
Eval Epoch 21 | Mean relative regret: 0.1480
Epoch 22 | loss: 0.0058
Eval Epoch 22 | Mean relative regret: 0.1467
Epoch 23 | loss: 0.0056
Eval Epoch 23 | Mean relative regret: 0.1465
Epoch 24 | loss: 0.0055
Eval Epoch 24 | Mean relative regret: 0.1467
Epoch 25 | loss: 0.0052
Eval Epoch 25 | Mean relative regret: 0.1473
Epoch 26 | loss: 0.0052
Eval Epoch 26 | Mean relative regret: 0.1474
Epoch 27 | loss: 0.0051
Eval Epoch 27 | Mean relative regret: 0.1473
Epoch 28 | loss: 0.0051
Eval Epoch 28 | Mean relative regret: 0.1478
Epoch 29 | loss: 0.0049
Eval Epoch 29 | Mean relative regret: 0.1472
Epoch 30 | loss: 0.0048
Eval Epoch 30 | Mean relative regret: 0.1477
Epoch 31 | loss: 0.0049
Eval Epoch 31 | Mean relative regret: 0.1475
Epoch 32 | loss: 0.0048
Eval Epoch 32 | Mean relative regret: 0.1474
Time limit reached, stopping training.
Test relative regret: 0.1465 ± 0.0457
Test relative regret: 0.1295 ± 0.0508
Saving the model to portfolio/models/IMLE_LD_30_500_200_2-25.pth
