Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0307
Eval Epoch 0 | Mean relative regret: 0.2175
Epoch 1 | loss: 0.0271
Eval Epoch 1 | Mean relative regret: 0.1996
Epoch 2 | loss: 0.0244
Eval Epoch 2 | Mean relative regret: 0.1851
Epoch 3 | loss: 0.0223
Eval Epoch 3 | Mean relative regret: 0.1758
Epoch 4 | loss: 0.0193
Eval Epoch 4 | Mean relative regret: 0.1705
Epoch 5 | loss: 0.0176
Eval Epoch 5 | Mean relative regret: 0.1675
Epoch 6 | loss: 0.0161
Eval Epoch 6 | Mean relative regret: 0.1631
Epoch 7 | loss: 0.0146
Eval Epoch 7 | Mean relative regret: 0.1597
Epoch 8 | loss: 0.0136
Eval Epoch 8 | Mean relative regret: 0.1569
Epoch 9 | loss: 0.0126
Eval Epoch 9 | Mean relative regret: 0.1546
Epoch 10 | loss: 0.0120
Eval Epoch 10 | Mean relative regret: 0.1530
Epoch 11 | loss: 0.0114
Eval Epoch 11 | Mean relative regret: 0.1514
Epoch 12 | loss: 0.0108
Eval Epoch 12 | Mean relative regret: 0.1504
Epoch 13 | loss: 0.0106
Eval Epoch 13 | Mean relative regret: 0.1501
Epoch 14 | loss: 0.0101
Eval Epoch 14 | Mean relative regret: 0.1486
Epoch 15 | loss: 0.0097
Eval Epoch 15 | Mean relative regret: 0.1484
Epoch 16 | loss: 0.0091
Eval Epoch 16 | Mean relative regret: 0.1475
Epoch 17 | loss: 0.0087
Eval Epoch 17 | Mean relative regret: 0.1472
Epoch 18 | loss: 0.0085
Eval Epoch 18 | Mean relative regret: 0.1472
Epoch 19 | loss: 0.0087
Eval Epoch 19 | Mean relative regret: 0.1471
Epoch 20 | loss: 0.0080
Eval Epoch 20 | Mean relative regret: 0.1465
Epoch 21 | loss: 0.0079
Eval Epoch 21 | Mean relative regret: 0.1461
Epoch 22 | loss: 0.0077
Eval Epoch 22 | Mean relative regret: 0.1465
Epoch 23 | loss: 0.0074
Eval Epoch 23 | Mean relative regret: 0.1464
Time limit reached, stopping training.
Test relative regret: 0.1461 ± 0.0465
Test relative regret: 0.1270 ± 0.0505
Saving the model to portfolio/models/IMLE_classic_30_500_200_2-25.pth
