Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0258
Eval Epoch 0 | Mean relative regret: 0.2164
Epoch 1 | loss: 0.0210
Eval Epoch 1 | Mean relative regret: 0.2019
Epoch 2 | loss: 0.0187
Eval Epoch 2 | Mean relative regret: 0.1941
Epoch 3 | loss: 0.0174
Eval Epoch 3 | Mean relative regret: 0.1895
Epoch 4 | loss: 0.0164
Eval Epoch 4 | Mean relative regret: 0.1834
Epoch 5 | loss: 0.0155
Eval Epoch 5 | Mean relative regret: 0.1768
Epoch 6 | loss: 0.0147
Eval Epoch 6 | Mean relative regret: 0.1690
Epoch 7 | loss: 0.0139
Eval Epoch 7 | Mean relative regret: 0.1639
Epoch 8 | loss: 0.0131
Eval Epoch 8 | Mean relative regret: 0.1595
Epoch 9 | loss: 0.0124
Eval Epoch 9 | Mean relative regret: 0.1558
Epoch 10 | loss: 0.0116
Eval Epoch 10 | Mean relative regret: 0.1533
Epoch 11 | loss: 0.0111
Eval Epoch 11 | Mean relative regret: 0.1516
Epoch 12 | loss: 0.0106
Eval Epoch 12 | Mean relative regret: 0.1499
Epoch 13 | loss: 0.0103
Eval Epoch 13 | Mean relative regret: 0.1493
Epoch 14 | loss: 0.0098
Eval Epoch 14 | Mean relative regret: 0.1483
Epoch 15 | loss: 0.0096
Eval Epoch 15 | Mean relative regret: 0.1473
Epoch 16 | loss: 0.0093
Eval Epoch 16 | Mean relative regret: 0.1478
Epoch 17 | loss: 0.0090
Eval Epoch 17 | Mean relative regret: 0.1474
Epoch 18 | loss: 0.0088
Eval Epoch 18 | Mean relative regret: 0.1473
Epoch 19 | loss: 0.0085
Eval Epoch 19 | Mean relative regret: 0.1470
Epoch 20 | loss: 0.0083
Eval Epoch 20 | Mean relative regret: 0.1471
Epoch 21 | loss: 0.0080
Eval Epoch 21 | Mean relative regret: 0.1473
Time limit reached, stopping training.
Test relative regret: 0.1470 ± 0.0366
Test relative regret: 0.1287 ± 0.0386
Saving the model to portfolio/models/IMLE_LD_50_500_200_2-25.pth
