Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0298
Eval Epoch 0 | Mean relative regret: 0.2063
Epoch 1 | loss: 0.0265
Eval Epoch 1 | Mean relative regret: 0.1916
Epoch 2 | loss: 0.0240
Eval Epoch 2 | Mean relative regret: 0.1769
Epoch 3 | loss: 0.0213
Eval Epoch 3 | Mean relative regret: 0.1645
Epoch 4 | loss: 0.0192
Eval Epoch 4 | Mean relative regret: 0.1564
Epoch 5 | loss: 0.0177
Eval Epoch 5 | Mean relative regret: 0.1516
Epoch 6 | loss: 0.0161
Eval Epoch 6 | Mean relative regret: 0.1473
Epoch 7 | loss: 0.0150
Eval Epoch 7 | Mean relative regret: 0.1448
Epoch 8 | loss: 0.0140
Eval Epoch 8 | Mean relative regret: 0.1424
Epoch 9 | loss: 0.0132
Eval Epoch 9 | Mean relative regret: 0.1412
Epoch 10 | loss: 0.0125
Eval Epoch 10 | Mean relative regret: 0.1389
Epoch 11 | loss: 0.0119
Eval Epoch 11 | Mean relative regret: 0.1381
Epoch 12 | loss: 0.0113
Eval Epoch 12 | Mean relative regret: 0.1376
Epoch 13 | loss: 0.0110
Eval Epoch 13 | Mean relative regret: 0.1370
Epoch 14 | loss: 0.0106
Eval Epoch 14 | Mean relative regret: 0.1364
Epoch 15 | loss: 0.0103
Eval Epoch 15 | Mean relative regret: 0.1364
Epoch 16 | loss: 0.0100
Eval Epoch 16 | Mean relative regret: 0.1357
Epoch 17 | loss: 0.0095
Eval Epoch 17 | Mean relative regret: 0.1353
Epoch 18 | loss: 0.0095
Eval Epoch 18 | Mean relative regret: 0.1355
Epoch 19 | loss: 0.0092
Eval Epoch 19 | Mean relative regret: 0.1348
Epoch 20 | loss: 0.0089
Eval Epoch 20 | Mean relative regret: 0.1343
Epoch 21 | loss: 0.0088
Eval Epoch 21 | Mean relative regret: 0.1337
Epoch 22 | loss: 0.0086
Eval Epoch 22 | Mean relative regret: 0.1338
Epoch 23 | loss: 0.0085
Eval Epoch 23 | Mean relative regret: 0.1338
Epoch 24 | loss: 0.0084
Eval Epoch 24 | Mean relative regret: 0.1335
Epoch 25 | loss: 0.0082
Eval Epoch 25 | Mean relative regret: 0.1335
Epoch 26 | loss: 0.0082
Eval Epoch 26 | Mean relative regret: 0.1334
Epoch 27 | loss: 0.0079
Eval Epoch 27 | Mean relative regret: 0.1332
Epoch 28 | loss: 0.0078
Eval Epoch 28 | Mean relative regret: 0.1327
Epoch 29 | loss: 0.0077
Eval Epoch 29 | Mean relative regret: 0.1321
Time limit reached, stopping training.
Test relative regret: 0.1321 ± 0.0380
Test relative regret: 0.1197 ± 0.0361
Saving the model to portfolio/models/IMLE_classic_50_500_200_2-25.pth
