Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0298
Eval Epoch 0 | Mean relative regret: 0.2047
Epoch 1 | loss: 0.0266
Eval Epoch 1 | Mean relative regret: 0.1875
Epoch 2 | loss: 0.0238
Eval Epoch 2 | Mean relative regret: 0.1752
Epoch 3 | loss: 0.0214
Eval Epoch 3 | Mean relative regret: 0.1644
Epoch 4 | loss: 0.0191
Eval Epoch 4 | Mean relative regret: 0.1575
Epoch 5 | loss: 0.0172
Eval Epoch 5 | Mean relative regret: 0.1512
Epoch 6 | loss: 0.0158
Eval Epoch 6 | Mean relative regret: 0.1475
Epoch 7 | loss: 0.0147
Eval Epoch 7 | Mean relative regret: 0.1443
Epoch 8 | loss: 0.0136
Eval Epoch 8 | Mean relative regret: 0.1417
Epoch 9 | loss: 0.0129
Eval Epoch 9 | Mean relative regret: 0.1393
Epoch 10 | loss: 0.0122
Eval Epoch 10 | Mean relative regret: 0.1374
Epoch 11 | loss: 0.0117
Eval Epoch 11 | Mean relative regret: 0.1374
Epoch 12 | loss: 0.0113
Eval Epoch 12 | Mean relative regret: 0.1369
Epoch 13 | loss: 0.0109
Eval Epoch 13 | Mean relative regret: 0.1363
Epoch 14 | loss: 0.0105
Eval Epoch 14 | Mean relative regret: 0.1353
Epoch 15 | loss: 0.0101
Eval Epoch 15 | Mean relative regret: 0.1342
Epoch 16 | loss: 0.0099
Eval Epoch 16 | Mean relative regret: 0.1342
Epoch 17 | loss: 0.0095
Eval Epoch 17 | Mean relative regret: 0.1333
Epoch 18 | loss: 0.0093
Eval Epoch 18 | Mean relative regret: 0.1328
Epoch 19 | loss: 0.0092
Eval Epoch 19 | Mean relative regret: 0.1325
Epoch 20 | loss: 0.0090
Eval Epoch 20 | Mean relative regret: 0.1319
Epoch 21 | loss: 0.0088
Eval Epoch 21 | Mean relative regret: 0.1317
Epoch 22 | loss: 0.0085
Eval Epoch 22 | Mean relative regret: 0.1316
Epoch 23 | loss: 0.0085
Eval Epoch 23 | Mean relative regret: 0.1310
Epoch 24 | loss: 0.0081
Eval Epoch 24 | Mean relative regret: 0.1310
Epoch 25 | loss: 0.0081
Eval Epoch 25 | Mean relative regret: 0.1310
Epoch 26 | loss: 0.0081
Eval Epoch 26 | Mean relative regret: 0.1317
Epoch 27 | loss: 0.0080
Eval Epoch 27 | Mean relative regret: 0.1308
Epoch 28 | loss: 0.0078
Eval Epoch 28 | Mean relative regret: 0.1306
Epoch 29 | loss: 0.0077
Eval Epoch 29 | Mean relative regret: 0.1309
Epoch 30 | loss: 0.0077
Eval Epoch 30 | Mean relative regret: 0.1314
Epoch 31 | loss: 0.0075
Eval Epoch 31 | Mean relative regret: 0.1314
Epoch 32 | loss: 0.0075
