Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0240
Eval Epoch 0 | Mean relative regret: 0.2216
Epoch 1 | loss: 0.0201
Eval Epoch 1 | Mean relative regret: 0.2072
Epoch 2 | loss: 0.0171
Eval Epoch 2 | Mean relative regret: 0.1996
Epoch 3 | loss: 0.0157
Eval Epoch 3 | Mean relative regret: 0.1946
Epoch 4 | loss: 0.0144
Eval Epoch 4 | Mean relative regret: 0.1882
Epoch 5 | loss: 0.0137
Eval Epoch 5 | Mean relative regret: 0.1818
Epoch 6 | loss: 0.0126
Eval Epoch 6 | Mean relative regret: 0.1754
Epoch 7 | loss: 0.0117
Eval Epoch 7 | Mean relative regret: 0.1696
Epoch 8 | loss: 0.0111
Eval Epoch 8 | Mean relative regret: 0.1647
Epoch 9 | loss: 0.0103
Eval Epoch 9 | Mean relative regret: 0.1608
Epoch 10 | loss: 0.0097
Eval Epoch 10 | Mean relative regret: 0.1577
Epoch 11 | loss: 0.0090
Eval Epoch 11 | Mean relative regret: 0.1556
Epoch 12 | loss: 0.0085
Eval Epoch 12 | Mean relative regret: 0.1539
Epoch 13 | loss: 0.0081
Eval Epoch 13 | Mean relative regret: 0.1524
Epoch 14 | loss: 0.0077
Eval Epoch 14 | Mean relative regret: 0.1516
Epoch 15 | loss: 0.0074
Eval Epoch 15 | Mean relative regret: 0.1502
Epoch 16 | loss: 0.0072
Eval Epoch 16 | Mean relative regret: 0.1495
Epoch 17 | loss: 0.0067
Eval Epoch 17 | Mean relative regret: 0.1485
Epoch 18 | loss: 0.0065
Eval Epoch 18 | Mean relative regret: 0.1482
Epoch 19 | loss: 0.0063
Eval Epoch 19 | Mean relative regret: 0.1484
Epoch 20 | loss: 0.0061
Eval Epoch 20 | Mean relative regret: 0.1474
Epoch 21 | loss: 0.0059
Eval Epoch 21 | Mean relative regret: 0.1469
Epoch 22 | loss: 0.0058
Eval Epoch 22 | Mean relative regret: 0.1465
Epoch 23 | loss: 0.0057
Eval Epoch 23 | Mean relative regret: 0.1456
Epoch 24 | loss: 0.0055
Eval Epoch 24 | Mean relative regret: 0.1459
Epoch 25 | loss: 0.0054
Eval Epoch 25 | Mean relative regret: 0.1454
Epoch 26 | loss: 0.0052
Eval Epoch 26 | Mean relative regret: 0.1458
Epoch 27 | loss: 0.0052
Eval Epoch 27 | Mean relative regret: 0.1458
Epoch 28 | loss: 0.0052
Eval Epoch 28 | Mean relative regret: 0.1458
Epoch 29 | loss: 0.0050
Eval Epoch 29 | Mean relative regret: 0.1467
Epoch 30 | loss: 0.0050
Eval Epoch 30 | Mean relative regret: 0.1469
Epoch 31 | loss: 0.0050
Eval Epoch 31 | Mean relative regret: 0.1478
Time limit reached, stopping training.
Test relative regret: 0.1454 ± 0.0489
Test relative regret: 0.1313 ± 0.0531
Saving the model to portfolio/models/IMLE_LD_30_500_200_2-25.pth
