Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0298
Eval Epoch 0 | Mean relative regret: 0.2077
Epoch 1 | loss: 0.0265
Eval Epoch 1 | Mean relative regret: 0.1932
Epoch 2 | loss: 0.0240
Eval Epoch 2 | Mean relative regret: 0.1828
Epoch 3 | loss: 0.0214
Eval Epoch 3 | Mean relative regret: 0.1699
Epoch 4 | loss: 0.0193
Eval Epoch 4 | Mean relative regret: 0.1589
Epoch 5 | loss: 0.0176
Eval Epoch 5 | Mean relative regret: 0.1531
Epoch 6 | loss: 0.0160
Eval Epoch 6 | Mean relative regret: 0.1474
Epoch 7 | loss: 0.0148
Eval Epoch 7 | Mean relative regret: 0.1437
Epoch 8 | loss: 0.0138
Eval Epoch 8 | Mean relative regret: 0.1413
Epoch 9 | loss: 0.0130
Eval Epoch 9 | Mean relative regret: 0.1394
Epoch 10 | loss: 0.0123
Eval Epoch 10 | Mean relative regret: 0.1386
Epoch 11 | loss: 0.0118
Eval Epoch 11 | Mean relative regret: 0.1366
Epoch 12 | loss: 0.0111
Eval Epoch 12 | Mean relative regret: 0.1356
Epoch 13 | loss: 0.0108
Eval Epoch 13 | Mean relative regret: 0.1353
Epoch 14 | loss: 0.0106
Eval Epoch 14 | Mean relative regret: 0.1348
Epoch 15 | loss: 0.0102
Eval Epoch 15 | Mean relative regret: 0.1344
Epoch 16 | loss: 0.0100
Eval Epoch 16 | Mean relative regret: 0.1338
Epoch 17 | loss: 0.0096
Eval Epoch 17 | Mean relative regret: 0.1344
Epoch 18 | loss: 0.0094
Eval Epoch 18 | Mean relative regret: 0.1342
Time limit reached, stopping training.
Test relative regret: 0.1338 ± 0.0372
Test relative regret: 0.1237 ± 0.0369
Saving the model to portfolio/models/IMLE_classic_50_500_200_2-25.pth
